MUNICIPIO;PUESTO;LAT;LON
DUITAMA;ANTIGUO TERMINAL DE TRANSPORTE;5.828630000000000;-73.0348000000000
TUNJA;AUDITORIO GUSTAVO M CASTELLANOS COMFABOY;5.52998337454494;-73.36309682175260
DUITAMA;AVENDAÑOS;5.957225741110520;-73.1670410933191
TUNJA;C.A.S.D. BARRIO SAN ANTONIO;5.519669999999990;-73.3555999999998
CHIQUINQUIRÁ;C.PIO ALBERTO SECCION SECUNDA;5.624601300000000;-73.809458217
TUNJA;CARCEL;5.540300000000000;-73.3489799999998
CHIQUINQUIRÁ;CARCEL;5.593079099999990;-73.8360773999998
DUITAMA;CARCEL;5.824300198445870;-73.0402826352248
SOGAMOSO;CARCEL DEL CIRCUITO;5.703116999999990;-72.9339919999999
CHIQUINQUIRÁ;CENTRO VIDA;5.614224039999990;-73.8133789899999
TUNJA;COL DE BOYACA SD JOSE IGNACIO DE MARQUEZ;5.534183195960270;-73.36057010989730
DUITAMA;COL GUILLERMO LEON VALENCIA;5.834215747067490;-73.0371712727675
DUITAMA;COL JESUS EUCARISTIA;5.50033;-73.0373999999999
DUITAMA;COL LA NUEVA FAMILIA;5.807422633457420;-73.0358388539672
SOGAMOSO;COL NZADO GUSTAVO JIMENEZ;5.758933217693270;-72.9052631243212
CHIQUINQUIRÁ;COL PIO ALBERTO FERRO PEÑA SECCION PRIA;5.618712;-73.812044
SOGAMOSO;COL POLITECNICO;5.703428916892860;-72.9432789497375
SOGAMOSO;COL REYES PATRIA;5.725748129504070;-72.92010944118950
DUITAMA;COL SANTO T DE AQUINO SD PRIA 1;5.827528;-73.0368500000000
DUITAMA;COL SANTO T DE AQUINO SD PRIA 2;5.830376661999990;-73.01550
TUNJA;COL. BOYACA FCO DE PAULA SANTANDER;5.531859573910690;-73.36248314529950
DUITAMA;COL.FRANCISCO DE PAULA SANTAN;5.826797780480100;-73.0251024050841
CHIQUINQUIRÁ;COL.LICEO NAL. JOSE JOAQUIN C;5.61056;-73.819421
DUITAMA;COLEGIO BOYACA;5.825799816341930;-73.0464688171037
SOGAMOSO;COLEGIO CELCO;5.723009805774060;-72.9245084920653
DUITAMA;COLEGIO JAIRO ANIBAL NIÑO;5.805666147120410;-73.0175074304548
DUITAMA;COLEGIO SALESIANO;5.833079999999990;-73.0348000000000
TUNJA;COLEGIO SALESIANO MALDONADO;5.537714227823670;-73.35893771243040
DUITAMA;COLEGIO SEMINARIO;5.831600791621580;-73.0381583256851
DUITAMA;COLEGIO SIMON BOLIVAR;5.812228395477450;-73.0206971449980
TUNJA;COLISEO CUBIERTO MUNICIPAL;5.5432468058598800;-73.35435929483850
CHIQUINQUIRÁ;COLISEO DE FERIAS Y EXPOSICIONES;5.615057499999990;-73.8164256999999
TUNJA;COLISEO I.R.D.ET;5.561312502402990;-73.34750240091960
TUNJA;COLISEO MUNICIPAL COMFABOY;5.540794528142010;-73.34704657506740
PAIPA;COLISEO MUNICIPAL DE DEPORTES DE PAIPA;5.77484337193769;-73.11641766633970
TUNJA;COLISEO SAN ANTONIO;5.52072112518185;-73.3565294610452
TUNJA;COLISEO UNIBOYACA;5.568919426868270;-73.33668817814040
TUNJA;CTRO DE REHAB. INTEG. DE BOYACA - CRIB;5.50909;-73.36422
DUITAMA;EL CARMEN;5.935695007074580;-73.1070210939890
SOGAMOSO;EL CRUCERO;5.619078499331620;-72.90687296802440
PAIPA;EL VENADO;5.968548942999990;-73.2031859699998
