MUNNOMBRE;CANNOMBRE;PARNOMBRE;VOTOS
ALMEIDA;ANGEL CUSTODIO SANCHEZ ROA;PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI;43
ALMEIDA;CARLOS HUMBERTO CASTAÑEDA VARGAS;PARTIDO CAMBIO RADICAL;299
ALMEIDA;NANCY YANETH VACA GUTIERREZ;PARTIDO CENTRO DEMOCRATICO;460
ALMEIDA;NELSON MARTIN VELASQUEZ;PARTIDO CONSERVADOR COLOMBIANO;10
ALMEIDA;ORLANDO CASTAÑEDA MONTENEGRO;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;575
ALMEIDA;OSCAR ABEL CASTAÑEDA ROMERO;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;21
AQUITANIA PUEBLOVIEJO;ALEXANDER RIVEROS PEDRAZA;CONSTRUYENDO FUTURO;2501
AQUITANIA PUEBLOVIEJO;HECTOR ORLANDO BARRERA CARDENAS;PARTIDO CONSERVADOR COLOMBIANO - ASI;3195
AQUITANIA PUEBLOVIEJO;JAVIER ALBEIRO PRECIADO GUTIERREZ;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;203
AQUITANIA PUEBLOVIEJO;LIBIA ROCIO GARCIA AMAYA;PARTIDO CENTRO DEMOCRATICO;564
AQUITANIA PUEBLOVIEJO;OSCAR DARIO HURTADO PEREZ;SOMOS EL CAMBIO;2744
ARCABUCO;JAIRO RUIZ SALAZAR;ARCOBUCO SOCIAL Y PRODUCTIVO;1136
ARCABUCO;JOSE EDUAR MOLINA SUAREZ;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;229
ARCABUCO;VIVIANA PATRICIA POVEDA CASTELLANOS;ARCABUCO VERDE Y RENACIENTE;408
ARCABUCO;YAMITH RODRIGO RODRIGUEZ LOPEZ;PARTIDO CONSERVADOR COLOMBIANO  - CENTRO DEMOCRATICO - POLO DEMOCRATICO;2000
BELEN;ALBEIRO ARLEY AMADO AMADO;PARTIDO CONSERVADOR COLOMBIANO;271
BELEN;CABETO PEREZ DIAZ;PARTIDO LIBERAL COLOMBIANO;1024
BELEN;JAIME ALONSO AMAYA SILVA;PARTIDO CENTRO DEMOCRATICO;926
BELEN;JOAQUIN ANTONIO PEREA LARA;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;372
