MUNNOMBRE;CANNOMBRE;PARNOMBRE;VOTOS
ALMEIDA;JONATAN SANCHEZ GARAVITO;JUNTOS #ESMOMENTO;415
ALMEIDA;JOSE GIOVANY PINZON BAEZ;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;20
ALMEIDA;OLMEDO VARGAS HERNANDEZ;PARTIDO COLOMBIA RENACIENTE;1
ALMEIDA;RAMIRO BARRAGAN ADAME;GRAN ALIANZA POR BOYACA;887
AQUITANIA PUEBLOVIEJO;JONATAN SANCHEZ GARAVITO;JUNTOS #ESMOMENTO;2708
AQUITANIA PUEBLOVIEJO;JOSE GIOVANY PINZON BAEZ;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;418
AQUITANIA PUEBLOVIEJO;OLMEDO VARGAS HERNANDEZ;PARTIDO COLOMBIA RENACIENTE;63
AQUITANIA PUEBLOVIEJO;RAMIRO BARRAGAN ADAME;GRAN ALIANZA POR BOYACA;4976
ARCABUCO;JONATAN SANCHEZ GARAVITO;JUNTOS #ESMOMENTO;1043
ARCABUCO;JOSE GIOVANY PINZON BAEZ;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;144
ARCABUCO;OLMEDO VARGAS HERNANDEZ;PARTIDO COLOMBIA RENACIENTE;66
ARCABUCO;RAMIRO BARRAGAN ADAME;GRAN ALIANZA POR BOYACA;2145
BELEN;JONATAN SANCHEZ GARAVITO;JUNTOS #ESMOMENTO;1505
BELEN;JOSE GIOVANY PINZON BAEZ;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;345
BELEN;OLMEDO VARGAS HERNANDEZ;PARTIDO COLOMBIA RENACIENTE;106
BELEN;RAMIRO BARRAGAN ADAME;GRAN ALIANZA POR BOYACA;2582
BERBEO;JONATAN SANCHEZ GARAVITO;JUNTOS #ESMOMENTO;232
BERBEO;JOSE GIOVANY PINZON BAEZ;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;10
BERBEO;OLMEDO VARGAS HERNANDEZ;PARTIDO COLOMBIA RENACIENTE;6
BERBEO;RAMIRO BARRAGAN ADAME;GRAN ALIANZA POR BOYACA;869
BETEITIVA;JONATAN SANCHEZ GARAVITO;JUNTOS #ESMOMENTO;212
BETEITIVA;JOSE GIOVANY PINZON BAEZ;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;220
BETEITIVA;OLMEDO VARGAS HERNANDEZ;PARTIDO COLOMBIA RENACIENTE;20
BETEITIVA;RAMIRO BARRAGAN ADAME;GRAN ALIANZA POR BOYACA;989
BOAVITA;JONATAN SANCHEZ GARAVITO;JUNTOS #ESMOMENTO;1004
BOAVITA;JOSE GIOVANY PINZON BAEZ;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;122
BOAVITA;OLMEDO VARGAS HERNANDEZ;PARTIDO COLOMBIA RENACIENTE;85
BOAVITA;RAMIRO BARRAGAN ADAME;GRAN ALIANZA POR BOYACA;1881
BOYACA;JONATAN SANCHEZ GARAVITO;JUNTOS #ESMOMENTO;1161
BOYACA;JOSE GIOVANY PINZON BAEZ;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;175
BOYACA;OLMEDO VARGAS HERNANDEZ;PARTIDO COLOMBIA RENACIENTE;16
BOYACA;RAMIRO BARRAGAN ADAME;GRAN ALIANZA POR BOYACA;1703
BRICEÑO;JONATAN SANCHEZ GARAVITO;JUNTOS #ESMOMENTO;974
BRICEÑO;JOSE GIOVANY PINZON BAEZ;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;11
BRICEÑO;OLMEDO VARGAS HERNANDEZ;PARTIDO COLOMBIA RENACIENTE;2
BRICEÑO;RAMIRO BARRAGAN ADAME;GRAN ALIANZA POR BOYACA;636
BUENAVISTA;JONATAN SANCHEZ GARAVITO;JUNTOS #ESMOMENTO;1933
BUENAVISTA;JOSE GIOVANY PINZON BAEZ;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;15
BUENAVISTA;OLMEDO VARGAS HERNANDEZ;PARTIDO COLOMBIA RENACIENTE;17
BUENAVISTA;RAMIRO BARRAGAN ADAME;GRAN ALIANZA POR BOYACA;1396
BUSBANZA;JONATAN SANCHEZ GARAVITO;JUNTOS #ESMOMENTO;192
BUSBANZA;JOSE GIOVANY PINZON BAEZ;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;5
BUSBANZA;OLMEDO VARGAS HERNANDEZ;PARTIDO COLOMBIA RENACIENTE;8
BUSBANZA;RAMIRO BARRAGAN ADAME;GRAN ALIANZA POR BOYACA;531
CALDAS;JONATAN SANCHEZ GARAVITO;JUNTOS #ESMOMENTO;845
