MUNNOMBRE;CANNOMBRE;PARNOMBRE;VOTOS
ALMEIDA;CAROLINA DEL PILAR RODRIGUEZ CONTRERAS;PACTO HISTÓRICO;2
ALMEIDA;CINDY YOHANA BOHORQUEZ GARZON;PARTIDO CONSERVADOR COLOMBIANO;5
ALMEIDA;CLAUDIA BEATRIZ DUARTE ACOSTA;PARTIDO NUEVO LIBERALISMO;1
ALMEIDA;COALICIÓN PARTIDOS DE LA U - MIRA - COLOMBIA JUSTA  LIBRES - ASI;COALICIÓN PARTIDOS DE LA U - MIRA - COLOMBIA JUSTA LIBRES - ASI;1
ALMEIDA;DIANA CAROLINA SUAREZ MUÑOZ;COALICIÓN PARTIDOS DE LA U - MIRA - COLOMBIA JUSTA LIBRES - ASI;1
ALMEIDA;EDUAR ALEXIS TRIANA RINCON;PARTIDO CENTRO DEMOCRÁTICO;7
ALMEIDA;FERNANDO RÍOS HIDALGO;FERNANDO RÍOS HIDALGO;1
ALMEIDA;FUNDACIÓN PARA EL DESARROLLO SOCIAL DE COMUNIDADES  NEGRAS;FUNDACIÓN PARA EL DESARROLLO SOCIAL DE COMUNIDADES NEGRAS;1
ALMEIDA;GERMAN TIBERIO OJEDA PEDRAZA;PARTIDO ALIANZA VERDE;7
ALMEIDA;GUILLERMO LEONARDO SANCHEZ SANCHEZ;PARTIDO CENTRO DEMOCRÁTICO;3
ALMEIDA;HECTOR ANGEL ORTIZ NUÑEZ;PARTIDO CENTRO DEMOCRÁTICO;3
ALMEIDA;HECTOR DAVID CHAPARRO CHAPARRO;PARTIDO LIBERAL COLOMBIANO;4
ALMEIDA;HENRY DE JESUS PUERTO VASQUEZ;PARTIDO NUEVO LIBERALISMO;3
ALMEIDA;HUMPHREY ROA SARMIENTO;PARTIDO CONSERVADOR COLOMBIANO;12
ALMEIDA;INGRID MARLEN SOGAMOSO ALFONSO;PARTIDO CONSERVADOR COLOMBIANO;253
ALMEIDA;JAIME RAUL SALAMANCA TORRES;PARTIDO ALIANZA VERDE;62
ALMEIDA;JAIRO ENRIQUE CASTIBLANCO PARRA;COALICIÓN PARTIDOS DE LA U - MIRA - COLOMBIA JUSTA LIBRES - ASI;22
ALMEIDA;JONATAN SANCHEZ GARAVITO;PARTIDO CAMBIO RADICAL;2
ALMEIDA;JORGE ELIECER CORTES MARTINEZ;PARTIDO LIBERAL COLOMBIANO;12
ALMEIDA;JORGE IVAN AMARILLO GIRALDO;COALICIÓN PARTIDOS DE LA U - MIRA - COLOMBIA JUSTA LIBRES - ASI;5
ALMEIDA;JORGE IVAN MINA LASSO;CONSEJO COMUNITARIO MANUEL ZAPATA OLIVELLA DE SAN ANTERO;1
ALMEIDA;JOSE DARIO MAHECHA CASTILLO;PARTIDO CONSERVADOR COLOMBIANO;5
ALMEIDA;JOSE FERNANDO MORALES ACUÑA;PARTIDO CONSERVADOR COLOMBIANO;6
ALMEIDA;JOSE GIOVANY PINZON BAEZ;PACTO HISTÓRICO;28
ALMEIDA;KAREN LUCIA MOLANO GRANADOS;PARTIDO ALIANZA VERDE;2
ALMEIDA;KAROL RICARDO RAMIREZ SILVA;PACTO HISTÓRICO;5
ALMEIDA;LAURA ANDREA BELLO PORRAS;PARTIDO ALIANZA VERDE;2
ALMEIDA;LEIDY ALEJANDRA MORENO SANCHEZ;PACTO HISTÓRICO;2
ALMEIDA;LUIS ALEJANDRO GUTIERREZ SANABRIA;PARTIDO ALIANZA VERDE;7
ALMEIDA;MAYDA CECILIA VELASQUEZ RUEDA;PARTIDO LIBERAL COLOMBIANO;8
ALMEIDA;MAYRA ALEJANDRA VIANCHA SANABRIA;PARTIDO LIBERAL COLOMBIANO;1
ALMEIDA;MONICA YANNETH QUIROGA CASTILLO;PARTIDO CAMBIO RADICAL;4
ALMEIDA;NIDIA MILENA TORRES PAEZ;PARTIDO CENTRO DEMOCRÁTICO;8
ALMEIDA;OLGA NATALIE MANRIQUE ABRIL;COALICIÓN PARTIDOS DE LA U - MIRA - COLOMBIA JUSTA LIBRES - ASI;1
ALMEIDA;OLGA YANETH BELTRAN DORADO;PARTIDO CENTRO DEMOCRÁTICO;12
ALMEIDA;OSCAR LEONARDO AVILA ROMERO;PARTIDO CAMBIO RADICAL;86
ALMEIDA;PABLO EMILIO CEPEDA NOVOA;PARTIDO CAMBIO RADICAL;6
ALMEIDA;PACTO HISTÓRICO;PACTO HISTÓRICO;4
ALMEIDA;PARTIDO ALIANZA VERDE;PARTIDO ALIANZA VERDE;16
ALMEIDA;PARTIDO CAMBIO RADICAL;PARTIDO CAMBIO RADICAL;4
ALMEIDA;PARTIDO CENTRO DEMOCRÁTICO;PARTIDO CENTRO DEMOCRÁTICO;4
ALMEIDA;PARTIDO CONSERVADOR COLOMBIANO;PARTIDO CONSERVADOR COLOMBIANO;4
ALMEIDA;PARTIDO INDÍGENA COLOMBIANO P.I.C;PARTIDO INDÍGENA COLOMBIANO P.I.C;1
ALMEIDA;PARTIDO LIBERAL COLOMBIANO;PARTIDO LIBERAL COLOMBIANO;3
ALMEIDA;PARTIDO NUEVO LIBERALISMO;PARTIDO NUEVO LIBERALISMO;1
ALMEIDA;PEDRO JOSE SUAREZ VACCA;PACTO HISTÓRICO;2
ALMEIDA;SANDRO NESTOR CONDIA PEREZ;PARTIDO LIBERAL COLOMBIANO;1
ALMEIDA;WILDER IVAN SUESCA OCHOA;PARTIDO CONSERVADOR COLOMBIANO;4
ALMEIDA;WILLIAM DONATO GOMEZ;PARTIDO CENTRO DEMOCRÁTICO;13
ALMEIDA;WILLIAM FERNANDO GRANADOS;PARTIDO NUEVO LIBERALISMO;1
ALMEIDA;WILMER YAIR CASTELLANOS HERNANDEZ;PARTIDO ALIANZA VERDE;94
ALMEIDA;WILSON CASTIBLANCO GIL;PARTIDO LIBERAL COLOMBIANO;1
AQUITANIA (PUEBLOVIEJO);CAROLINA DEL PILAR RODRIGUEZ CONTRERAS;PACTO HISTÓRICO;34
AQUITANIA (PUEBLOVIEJO);CINDY YOHANA BOHORQUEZ GARZON;PARTIDO CONSERVADOR COLOMBIANO;42
