MUNNOMBRE;CANNOMBRE;PARNOMBRE;VOTOS
DUITAMA;ALEX FERNANDO BARRIOS ALMANZA;"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""";861
DUITAMA;ANA LUZ MERY CASTIBLANCO BECERRA;PARTIDO CAMBIO RADICAL;41
DUITAMA;ANA MILENA PRIETO AGUILAR;MOVIMIENTO POLÍTICO COLOMBIA HUMANA;163
DUITAMA;ANA ROSA MORA CASTRO;MOVIMIENTO POLÍTICO COLOMBIA HUMANA;344
DUITAMA;BERNABE MARTINEZ ACEVEDO;MOVIMIENTO POLÍTICO COLOMBIA HUMANA;102
DUITAMA;CELIA PEREZ FERNANDEZ;PARTIDO LIBERAL COLOMBIANO;195
DUITAMA;CLAUDIA ESPERANZA MOGOLLON MARIÑO;PARTIDO CAMBIO RADICAL;274
DUITAMA;DIANA MARIA CASTRO SANDOVAL;PARTIDO ALIANZA VERDE;366
DUITAMA;DUVAN MAURICIO MALAVER MEDINA;PARTIDO LIBERAL COLOMBIANO;78
DUITAMA;EMILCE FERNANDEZ ARAQUE;PARTIDO CAMBIO RADICAL;208
DUITAMA;GLORIA GALVIS ORTIZ;MOVIMIENTO POLÍTICO COLOMBIA HUMANA;145
DUITAMA;HEIDI MILENA BARRAGAN ARIZA;PARTIDO ALIANZA VERDE;122
DUITAMA;HUGO ALBERTO URREGO BELLO;PARTIDO ALIANZA VERDE;422
DUITAMA;HUGO ALEJANDRO PINTO DIAZ;PARTIDO CAMBIO RADICAL;253
DUITAMA;INGRY YASMIN MARQUEZ MORA;MOVIMIENTO POLÍTICO COLOMBIA HUMANA;267
DUITAMA;JAIRO ALONSO LOPEZ DELGADILLO;"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""";500
DUITAMA;JAVIER ANDRES CALDERON CAMARGO;PARTIDO LIBERAL COLOMBIANO;677
DUITAMA;JOSE ANTONIO COLMENARES SALAMANCA;PARTIDO ALIANZA VERDE;200
DUITAMA;JOSE ANTONIO NIÑO CAICEDO;MOVIMIENTO POLÍTICO COLOMBIA HUMANA;340
DUITAMA;JOSE JOAQUIN GOMEZ GONZALEZ;PARTIDO CAMBIO RADICAL;290
DUITAMA;JOSE LUIS PINZON CRISTIANO;PARTIDO ALIANZA VERDE;285
