MUNNOMBRE;CANNOMBRE;PARNOMBRE;VOTOS
ALMEIDA;AHORA COLOMBIA;AHORA COLOMBIA;1
ALMEIDA;ALEJO VERGEL AREVALO;FRENTE AMPLIO UNITARIO;1
ALMEIDA;ALIANZA POR COLOMBIA;ALIANZA POR COLOMBIA;18
ALMEIDA;ANGELICA LISBETH LOZANO CORREA;ALIANZA POR COLOMBIA;5
ALMEIDA;ANNY FARLEY MARTINEZ ARDILA;MOVIMIENTO SALVACIÓN NACIONAL;1
ALMEIDA;ARIEL FERNANDO AVILA MARTINEZ;ALIANZA POR COLOMBIA;1
ALMEIDA;ARLEY FERNANDO GOMEZ HERNANDEZ;ALIANZA POR COLOMBIA;4
ALMEIDA;ARMANDO ANTONIO ZABARAIN D ARCE;PARTIDO CONSERVADOR COLOMBIANO;2
ALMEIDA;ASOCIACIÓN DE CABILDOS INDÍGENAS POR COLOMBIA;ASOCIACIÓN DE CABILDOS INDÍGENAS POR COLOMBIA;1
ALMEIDA;CARLOS EDUARDO GUEVARA VILLABON;AHORA COLOMBIA;5
ALMEIDA;CARLOS FERNANDO MOTOA SOLARTE;COALICIÓN CAMBIO RADICAL - ALMA;1
ALMEIDA;CARLOS JOSE NAVARRO ORTEGA;ALIANZA POR COLOMBIA;1
ALMEIDA;CARLOS MARIO FARELO DAZA;COALICIÓN CAMBIO RADICAL - ALMA;2
ALMEIDA;CARMEN ELENA SUAREZ MUÑOZ;PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U;1
ALMEIDA;CECILIA ARISTIZABAL MORA;PARTIDO CONSERVADOR COLOMBIANO;1
ALMEIDA;CLAUDIA SOFIA LEMOS LEMOS;PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U;1
ALMEIDA;COALICIÓN CAMBIO RADICAL - ALMA;COALICIÓN CAMBIO RADICAL - ALMA;8
ALMEIDA;CRISTIAN ADOLFO RIVAS DIAZ;ALIANZA POR COLOMBIA;1
ALMEIDA;DANIEL RESTREPO CARMONA;PARTIDO CONSERVADOR COLOMBIANO;1
ALMEIDA;DAVID ALEJANDRO BARGUIL ASSIS;PARTIDO CONSERVADOR COLOMBIANO;1
ALMEIDA;DELLMA GUERRERO FLOREZ;COALICIÓN FUERZA CIUDADANA;1
ALMEIDA;DIDIER LOBO CHINCHILLA;COALICIÓN CAMBIO RADICAL - ALMA;2
ALMEIDA;DIELA LILIANA BENAVIDES SOLARTE;PARTIDO CONSERVADOR COLOMBIANO;2
ALMEIDA;DUVALIER SANCHEZ ARANGO;ALIANZA POR COLOMBIA;3
ALMEIDA;EDWING FABIAN DIAZ PLATA;ALIANZA POR COLOMBIA;1
ALMEIDA;ENRIQUE GOMEZ MARTINEZ;MOVIMIENTO SALVACIÓN NACIONAL;3
ALMEIDA;FABIO ARIAS GIRALDO;FRENTE AMPLIO UNITARIO;1
ALMEIDA;FRENTE AMPLIO UNITARIO;FRENTE AMPLIO UNITARIO;1
ALMEIDA;GERMAN ALCIDES BLANCO ALVAREZ;PARTIDO CONSERVADOR COLOMBIANO;4
ALMEIDA;GERMAN ANDRES RODRIGUEZ PRIETO;MOVIMIENTO SALVACIÓN NACIONAL;3
ALMEIDA;GERSSON VARGAS VALDELEON;PARTIDO LIBERAL COLOMBIANO;5
ALMEIDA;GLORIA ELSY DIAZ MARTINEZ;AHORA COLOMBIA;7
