MUNNOMBRE;PARNOMBRE;VOTOS;TOTAL_VOTOS;PORCENTAJE
ALMEIDA;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;21;1433;1.465457083042568
ALMEIDA;PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI;43;1433;3.0006978367062107
ALMEIDA;PARTIDO CAMBIO RADICAL;299;1433;20.865317515701324
ALMEIDA;PARTIDO CENTRO DEMOCRATICO;460;1433;32.10048848569434
ALMEIDA;PARTIDO CONSERVADOR COLOMBIANO;10;1433;0.6978367062107467
ALMEIDA;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;575;1433;40.125610607117935
AQUITANIA PUEBLOVIEJO;CONSTRUYENDO FUTURO;2501;9522;26.265490443184202
AQUITANIA PUEBLOVIEJO;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;203;9522;2.1319050619617728
AQUITANIA PUEBLOVIEJO;PARTIDO CENTRO DEMOCRATICO;564;9522;5.923125393824827
AQUITANIA PUEBLOVIEJO;PARTIDO CONSERVADOR COLOMBIANO - ASI;3195;9522;33.55387523629489
AQUITANIA PUEBLOVIEJO;SOMOS EL CAMBIO;2744;9522;28.81747532031086
ARCABUCO;ARCABUCO VERDE Y RENACIENTE;408;3845;10.611183355006503
ARCABUCO;ARCOBUCO SOCIAL Y PRODUCTIVO;1136;3845;29.544863459037714
ARCABUCO;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;229;3845;5.955786736020807
ARCABUCO;PARTIDO CONSERVADOR COLOMBIANO  - CENTRO DEMOCRATICO - POLO DEMOCRATICO;2000;3845;52.015604681404426
BELEN;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;372;5006;7.43108270075909
BELEN;PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI;2336;5006;46.66400319616461
BELEN;PARTIDO CENTRO DEMOCRATICO;926;5006;18.497802636835797
BELEN;PARTIDO CONSERVADOR COLOMBIANO;271;5006;5.4135037954454654
BELEN;PARTIDO LIBERAL COLOMBIANO;1024;5006;20.455453455852975
BERBEO;HECHOS Y NO PALABRAS;643;1156;55.622837370242216
BERBEO;TODOS SOMOS BERBEO;498;1156;43.0795847750865
BETEITIVA;JUNTOS CONSTRUYAMOS BIENESTAR;260;1579;16.466117796073465
BETEITIVA;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;424;1579;26.852438252058263
BETEITIVA;PARTIDO CAMBIO RADICAL;866;1579;54.84483850538315
BOAVITA;PARTIDO ALIANZA VERDE;1912;3356;56.97258641239571
BOAVITA;PARTIDO CENTRO DEMOCRATICO;170;3356;5.065554231227652
BOAVITA;PARTIDO CONSERVADOR COLOMBIANO - CAMBIO RADICAL - PARTIDO DE LA U;1126;3356;33.55184743742551
BOAVITA;POR LA DIGNIDAD DE UN PUEBLO PDP;54;3356;1.6090584028605484
BOYACA;ALCALDIA DE BOYACA;1650;3412;48.35873388042204
BOYACA;PARA SERVIRLE A USTED;1695;3412;49.67760844079719
BRICEÑO;PARTIDO ALIANZA VERDE;871;1762;49.432463110102155
BRICEÑO;PARTIDO CAMBIO RADICAL;385;1762;21.85017026106697
BRICEÑO;PARTIDO CENTRO DEMOCRATICO;352;1762;19.977298524404084
BRICEÑO;PARTIDO CONSERVADOR COLOMBIANO;122;1762;6.9239500567536885
BUENAVISTA;BUENAVISTA NOS UNE;1328;3653;36.35368190528333
BUENAVISTA;GOBIERNO DE RESULTADOS;2270;3653;62.140706268820146
BUSBANZA;PARTIDO ALIANZA VERDE;417;785;53.12101910828025
BUSBANZA;PARTIDO CONSERVADOR COLOMBIANO;359;785;45.732484076433124
CALDAS;ALCALDIA DE CALDAS BOYACA;537;2306;23.28707718993929
CALDAS;PARTIDO ALIANZA VERDE;530;2306;22.98352124891587
CALDAS;PARTIDO CAMBIO RADICAL;206;2306;8.933217692974848
CALDAS;UNIDOS POR EL PROGRESO DE CALDAS;961;2306;41.67389418907199
