MUNNOMBRE;PARNOMBRE;VOTOS;TOTAL_VOTOS;PORCENTAJE
ALMEIDA;BOYACA DECENTE;4;1434;0.2789400278940028
ALMEIDA;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;10;1434;0.697350069735007
ALMEIDA;PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI;31;1434;2.161785216178522
ALMEIDA;PARTIDO ALIANZA VERDE;195;1434;13.598326359832635
ALMEIDA;PARTIDO CAMBIO RADICAL;78;1434;5.439330543933055
ALMEIDA;PARTIDO CENTRO DEMOCRATICO;282;1434;19.665271966527197
ALMEIDA;PARTIDO COLOMBIA JUSTA LIBRES;4;1434;0.2789400278940028
ALMEIDA;PARTIDO CONSERVADOR COLOMBIANO;376;1434;26.220362622036262
ALMEIDA;PARTIDO LIBERAL COLOMBIANO;149;1434;10.390516039051603
ALMEIDA;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;61;1434;4.253835425383542
AQUITANIA PUEBLOVIEJO;BOYACA DECENTE;48;9501;0.5052099778970635
AQUITANIA PUEBLOVIEJO;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;1304;9501;13.724871066203558
AQUITANIA PUEBLOVIEJO;PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI;336;9501;3.536469845279444
AQUITANIA PUEBLOVIEJO;PARTIDO ALIANZA VERDE;543;9501;5.71518787496053
AQUITANIA PUEBLOVIEJO;PARTIDO CAMBIO RADICAL;226;9501;2.3786969792653405
AQUITANIA PUEBLOVIEJO;PARTIDO CENTRO DEMOCRATICO;706;9501;7.430796758235974
AQUITANIA PUEBLOVIEJO;PARTIDO COLOMBIA JUSTA LIBRES;15;9501;0.15787811809283234
AQUITANIA PUEBLOVIEJO;PARTIDO CONSERVADOR COLOMBIANO;3791;9501;39.90106304599516
AQUITANIA PUEBLOVIEJO;PARTIDO LIBERAL COLOMBIANO;315;9501;3.315440479949479
AQUITANIA PUEBLOVIEJO;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;505;9501;5.315229975792022
ARCABUCO;BOYACA DECENTE;23;3833;0.6000521784503
ARCABUCO;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;85;3833;2.2175841377511087
ARCABUCO;PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI;126;3833;3.287242368901644
ARCABUCO;PARTIDO ALIANZA VERDE;930;3833;24.262979389512132
ARCABUCO;PARTIDO CAMBIO RADICAL;125;3833;3.261153143751631
ARCABUCO;PARTIDO CENTRO DEMOCRATICO;535;3833;13.957735455256978
ARCABUCO;PARTIDO COLOMBIA JUSTA LIBRES;22;3833;0.573962953300287
ARCABUCO;PARTIDO CONSERVADOR COLOMBIANO;122;3833;3.182885468301591
ARCABUCO;PARTIDO LIBERAL COLOMBIANO;962;3833;25.097834594312552
ARCABUCO;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;112;3833;2.921993216801461
BELEN;BOYACA DECENTE;37;5005;0.7392607392607392
BELEN;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;405;5005;8.091908091908092
BELEN;PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI;314;5005;6.273726273726274
BELEN;PARTIDO ALIANZA VERDE;432;5005;8.631368631368632
BELEN;PARTIDO CAMBIO RADICAL;1530;5005;30.569430569430565
BELEN;PARTIDO CENTRO DEMOCRATICO;319;5005;6.373626373626373
BELEN;PARTIDO COLOMBIA JUSTA LIBRES;46;5005;0.919080919080919
BELEN;PARTIDO CONSERVADOR COLOMBIANO;320;5005;6.393606393606394
BELEN;PARTIDO LIBERAL COLOMBIANO;735;5005;14.685314685314685
BELEN;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;138;5005;2.7572427572427576
BERBEO;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;12;1156;1.0380622837370241
BERBEO;PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI;6;1156;0.5190311418685121
BERBEO;PARTIDO ALIANZA VERDE;614;1156;53.11418685121107
BERBEO;PARTIDO CAMBIO RADICAL;7;1156;0.6055363321799307
BERBEO;PARTIDO CENTRO DEMOCRATICO;23;1156;1.9896193771626298
BERBEO;PARTIDO CONSERVADOR COLOMBIANO;4;1156;0.34602076124567477
