MUNNOMBRE;PARNOMBRE;VOTOS;TOTAL_VOTOS;PORCENTAJE
ALMEIDA;PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI;113;1435;7.874564459930314
ALMEIDA;PARTIDO ALIANZA VERDE;243;1435;16.933797909407666
ALMEIDA;PARTIDO CAMBIO RADICAL;310;1435;21.602787456445995
ALMEIDA;PARTIDO CENTRO DEMOCRATICO;268;1435;18.67595818815331
ALMEIDA;PARTIDO CONSERVADOR COLOMBIANO;45;1435;3.1358885017421603
ALMEIDA;PARTIDO LIBERAL COLOMBIANO;84;1435;5.853658536585367
ALMEIDA;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;291;1435;20.2787456445993
AQUITANIA PUEBLOVIEJO;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;502;9488;5.290893760539629
AQUITANIA PUEBLOVIEJO;PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI;1136;9488;11.973018549747048
AQUITANIA PUEBLOVIEJO;PARTIDO ALIANZA VERDE;1555;9488;16.38912310286678
AQUITANIA PUEBLOVIEJO;PARTIDO CAMBIO RADICAL;757;9488;7.97849915682968
AQUITANIA PUEBLOVIEJO;PARTIDO CENTRO DEMOCRATICO;589;9488;6.207841483979764
AQUITANIA PUEBLOVIEJO;PARTIDO CONSERVADOR COLOMBIANO;1610;9488;16.968802698145026
AQUITANIA PUEBLOVIEJO;PARTIDO POLITICO  MIRA;47;9488;0.495362563237774
AQUITANIA PUEBLOVIEJO;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;958;9488;10.096964586846543
AQUITANIA PUEBLOVIEJO;SOMOS EL CAMBIO;1426;9488;15.029510961214164
ARCABUCO;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;235;3845;6.11183355006502
ARCABUCO;PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI;381;3845;9.908972691807543
ARCABUCO;PARTIDO ALIANZA VERDE;532;3845;13.836150845253576
ARCABUCO;PARTIDO CAMBIO RADICAL;274;3845;7.126137841352406
ARCABUCO;PARTIDO CENTRO DEMOCRATICO;711;3845;18.49154746423927
ARCABUCO;PARTIDO COLOMBIA RENACIENTE;209;3845;5.4356306892067625
ARCABUCO;PARTIDO CONSERVADOR COLOMBIANO;586;3845;15.240572171651495
ARCABUCO;PARTIDO LIBERAL COLOMBIANO;353;3845;9.18075422626788
ARCABUCO;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;384;3845;9.98699609882965
BELEN;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;456;5003;9.114531281231262
BELEN;PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI;1666;5003;33.30001998800719
