MUNNOMBRE;PARNOMBRE;VOTOS;TOTAL_VOTOS;PORCENTAJE
ALMEIDA;GRAN ALIANZA POR BOYACA;887;1435;61.81184668989547
ALMEIDA;JUNTOS #ESMOMENTO;415;1435;28.9198606271777
ALMEIDA;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;20;1435;1.3937282229965158
ALMEIDA;PARTIDO COLOMBIA RENACIENTE;1;1435;0.06968641114982578
AQUITANIA PUEBLOVIEJO;GRAN ALIANZA POR BOYACA;4976;9423;52.80696168948318
AQUITANIA PUEBLOVIEJO;JUNTOS #ESMOMENTO;2708;9423;28.738193781173727
AQUITANIA PUEBLOVIEJO;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;418;9423;4.435954579221055
AQUITANIA PUEBLOVIEJO;PARTIDO COLOMBIA RENACIENTE;63;9423;0.6685768863419294
ARCABUCO;GRAN ALIANZA POR BOYACA;2145;3848;55.74324324324324
ARCABUCO;JUNTOS #ESMOMENTO;1043;3848;27.104989604989605
ARCABUCO;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;144;3848;3.7422037422037424
ARCABUCO;PARTIDO COLOMBIA RENACIENTE;66;3848;1.7151767151767152
BELEN;GRAN ALIANZA POR BOYACA;2582;4993;51.71239735629882
BELEN;JUNTOS #ESMOMENTO;1505;4993;30.142199078710195
BELEN;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;345;4993;6.909673542960144
BELEN;PARTIDO COLOMBIA RENACIENTE;106;4993;2.122972161025436
BERBEO;GRAN ALIANZA POR BOYACA;869;1156;75.17301038062284
BERBEO;JUNTOS #ESMOMENTO;232;1156;20.069204152249135
BERBEO;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;10;1156;0.8650519031141869
BERBEO;PARTIDO COLOMBIA RENACIENTE;6;1156;0.5190311418685121
BETEITIVA;GRAN ALIANZA POR BOYACA;989;1580;62.59493670886076
BETEITIVA;JUNTOS #ESMOMENTO;212;1580;13.41772151898734
BETEITIVA;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;220;1580;13.924050632911392
BETEITIVA;PARTIDO COLOMBIA RENACIENTE;20;1580;1.2658227848101267
BOAVITA;GRAN ALIANZA POR BOYACA;1881;3361;55.96548646236239
BOAVITA;JUNTOS #ESMOMENTO;1004;3361;29.87206188634335
BOAVITA;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;122;3361;3.6298720618863434
BOAVITA;PARTIDO COLOMBIA RENACIENTE;85;3361;2.5290092234454034
BOYACA;GRAN ALIANZA POR BOYACA;1703;3413;49.897450922941694
BOYACA;JUNTOS #ESMOMENTO;1161;3413;34.016993847055375
BOYACA;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;175;3413;5.127453852915323
BOYACA;PARTIDO COLOMBIA RENACIENTE;16;3413;0.46879578083797246
BRICEÑO;GRAN ALIANZA POR BOYACA;636;1764;36.054421768707485
BRICEÑO;JUNTOS #ESMOMENTO;974;1764;55.21541950113379
BRICEÑO;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;11;1764;0.6235827664399093
BRICEÑO;PARTIDO COLOMBIA RENACIENTE;2;1764;0.11337868480725624
BUENAVISTA;GRAN ALIANZA POR BOYACA;1396;3648;38.26754385964912
BUENAVISTA;JUNTOS #ESMOMENTO;1933;3648;52.987938596491226
BUENAVISTA;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;15;3648;0.41118421052631576
BUENAVISTA;PARTIDO COLOMBIA RENACIENTE;17;3648;0.46600877192982454
BUSBANZA;GRAN ALIANZA POR BOYACA;531;787;67.47141041931386
