MUNNOMBRE;PARNOMBRE;VOTOS;TOTAL_VOTOS;PORCENTAJE
DUITAMA;PARTIDO ALIANZA VERDE;10337;45825;22.557555919258046
DUITAMA;PARTIDO CAMBIO RADICAL;6809;45825;14.858701582105837
DUITAMA;PARTIDO CENTRO DEMOCRATICO;235;45825;0.5128205128205128
DUITAMA;PARTIDO COLOMBIA JUSTA LIBRES;3186;45825;6.95253682487725
DUITAMA;PARTIDO LIBERAL COLOMBIANO;1065;45825;2.324058919803601
DUITAMA;PARTIDO POLO DEMOCRATICO ALTERNATIVO;316;45825;0.6895799236224768
DUITAMA;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;1316;45825;2.871794871794872
PAIPA;PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI;70;717;9.762900976290098
PAIPA;PARTIDO ALIANZA VERDE;199;717;27.754532775453278
PAIPA;PARTIDO CENTRO DEMOCRATICO;111;717;15.481171548117153
PAIPA;PARTIDO CONSERVADOR COLOMBIANO;265;717;36.95955369595537
PUERTO BOYACA;PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI;180;4345;4.1426927502876865
PUERTO BOYACA;PARTIDO ALIANZA VERDE;1249;4345;28.745684695051782
PUERTO BOYACA;PARTIDO CAMBIO RADICAL;338;4345;7.779056386651323
PUERTO BOYACA;PARTIDO CENTRO DEMOCRATICO;91;4345;2.094361334867664
PUERTO BOYACA;PARTIDO LIBERAL COLOMBIANO;821;4345;18.895281933256616
