MUNNOMBRE;PARNOMBRE;VOTOS;TOTAL_VOTOS;PORCENTAJE
ALMEIDA;COALICIÓN PARTIDOS DE LA U - MIRA - COLOMBIA JUSTA LIBRES - ASI;30;830;3.614457831325301
ALMEIDA;CONSEJO COMUNITARIO MANUEL ZAPATA OLIVELLA DE SAN ANTERO;1;830;0.12048192771084339
ALMEIDA;FERNANDO RÍOS HIDALGO;1;830;0.12048192771084339
ALMEIDA;FUNDACIÓN PARA EL DESARROLLO SOCIAL DE COMUNIDADES NEGRAS;1;830;0.12048192771084339
ALMEIDA;PACTO HISTÓRICO;43;830;5.1807228915662655
ALMEIDA;PARTIDO ALIANZA VERDE;190;830;22.89156626506024
ALMEIDA;PARTIDO CAMBIO RADICAL;102;830;12.289156626506024
ALMEIDA;PARTIDO CENTRO DEMOCRÁTICO;50;830;6.024096385542169
ALMEIDA;PARTIDO CONSERVADOR COLOMBIANO;289;830;34.81927710843373
ALMEIDA;PARTIDO INDÍGENA COLOMBIANO P.I.C;1;830;0.12048192771084339
ALMEIDA;PARTIDO LIBERAL COLOMBIANO;30;830;3.614457831325301
ALMEIDA;PARTIDO NUEVO LIBERALISMO;6;830;0.7228915662650602
AQUITANIA (PUEBLOVIEJO);CABILDO INDÍGENA AYWJAWASHI;1;4810;0.02079002079002079
AQUITANIA (PUEBLOVIEJO);COALICIÓN PARTIDOS DE LA U - MIRA - COLOMBIA JUSTA LIBRES - ASI;184;4810;3.8253638253638256
AQUITANIA (PUEBLOVIEJO);CONSEJO COMUNITARIO DE COMUNIDADES NEGRAS SOCOLANDO;1;4810;0.02079002079002079
AQUITANIA (PUEBLOVIEJO);CONSEJO COMUNITARIO DE LOS CORREGIMIENTOS DE SAN ANTONIO Y EL CASTILLO MUNICIPIO DE EL CERRITO;2;4810;0.04158004158004158
AQUITANIA (PUEBLOVIEJO);CONSEJO COMUNITARIO LA VOZ DE LOS NEGROS;1;4810;0.02079002079002079
AQUITANIA (PUEBLOVIEJO);CONSEJO COMUNITARIO MAYOR DE CASIMIRO;1;4810;0.02079002079002079
AQUITANIA (PUEBLOVIEJO);MOVIMIENTO DE SALVACIÓN NACIONAL;2;4810;0.04158004158004158
AQUITANIA (PUEBLOVIEJO);PACTO HISTÓRICO;595;4810;12.37006237006237
AQUITANIA (PUEBLOVIEJO);PARTIDO ALIANZA VERDE;947;4810;19.68814968814969
AQUITANIA (PUEBLOVIEJO);PARTIDO CAMBIO RADICAL;353;4810;7.33887733887734
AQUITANIA (PUEBLOVIEJO);PARTIDO CENTRO DEMOCRÁTICO;680;4810;14.137214137214137
AQUITANIA (PUEBLOVIEJO);PARTIDO CONSERVADOR COLOMBIANO;561;4810;11.663201663201663
AQUITANIA (PUEBLOVIEJO);PARTIDO LIBERAL COLOMBIANO;426;4810;8.856548856548857
AQUITANIA (PUEBLOVIEJO);PARTIDO NUEVO LIBERALISMO;24;4810;0.498960498960499
AQUITANIA (PUEBLOVIEJO);PARTIDO POLÍTICO DIGNIDAD;4;4810;0.08316008316008316
ARCABUCO;C.C LA TOMA;2;2415;0.08281573498964803
ARCABUCO;COALICIÓN PARTIDOS DE LA U - MIRA - COLOMBIA JUSTA LIBRES - ASI;70;2415;2.898550724637681
ARCABUCO;CONSEJO COMUNITARIO MAYOR DE CASIMIRO;1;2415;0.041407867494824016
ARCABUCO;FERNANDO RÍOS HIDALGO;1;2415;0.041407867494824016
ARCABUCO;"MOVIMIENTO ALTERNATIVO INDÍGENA SOCIAL ""MAIS""";1;2415;0.041407867494824016
ARCABUCO;PACTO HISTÓRICO;252;2415;10.434782608695652
ARCABUCO;PARTIDO ALIANZA VERDE;392;2415;16.231884057971012
ARCABUCO;PARTIDO CAMBIO RADICAL;442;2415;18.302277432712216
ARCABUCO;PARTIDO CENTRO DEMOCRÁTICO;234;2415;9.68944099378882
ARCABUCO;PARTIDO CONSERVADOR COLOMBIANO;203;2415;8.405797101449275
ARCABUCO;PARTIDO LIBERAL COLOMBIANO;381;2415;15.77639751552795
ARCABUCO;PARTIDO NUEVO LIBERALISMO;12;2415;0.4968944099378882
ARCABUCO;PARTIDO POLÍTICO DIGNIDAD;1;2415;0.041407867494824016
BELEN;COALICIÓN PARTIDOS DE LA U - MIRA - COLOMBIA JUSTA LIBRES - ASI;161;3463;4.649148137453076
BELEN;CONSEJO COMUNITARIO AFROZABALETAS;1;3463;0.028876696505919723
BELEN;"CONSEJO COMUNITARIO DE LA COSTA PACÍFICA ""CONCOSTA""";2;3463;0.057753393011839446
BELEN;CONSEJO COMUNITARIO DEL RÍO GUAJUÍ;1;3463;0.028876696505919723
BELEN;CONSEJO COMUNITARIO MANUEL ZAPATA OLIVELLA DE SAN ANTERO;5;3463;0.14438348252959862
BELEN;CONSEJO COMUNITARIO MAYOR DE CASIMIRO;2;3463;0.057753393011839446
BELEN;"MOVIMIENTO ALTERNATIVO INDÍGENA SOCIAL ""MAIS""";5;3463;0.14438348252959862
BELEN;PACTO HISTÓRICO;287;3463;8.28761189719896
BELEN;PARTIDO ALIANZA VERDE;696;3463;20.098180768120127
BELEN;PARTIDO CAMBIO RADICAL;486;3463;14.034074501876987
BELEN;PARTIDO CENTRO DEMOCRÁTICO;186;3463;5.3710655501010685
BELEN;PARTIDO CONSERVADOR COLOMBIANO;369;3463;10.655501010684377
BELEN;PARTIDO INDÍGENA COLOMBIANO P.I.C;2;3463;0.057753393011839446
BELEN;PARTIDO LIBERAL COLOMBIANO;763;3463;22.032919434016748
BELEN;PARTIDO NUEVO LIBERALISMO;26;3463;0.7507941091539128
BELEN;PARTIDO POLÍTICO DIGNIDAD;1;3463;0.028876696505919723
BERBEO;COALICIÓN PARTIDOS DE LA U - MIRA - COLOMBIA JUSTA LIBRES - ASI;56;709;7.898448519040903
BERBEO;PACTO HISTÓRICO;91;709;12.834978843441466
BERBEO;PARTIDO ALIANZA VERDE;226;709;31.875881523272216
BERBEO;PARTIDO CAMBIO RADICAL;53;709;7.475317348377997
BERBEO;PARTIDO CENTRO DEMOCRÁTICO;26;709;3.6671368124118473
BERBEO;PARTIDO CONSERVADOR COLOMBIANO;13;709;1.8335684062059237
BERBEO;PARTIDO LIBERAL COLOMBIANO;149;709;21.015514809590975
BERBEO;PARTIDO NUEVO LIBERALISMO;1;709;0.14104372355430184
BETEITIVA;ALIANZA NACIONAL AFROCOLOMBIANA;1;899;0.11123470522803114
BETEITIVA;COALICIÓN PARTIDOS DE LA U - MIRA - COLOMBIA JUSTA LIBRES - ASI;56;899;6.229143492769744
BETEITIVA;CONSEJO COMUNITARIO MANUEL ZAPATA OLIVELLA DE SAN ANTERO;1;899;0.11123470522803114
BETEITIVA;PACTO HISTÓRICO;107;899;11.902113459399333
BETEITIVA;PARTIDO ALIANZA VERDE;192;899;21.357063403781982
BETEITIVA;PARTIDO CAMBIO RADICAL;37;899;4.115684093437152
BETEITIVA;PARTIDO CENTRO DEMOCRÁTICO;114;899;12.680756395995552
BETEITIVA;PARTIDO CONSERVADOR COLOMBIANO;63;899;7.007786429365963
BETEITIVA;PARTIDO LIBERAL COLOMBIANO;211;899;23.470522803114573
BETEITIVA;PARTIDO NUEVO LIBERALISMO;2;899;0.22246941045606228
BETEITIVA;PARTIDO POLÍTICO DIGNIDAD;1;899;0.11123470522803114
BOAVITA;ASOCIACIÓN NACIONAL DE CABILDOS Y AUTORIDADES INDÍGENAS EN COLOMBIA ANICOL;1;2129;0.046970408642555195
BOAVITA;COALICIÓN PARTIDOS DE LA U - MIRA - COLOMBIA JUSTA LIBRES - ASI;97;2129;4.556129638327853
BOAVITA;FERNANDO RÍOS HIDALGO;1;2129;0.046970408642555195
BOAVITA;MOVIMIENTO ALIANZA DEMOCRÁTICA AMPLIA;1;2129;0.046970408642555195
