MUNNOMBRE;PARNOMBRE;VOTOS;TOTAL_VOTOS;PORCENTAJE
ALMEIDA;COALICIÓN ALIANZA VERDE Y CENTRO ESPERANZA;147;826;17.796610169491526
ALMEIDA;COALICIÓN MIRA -  COLOMBIA JUSTA LIBRES;9;826;1.0895883777239708
ALMEIDA;ESTAMOS LISTAS COLOMBIA;3;826;0.36319612590799033
ALMEIDA;FUERZA CIUDADANA LA FUERZA DEL CAMBIO;5;826;0.6053268765133172
ALMEIDA;MANDATO AMBIENTAL;1;826;0.12106537530266344
ALMEIDA;MOVIMIENTO NACIONAL SECTOR ORGANIZADO DE LA SALUD SOS COLOMBIA;1;826;0.12106537530266344
ALMEIDA;MOVIMIENTO UNITARIO METAPOLITICO;1;826;0.12106537530266344
ALMEIDA;PACTO HISTÓRICO;31;826;3.753026634382567
ALMEIDA;PARTIDO CAMBIO RADICAL;37;826;4.479418886198547
ALMEIDA;PARTIDO CENTRO DEMOCRÁTICO;245;826;29.66101694915254
ALMEIDA;PARTIDO CONSERVADOR COLOMBIANO;116;826;14.043583535108958
ALMEIDA;"PARTIDO DE LA UNIÓN POR LA GENTE ""PARTIDO DE LA U""";11;826;1.331719128329298
ALMEIDA;PARTIDO LIBERAL COLOMBIANO;80;826;9.685230024213075
ALMEIDA;PARTIDO NUEVO LIBERALISMO;5;826;0.6053268765133172
AQUITANIA (PUEBLOVIEJO);COALICIÓN ALIANZA VERDE Y CENTRO ESPERANZA;802;4801;16.704853155592588
AQUITANIA (PUEBLOVIEJO);COALICIÓN MIRA -  COLOMBIA JUSTA LIBRES;50;4801;1.0414496979795875
AQUITANIA (PUEBLOVIEJO);ESTAMOS LISTAS COLOMBIA;14;4801;0.29160591543428455
AQUITANIA (PUEBLOVIEJO);FUERZA CIUDADANA LA FUERZA DEL CAMBIO;43;4801;0.8956467402624454
AQUITANIA (PUEBLOVIEJO);"MOVIMIENTO AUTORIDADES INDÍGENAS DE COLOMBIA ""AICO""";1;4801;0.02082899395959175
AQUITANIA (PUEBLOVIEJO);MOVIMIENTO DE SALVACIÓN NACIONAL;3;4801;0.06248698187877526
AQUITANIA (PUEBLOVIEJO);MOVIMIENTO GENTE NUEVA;8;4801;0.166631951676734
AQUITANIA (PUEBLOVIEJO);MOVIMIENTO NACIONAL SECTOR ORGANIZADO DE LA SALUD SOS COLOMBIA;12;4801;0.24994792751510103
AQUITANIA (PUEBLOVIEJO);MOVIMIENTO UNITARIO METAPOLITICO;5;4801;0.10414496979795876
AQUITANIA (PUEBLOVIEJO);PACTO HISTÓRICO;313;4801;6.519475109352219
AQUITANIA (PUEBLOVIEJO);PARTIDO CAMBIO RADICAL;275;4801;5.727973338887732
AQUITANIA (PUEBLOVIEJO);PARTIDO CENTRO DEMOCRÁTICO;955;4801;19.891689231410123
AQUITANIA (PUEBLOVIEJO);PARTIDO COMUNES;1;4801;0.02082899395959175
AQUITANIA (PUEBLOVIEJO);PARTIDO CONSERVADOR COLOMBIANO;1043;4801;21.7246406998542
AQUITANIA (PUEBLOVIEJO);"PARTIDO DE LA UNIÓN POR LA GENTE ""PARTIDO DE LA U""";36;4801;0.749843782545303
AQUITANIA (PUEBLOVIEJO);PARTIDO LIBERAL COLOMBIANO;217;4801;4.51989168923141
AQUITANIA (PUEBLOVIEJO);PARTIDO NUEVO LIBERALISMO;20;4801;0.41657987919183503
ARCABUCO;COALICIÓN ALIANZA VERDE Y CENTRO ESPERANZA;824;2418;34.07775020678246
ARCABUCO;COALICIÓN MIRA -  COLOMBIA JUSTA LIBRES;48;2418;1.9851116625310175
ARCABUCO;ESTAMOS LISTAS COLOMBIA;11;2418;0.45492142266335817
ARCABUCO;FUERZA CIUDADANA LA FUERZA DEL CAMBIO;23;2418;0.9511993382961125
ARCABUCO;MOVIMIENTO DE SALVACIÓN NACIONAL;1;2418;0.0413564929693962
ARCABUCO;MOVIMIENTO NACIONAL SECTOR ORGANIZADO DE LA SALUD SOS COLOMBIA;2;2418;0.0827129859387924
ARCABUCO;MOVIMIENTO UNITARIO METAPOLITICO;1;2418;0.0413564929693962
ARCABUCO;PACTO HISTÓRICO;205;2418;8.47808105872622
ARCABUCO;PARTIDO CAMBIO RADICAL;79;2418;3.2671629445823
ARCABUCO;PARTIDO CENTRO DEMOCRÁTICO;341;2418;14.102564102564102
ARCABUCO;PARTIDO COMUNES;6;2418;0.24813895781637718
ARCABUCO;PARTIDO CONSERVADOR COLOMBIANO;241;2418;9.966914805624484
ARCABUCO;"PARTIDO DE LA UNIÓN POR LA GENTE ""PARTIDO DE LA U""";12;2418;0.49627791563275436
