"","Cod...1","Departamento","Cod...3","Municipio","Cod...5","Zona","Cod...7","Puesto","Mesa","Cod...10","Tipo de votación","Total"
"1",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",1,1001,"SI",144
"2",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",1,2002,"NO",63
"3",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",1,997997,"VOTOS NULOS",1
"4",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",1,998998,"VOTOS NO MARCADOS",2
"5",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",2,1001,"SI",143
"6",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",2,2002,"NO",88
"7",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",2,997997,"VOTOS NULOS",6
"8",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",2,998998,"VOTOS NO MARCADOS",1
"9",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",3,1001,"SI",192
"10",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",3,2002,"NO",69
"11",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",3,997997,"VOTOS NULOS",2
"12",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",4,1001,"SI",194
"13",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",4,2002,"NO",76
"14",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",4,997997,"VOTOS NULOS",4
"15",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",5,1001,"SI",178
"16",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",5,2002,"NO",84
"17",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",5,997997,"VOTOS NULOS",4
"18",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",6,1001,"SI",145
"19",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",6,2002,"NO",89
"20",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",6,997997,"VOTOS NULOS",2
"21",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",7,1001,"SI",148
"22",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",7,2002,"NO",95
"23",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",7,997997,"VOTOS NULOS",3
"24",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",8,1001,"SI",135
"25",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",8,2002,"NO",99
"26",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",8,997997,"VOTOS NULOS",4
"27",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",9,1001,"SI",81
"28",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",9,2002,"NO",95
"29",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",9,997997,"VOTOS NULOS",2
"30",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",10,1001,"SI",87
"31",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",10,2002,"NO",86
"32",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",10,997997,"VOTOS NULOS",5
"33",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",11,1001,"SI",78
"34",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",11,2002,"NO",101
"35",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",11,997997,"VOTOS NULOS",2
"36",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",11,998998,"VOTOS NO MARCADOS",1
"37",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",12,1001,"SI",103
"38",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",12,2002,"NO",114
"39",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",12,997997,"VOTOS NULOS",4
"40",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",12,998998,"VOTOS NO MARCADOS",1
"41",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",13,1001,"SI",112
"42",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",13,2002,"NO",102
"43",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",13,997997,"VOTOS NULOS",2
"44",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",14,1001,"SI",164
"45",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",14,2002,"NO",88
"46",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",14,997997,"VOTOS NULOS",4
"47",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",15,1001,"SI",166
"48",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",15,2002,"NO",77
"49",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",15,997997,"VOTOS NULOS",2
"50",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",15,998998,"VOTOS NO MARCADOS",2
"51",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",16,1001,"SI",143
"52",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",16,2002,"NO",117
"53",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",16,997997,"VOTOS NULOS",5
"54",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",16,998998,"VOTOS NO MARCADOS",1
"55",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",17,1001,"SI",124
"56",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",17,2002,"NO",93
"57",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",17,997997,"VOTOS NULOS",4
"58",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",18,1001,"SI",133
"59",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",18,2002,"NO",117
"60",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",18,997997,"VOTOS NULOS",10
"61",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",18,998998,"VOTOS NO MARCADOS",2
"62",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",19,1001,"SI",129
"63",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",19,2002,"NO",126
"64",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",19,997997,"VOTOS NULOS",2
"65",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",20,1001,"SI",115
"66",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",20,2002,"NO",120
"67",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",20,997997,"VOTOS NULOS",4
"68",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",20,998998,"VOTOS NO MARCADOS",1
"69",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",21,1001,"SI",102
"70",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",21,2002,"NO",79
"71",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",21,997997,"VOTOS NULOS",3
"72",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",21,998998,"VOTOS NO MARCADOS",1
"73",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",22,1001,"SI",142
"74",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",22,2002,"NO",76
"75",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",22,997997,"VOTOS NULOS",1
"76",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",22,998998,"VOTOS NO MARCADOS",1
"77",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",23,1001,"SI",118
"78",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",23,2002,"NO",68
"79",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",23,997997,"VOTOS NULOS",4
"80",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",24,1001,"SI",125
"81",7,"BOYACA",1,"TUNJA",1,"ZONA 01","01","COL. BOYACA.FCO DE PAULA SANT",24,2002,"NO",78
