Código Departamento,Nombre Departamento,Código Municipio,Nombre Municipio,Código Zona,Código Puesto,Nombre Puesto,Mesa,Código Comuna,Nombre Comuna,Código Corporación,Nombre Corporación,Código Circunscripción,Código Partido,Nombre Partido,Código Candidato,Nombre Candidato,Total Votos
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,1,00,,001,GOBERNADOR,1,00000,,00996,VOTOS EN BLANCO,13
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,1,00,,001,GOBERNADOR,1,00000,,00998,VOTOS NO MARCADOS,14
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,1,00,,001,GOBERNADOR,1,00000,,00997,VOTOS NULOS,1
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,1,00,,001,GOBERNADOR,1,00012,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS,00003,JOSE GIOVANY PINZON BAEZ,8
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,1,00,,001,GOBERNADOR,1,00015,PARTIDO COLOMBIA RENACIENTE,00001,OLMEDO VARGAS HERNANDEZ,18
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,1,00,,001,GOBERNADOR,1,03171,GRAN ALIANZA POR BOYACA,00002,RAMIRO BARRAGAN ADAME,68
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,1,00,,001,GOBERNADOR,1,04019,JUNTOS #ESMOMENTO,00004,JONATAN SANCHEZ GARAVITO,57
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,10,00,,001,GOBERNADOR,1,00000,,00996,VOTOS EN BLANCO,17
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,10,00,,001,GOBERNADOR,1,00000,,00998,VOTOS NO MARCADOS,5
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,10,00,,001,GOBERNADOR,1,00000,,00997,VOTOS NULOS,6
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,10,00,,001,GOBERNADOR,1,00012,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS,00003,JOSE GIOVANY PINZON BAEZ,22
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,10,00,,001,GOBERNADOR,1,00015,PARTIDO COLOMBIA RENACIENTE,00001,OLMEDO VARGAS HERNANDEZ,16
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,10,00,,001,GOBERNADOR,1,03171,GRAN ALIANZA POR BOYACA,00002,RAMIRO BARRAGAN ADAME,92
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,10,00,,001,GOBERNADOR,1,04019,JUNTOS #ESMOMENTO,00004,JONATAN SANCHEZ GARAVITO,62
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,11,00,,001,GOBERNADOR,1,00000,,00998,VOTOS NO MARCADOS,2
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,11,00,,001,GOBERNADOR,1,00000,,00996,VOTOS EN BLANCO,28
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,11,00,,001,GOBERNADOR,1,00000,,00997,VOTOS NULOS,6
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,11,00,,001,GOBERNADOR,1,00012,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS,00003,JOSE GIOVANY PINZON BAEZ,22
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,11,00,,001,GOBERNADOR,1,00015,PARTIDO COLOMBIA RENACIENTE,00001,OLMEDO VARGAS HERNANDEZ,15
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,11,00,,001,GOBERNADOR,1,03171,GRAN ALIANZA POR BOYACA,00002,RAMIRO BARRAGAN ADAME,96
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,11,00,,001,GOBERNADOR,1,04019,JUNTOS #ESMOMENTO,00004,JONATAN SANCHEZ GARAVITO,33
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,12,00,,001,GOBERNADOR,1,00000,,00997,VOTOS NULOS,6
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,12,00,,001,GOBERNADOR,1,00000,,00996,VOTOS EN BLANCO,20
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,12,00,,001,GOBERNADOR,1,00000,,00998,VOTOS NO MARCADOS,4
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,12,00,,001,GOBERNADOR,1,00012,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS,00003,JOSE GIOVANY PINZON BAEZ,19
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,12,00,,001,GOBERNADOR,1,00015,PARTIDO COLOMBIA RENACIENTE,00001,OLMEDO VARGAS HERNANDEZ,20
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,12,00,,001,GOBERNADOR,1,03171,GRAN ALIANZA POR BOYACA,00002,RAMIRO BARRAGAN ADAME,85
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,12,00,,001,GOBERNADOR,1,04019,JUNTOS #ESMOMENTO,00004,JONATAN SANCHEZ GARAVITO,52
