Código Departamento,Nombre Departamento,Código Municipio,Nombre Municipio,Código Zona,Código Puesto,Nombre Puesto,Mesa,Código Comuna,Nombre Comuna,Código Corporación,Nombre Corporación,Código Circunscripción,Nombre Circunscripción,Código CITREP,Nombre CITREP,Código Partido,Nombre Partido,Código Candidato,Nombre Candidato,Total Votos
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0012,00,,02,CAMARA,05,AFRO-DESCENDIENTES,00,NO CITREP,0000,,998,VOTOS NO MARCADOS,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0013,00,,02,CAMARA,05,AFRO-DESCENDIENTES,00,NO CITREP,0000,,998,VOTOS NO MARCADOS,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0007,00,,02,CAMARA,05,AFRO-DESCENDIENTES,00,NO CITREP,0000,,997,VOTOS NULOS,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0012,00,,02,CAMARA,05,AFRO-DESCENDIENTES,00,NO CITREP,0000,,997,VOTOS NULOS,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0011,00,,02,CAMARA,06,INDIGENAS,00,NO CITREP,0000,,996,VOTOS EN BLANCO,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0013,00,,02,CAMARA,06,INDIGENAS,00,NO CITREP,0000,,996,VOTOS EN BLANCO,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0005,00,,02,CAMARA,05,AFRO-DESCENDIENTES,00,NO CITREP,0000,,996,VOTOS EN BLANCO,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0007,00,,02,CAMARA,05,AFRO-DESCENDIENTES,00,NO CITREP,0000,,996,VOTOS EN BLANCO,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0010,00,,02,CAMARA,05,AFRO-DESCENDIENTES,00,NO CITREP,0058,CONSEJO COMUNITARIO MANUEL ZAPATA OLIVELLA DE SAN ANTERO,301,JORGE IVAN MINA LASSO,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0009,00,,02,CAMARA,05,AFRO-DESCENDIENTES,00,NO CITREP,0067,C.C LA TOMA,303,IDALMY MINOTTA TERAN,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0001,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0019,PARTIDO NUEVO LIBERALISMO,104,CLAUDIA BEATRIZ DUARTE ACOSTA,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0003,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0019,PARTIDO NUEVO LIBERALISMO,104,CLAUDIA BEATRIZ DUARTE ACOSTA,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0004,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0019,PARTIDO NUEVO LIBERALISMO,104,CLAUDIA BEATRIZ DUARTE ACOSTA,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0005,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0019,PARTIDO NUEVO LIBERALISMO,104,CLAUDIA BEATRIZ DUARTE ACOSTA,1
