Código Departamento,Nombre Departamento,Código Municipio,Nombre Municipio,Código Zona,Código Puesto,Nombre Puesto,Mesa,Código Comuna,Nombre Comuna,Código Corporación,Nombre Corporación,Código Circunscripción,Código Partido,Nombre Partido,Código Candidato,Nombre Candidato,Total Votos
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANTANDER,1,00,NACIONAL,003,ALCALDE,2,00000,CANDIDATOS TOTALES,00996,VOTOS EN BLANCO,8
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANTANDER,1,00,NACIONAL,003,ALCALDE,2,00000,CANDIDATOS TOTALES,00997,VOTOS NULOS,2
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANTANDER,1,00,NACIONAL,003,ALCALDE,2,00000,CANDIDATOS TOTALES,00998,VOTOS NO MARCADOS,4
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANTANDER,1,00,NACIONAL,003,ALCALDE,2,00003,PARTIDO CAMBIO RADICAL,00007,JULY PAOLA ACUÑA RINCON,17
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANTANDER,1,00,NACIONAL,003,ALCALDE,2,00024,PARTIDO DEMÓCRATA COLOMBIANO,00002,APULEYO SANABRIA VERGARA,1
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANTANDER,1,00,NACIONAL,003,ALCALDE,2,00026,PARTIDO POLÍTICO LA FUERZA DE LA PAZ,00009,MIKHAIL KRASNOV,36
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANTANDER,1,00,NACIONAL,003,ALCALDE,2,00037,MOVIMIENTO POLITICO FUERZA CIUDADANA,00004,CARLOS ENRIQUE VARGAS ANGARITA,2
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANTANDER,1,00,NACIONAL,003,ALCALDE,2,01885,TUNJA MERECE MÁS,00006,CESAR AUGUSTO LOPEZ MORALES,22
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANTANDER,1,00,NACIONAL,003,ALCALDE,2,08400,PACTO HISTORICO,00005,JONATHAN ARMANDO BOSIGAS MALAGON,9
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANTANDER,1,00,NACIONAL,003,ALCALDE,2,08528,COALICIÓN JOHN CARRERO ALCALDE,00008,JOHN ERNESTO CARRERO VILLAMIL,44
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANTANDER,1,00,NACIONAL,003,ALCALDE,2,08534,ALIANZA POR TUNJA,00001,VICENTE ANIBAL OJEDA MARTINEZ,27
