MUNNOMBRE;CANNOMBRE;PARNOMBRE;VOTOS
ALMEIDA;GRANADOS BECERRA JUAN CARLOS;20110258;988
ALMEIDA;BARON NEIRA LEON RIGOBERTO;18490002;143
ALMEIDA;GUARIN VIVAS GONZALO;20090002;43
ALMEIDA;MENDIETA POVEDA JORGE ARMANDO;19970004;1
AQUITANIA;GUARIN VIVAS GONZALO;20090002;4178
AQUITANIA;GRANADOS BECERRA JUAN CARLOS;20110258;2281
AQUITANIA;BARON NEIRA LEON RIGOBERTO;18490002;1079
AQUITANIA;MENDIETA POVEDA JORGE ARMANDO;19970004;179
ARCABUCO;GRANADOS BECERRA JUAN CARLOS;20110258;1750
ARCABUCO;BARON NEIRA LEON RIGOBERTO;18490002;607
ARCABUCO;GUARIN VIVAS GONZALO;20090002;352
ARCABUCO;MENDIETA POVEDA JORGE ARMANDO;19970004;15
BELEN;GRANADOS BECERRA JUAN CARLOS;20110258;2166
BELEN;BARON NEIRA LEON RIGOBERTO;18490002;1333
BELEN;GUARIN VIVAS GONZALO;20090002;675
BELEN;MENDIETA POVEDA JORGE ARMANDO;19970004;11
BERBEO;GUARIN VIVAS GONZALO;20090002;565
BERBEO;GRANADOS BECERRA JUAN CARLOS;20110258;460
BERBEO;BARON NEIRA LEON RIGOBERTO;18490002;22
BERBEO;MENDIETA POVEDA JORGE ARMANDO;19970004;4
BETEITIVA;GRANADOS BECERRA JUAN CARLOS;20110258;912
BETEITIVA;GUARIN VIVAS GONZALO;20090002;282
BETEITIVA;BARON NEIRA LEON RIGOBERTO;18490002;66
BETEITIVA;MENDIETA POVEDA JORGE ARMANDO;19970004;24
BOAVITA;GUARIN VIVAS GONZALO;20090002;1262
BOAVITA;BARON NEIRA LEON RIGOBERTO;18490002;985
BOAVITA;GRANADOS BECERRA JUAN CARLOS;20110258;720
BOAVITA;MENDIETA POVEDA JORGE ARMANDO;19970004;30
BOYACA;GRANADOS BECERRA JUAN CARLOS;20110258;2148
BOYACA;GUARIN VIVAS GONZALO;20090002;211
BOYACA;BARON NEIRA LEON RIGOBERTO;18490002;88
BOYACA;MENDIETA POVEDA JORGE ARMANDO;19970004;42
BRICENO;GRANADOS BECERRA JUAN CARLOS;20110258;620
BRICENO;BARON NEIRA LEON RIGOBERTO;18490002;503
BRICENO;GUARIN VIVAS GONZALO;20090002;120
BRICENO;MENDIETA POVEDA JORGE ARMANDO;19970004;35
BUENAVISTA;GRANADOS BECERRA JUAN CARLOS;20110258;1924
BUENAVISTA;BARON NEIRA LEON RIGOBERTO;18490002;378
BUENAVISTA;GUARIN VIVAS GONZALO;20090002;167
BUENAVISTA;MENDIETA POVEDA JORGE ARMANDO;19970004;46
BUSBANZA;GRANADOS BECERRA JUAN CARLOS;20110258;281
BUSBANZA;BARON NEIRA LEON RIGOBERTO;18490002;193
BUSBANZA;GUARIN VIVAS GONZALO;20090002;72
BUSBANZA;MENDIETA POVEDA JORGE ARMANDO;19970004;2
CALDAS;GRANADOS BECERRA JUAN CARLOS;20110258;929
CALDAS;BARON NEIRA LEON RIGOBERTO;18490002;482
CALDAS;GUARIN VIVAS GONZALO;20090002;212
CALDAS;MENDIETA POVEDA JORGE ARMANDO;19970004;33
CAMPOHERMOSO;GRANADOS BECERRA JUAN CARLOS;20110258;1344
CAMPOHERMOSO;BARON NEIRA LEON RIGOBERTO;18490002;191
CAMPOHERMOSO;GUARIN VIVAS GONZALO;20090002;86
CAMPOHERMOSO;MENDIETA POVEDA JORGE ARMANDO;19970004;4
CERINZA;GRANADOS BECERRA JUAN CARLOS;20110258;922
CERINZA;BARON NEIRA LEON RIGOBERTO;18490002;652
CERINZA;GUARIN VIVAS GONZALO;20090002;592
CERINZA;MENDIETA POVEDA JORGE ARMANDO;19970004;4
CHINAVITA;GUARIN VIVAS GONZALO;20090002;962
CHINAVITA;GRANADOS BECERRA JUAN CARLOS;20110258;684
CHINAVITA;BARON NEIRA LEON RIGOBERTO;18490002;190
CHINAVITA;MENDIETA POVEDA JORGE ARMANDO;19970004;17
CHIQUINQUIRA;GRANADOS BECERRA JUAN CARLOS;20110258;9209
CHIQUINQUIRA;BARON NEIRA LEON RIGOBERTO;18490002;6947
CHIQUINQUIRA;GUARIN VIVAS GONZALO;20090002;2798
CHIQUINQUIRA;MENDIETA POVEDA JORGE ARMANDO;19970004;776
CHIQUIZA;GRANADOS BECERRA JUAN CARLOS;20110258;2272
CHIQUIZA;GUARIN VIVAS GONZALO;20090002;812
CHIQUIZA;BARON NEIRA LEON RIGOBERTO;18490002;106
CHIQUIZA;MENDIETA POVEDA JORGE ARMANDO;19970004;10
CHISCAS;GRANADOS BECERRA JUAN CARLOS;20110258;1280
CHISCAS;GUARIN VIVAS GONZALO;20090002;678
CHISCAS;BARON NEIRA LEON RIGOBERTO;18490002;120
CHISCAS;MENDIETA POVEDA JORGE ARMANDO;19970004;22
CHITA;GRANADOS BECERRA JUAN CARLOS;20110258;2397
CHITA;BARON NEIRA LEON RIGOBERTO;18490002;735
CHITA;GUARIN VIVAS GONZALO;20090002;413
CHITA;MENDIETA POVEDA JORGE ARMANDO;19970004;38
CHITARAQUE;GRANADOS BECERRA JUAN CARLOS;20110258;2741
CHITARAQUE;BARON NEIRA LEON RIGOBERTO;18490002;301
CHITARAQUE;GUARIN VIVAS GONZALO;20090002;39
CHITARAQUE;MENDIETA POVEDA JORGE ARMANDO;19970004;18
CHIVATA;GRANADOS BECERRA JUAN CARLOS;20110258;773
CHIVATA;GUARIN VIVAS GONZALO;20090002;731
CHIVATA;BARON NEIRA LEON RIGOBERTO;18490002;180
CHIVATA;MENDIETA POVEDA JORGE ARMANDO;19970004;6
CHIVOR;BARON NEIRA LEON RIGOBERTO;18490002;445
CHIVOR;GUARIN VIVAS GONZALO;20090002;432
CHIVOR;GRANADOS BECERRA JUAN CARLOS;20110258;197
CHIVOR;MENDIETA POVEDA JORGE ARMANDO;19970004;7
CIENEGA;GRANADOS BECERRA JUAN CARLOS;20110258;1290
CIENEGA;BARON NEIRA LEON RIGOBERTO;18490002;760
CIENEGA;GUARIN VIVAS GONZALO;20090002;499
CIENEGA;MENDIETA POVEDA JORGE ARMANDO;19970004;9
COMBITA;GRANADOS BECERRA JUAN CARLOS;20110258;2627
COMBITA;GUARIN VIVAS GONZALO;20090002;1444
COMBITA;BARON NEIRA LEON RIGOBERTO;18490002;1072
COMBITA;MENDIETA POVEDA JORGE ARMANDO;19970004;37
COPER;GRANADOS BECERRA JUAN CARLOS;20110258;1044
COPER;BARON NEIRA LEON RIGOBERTO;18490002;515
COPER;GUARIN VIVAS GONZALO;20090002;331
COPER;MENDIETA POVEDA JORGE ARMANDO;19970004;34
CORRALES;GRANADOS BECERRA JUAN CARLOS;20110258;1313
CORRALES;GUARIN VIVAS GONZALO;20090002;176
CORRALES;BARON NEIRA LEON RIGOBERTO;18490002;79
CORRALES;MENDIETA POVEDA JORGE ARMANDO;19970004;3
COVARACHIA;GRANADOS BECERRA JUAN CARLOS;20110258;703
COVARACHIA;GUARIN VIVAS GONZALO;20090002;473
COVARACHIA;BARON NEIRA LEON RIGOBERTO;18490002;160
COVARACHIA;MENDIETA POVEDA JORGE ARMANDO;19970004;29
CUBARA;GUARIN VIVAS GONZALO;20090002;967
CUBARA;GRANADOS BECERRA JUAN CARLOS;20110258;618
CUBARA;BARON NEIRA LEON RIGOBERTO;18490002;413
CUBARA;MENDIETA POVEDA JORGE ARMANDO;19970004;7
CUCAITA;GRANADOS BECERRA JUAN CARLOS;20110258;1109
CUCAITA;GUARIN VIVAS GONZALO;20090002;675
CUCAITA;BARON NEIRA LEON RIGOBERTO;18490002;335
CUCAITA;MENDIETA POVEDA JORGE ARMANDO;19970004;21
CUITIVA;GRANADOS BECERRA JUAN CARLOS;20110258;693
CUITIVA;GUARIN VIVAS GONZALO;20090002;261
CUITIVA;BARON NEIRA LEON RIGOBERTO;18490002;237
CUITIVA;MENDIETA POVEDA JORGE ARMANDO;19970004;0
DUITAMA;GUARIN VIVAS GONZALO;20090002;21231
DUITAMA;GRANADOS BECERRA JUAN CARLOS;20110258;18971
DUITAMA;BARON NEIRA LEON RIGOBERTO;18490002;4708
DUITAMA;MENDIETA POVEDA JORGE ARMANDO;19970004;157
EL COCUY;GRANADOS BECERRA JUAN CARLOS;20110258;1250
EL COCUY;BARON NEIRA LEON RIGOBERTO;18490002;1021
EL COCUY;GUARIN VIVAS GONZALO;20090002;64
EL COCUY;MENDIETA POVEDA JORGE ARMANDO;19970004;5
EL ESPINO;GRANADOS BECERRA JUAN CARLOS;20110258;739
EL ESPINO;BARON NEIRA LEON RIGOBERTO;18490002;549
EL ESPINO;GUARIN VIVAS GONZALO;20090002;142
EL ESPINO;MENDIETA POVEDA JORGE ARMANDO;19970004;3
FIRAVITOBA;GRANADOS BECERRA JUAN CARLOS;20110258;1708
FIRAVITOBA;BARON NEIRA LEON RIGOBERTO;18490002;946
FIRAVITOBA;GUARIN VIVAS GONZALO;20090002;460
FIRAVITOBA;MENDIETA POVEDA JORGE ARMANDO;19970004;17
FLORESTA;BARON NEIRA LEON RIGOBERTO;18490002;702
FLORESTA;GUARIN VIVAS GONZALO;20090002;695
FLORESTA;GRANADOS BECERRA JUAN CARLOS;20110258;604
FLORESTA;MENDIETA POVEDA JORGE ARMANDO;19970004;7
GACHANTIVA;GRANADOS BECERRA JUAN CARLOS;20110258;1078
GACHANTIVA;GUARIN VIVAS GONZALO;20090002;340
GACHANTIVA;BARON NEIRA LEON RIGOBERTO;18490002;326
GACHANTIVA;MENDIETA POVEDA JORGE ARMANDO;19970004;10
GAMEZA;GRANADOS BECERRA JUAN CARLOS;20110258;1574
GAMEZA;BARON NEIRA LEON RIGOBERTO;18490002;511
GAMEZA;GUARIN VIVAS GONZALO;20090002;359
GAMEZA;MENDIETA POVEDA JORGE ARMANDO;19970004;17
GARAGOA;GRANADOS BECERRA JUAN CARLOS;20110258;2924
GARAGOA;BARON NEIRA LEON RIGOBERTO;18490002;1618
GARAGOA;GUARIN VIVAS GONZALO;20090002;1483
GARAGOA;MENDIETA POVEDA JORGE ARMANDO;19970004;88
GUACAMAYAS;BARON NEIRA LEON RIGOBERTO;18490002;922
GUACAMAYAS;GRANADOS BECERRA JUAN CARLOS;20110258;272
GUACAMAYAS;GUARIN VIVAS GONZALO;20090002;16
GUACAMAYAS;MENDIETA POVEDA JORGE ARMANDO;19970004;6
GUATEQUE;GRANADOS BECERRA JUAN CARLOS;20110258;3773
GUATEQUE;BARON NEIRA LEON RIGOBERTO;18490002;514
GUATEQUE;GUARIN VIVAS GONZALO;20090002;447
GUATEQUE;MENDIETA POVEDA JORGE ARMANDO;19970004;38
GUAYATA;GRANADOS BECERRA JUAN CARLOS;20110258;1336
GUAYATA;BARON NEIRA LEON RIGOBERTO;18490002;1099
GUAYATA;GUARIN VIVAS GONZALO;20090002;32
GUAYATA;MENDIETA POVEDA JORGE ARMANDO;19970004;18
GUICAN DE LA SIERRA;BARON NEIRA LEON RIGOBERTO;18490002;896
GUICAN DE LA SIERRA;GRANADOS BECERRA JUAN CARLOS;20110258;566
GUICAN DE LA SIERRA;GUARIN VIVAS GONZALO;20090002;399
GUICAN DE LA SIERRA;MENDIETA POVEDA JORGE ARMANDO;19970004;14
IZA;GRANADOS BECERRA JUAN CARLOS;20110258;780
IZA;GUARIN VIVAS GONZALO;20090002;373
IZA;BARON NEIRA LEON RIGOBERTO;18490002;124
IZA;MENDIETA POVEDA JORGE ARMANDO;19970004;10
JENESANO;GRANADOS BECERRA JUAN CARLOS;20110258;2670
JENESANO;GUARIN VIVAS GONZALO;20090002;355
JENESANO;BARON NEIRA LEON RIGOBERTO;18490002;91
JENESANO;MENDIETA POVEDA JORGE ARMANDO;19970004;22
JERICO;BARON NEIRA LEON RIGOBERTO;18490002;897
JERICO;GUARIN VIVAS GONZALO;20090002;628
JERICO;GRANADOS BECERRA JUAN CARLOS;20110258;343
JERICO;MENDIETA POVEDA JORGE ARMANDO;19970004;21
LA CAPILLA;GRANADOS BECERRA JUAN CARLOS;20110258;829
LA CAPILLA;BARON NEIRA LEON RIGOBERTO;18490002;701
LA CAPILLA;GUARIN VIVAS GONZALO;20090002;185
