MUNNOMBRE;CANNOMBRE;PARNOMBRE;VOTOS
ALMEIDA;Nancy Yaneth Vaca Gutierrez;PARTIDO CENTRO DEMOCRATICO;125
ALMEIDA;Luis Alberto Morales Montenegro;PARTIDO CAMBIO RADICAL;88
ALMEIDA;Ana Leonila Vallejo Calderon;PARTIDO CENTRO DEMOCRATICO;79
ALMEIDA;Angel Custodio Sanchez Roa;PARTIDO OPCION CIUDADANA;73
ALMEIDA;Pedro Dairo Baez Holguin;PARTIDO CAMBIO RADICAL;61
ALMEIDA;Jose Rosendo Avila Chicacausa;PARTIDO OPCION CIUDADANA;57
ALMEIDA;Fraiver Hernando Calderon Perilla;PARTIDO DE LA U;56
ALMEIDA;Manuel Antonio Alvarado Mondragon;PARTIDO CAMBIO RADICAL;56
ALMEIDA;Jairo Eliecer Gonzalez Algarra;PARTIDO DE LA U;55
ALMEIDA;Yanile Andrea Sanchez Perilla;PARTIDO CAMBIO RADICAL;54
ALMEIDA;Fanny Raquel Avila Vallejo;PARTIDO CAMBIO RADICAL;53
ALMEIDA;Jose Antonio Parra Romero;PARTIDO OPCION CIUDADANA;52
ALMEIDA;Gloria Nelsy Salinas Celis;PARTIDO CENTRO DEMOCRATICO;50
ALMEIDA;Juan Pablo Chivata Chivata;PARTIDO CONSERVADOR COLOMBIANO;37
ALMEIDA;Luz Stella Calderon Bohorquez;PARTIDO OPCION CIUDADANA;36
ALMEIDA;Carmen Rosa Alvarado Vaca;PARTIDO CAMBIO RADICAL;33
ALMEIDA;Siervo Tulio Mondragon Chivata;PARTIDO CENTRO DEMOCRATICO;32
ALMEIDA;Victor Manuel Romero Romero;PARTIDO CENTRO DEMOCRATICO;28
ALMEIDA;Hector Jaime Martinez Gonzalez;PARTIDO OPCION CIUDADANA;25
ALMEIDA;Tarjetas No Marcados;nan;25
ALMEIDA;Fredy Yesid Romero Montenegro;PARTIDO DE LA U;24
ALMEIDA;Lidio Anselmo Mondragon;PARTIDO DE LA U;23
ALMEIDA;Nestor Alexander Gonzalez Daza;PARTIDO CENTRO DEMOCRATICO;23
ALMEIDA;Luis Miguel Lopez Espitia;PARTIDO CONSERVADOR COLOMBIANO;21
ALMEIDA;Luz Enith Bustos Barrera;PARTIDO DE LA U;19
ALMEIDA;Agripina Daza Daza;PARTIDO CONSERVADOR COLOMBIANO;17
ALMEIDA;Juan De Jesus Sanchez Lopez;PARTIDO CENTRO DEMOCRATICO;17
ALMEIDA;Nubia Marcela Lopez Lopez;PARTIDO DE LA U;17
ALMEIDA;Juan Carlos Sanchez Lesmes;PARTIDO CAMBIO RADICAL;15
ALMEIDA;Lucrecia Lopez Lopez;PARTIDO OPCION CIUDADANA;14
ALMEIDA;Paola Yaneth Triana Chivata;PARTIDO CONSERVADOR COLOMBIANO;14
ALMEIDA;Luz Aurora Salinas Vaca;PARTIDO CONSERVADOR COLOMBIANO;13
ALMEIDA;Partido Cambio Radical;Partido Cambio Radical;9
ALMEIDA;Partido Opcion Ciudadana;Partido Opcion Ciudadana;9
ALMEIDA;Hector Orlando Barrera Calderon;PARTIDO CONSERVADOR COLOMBIANO;7
ALMEIDA;Angel Guillermo Mondragon Castillo;PARTIDO CONSERVADOR COLOMBIANO;5
ALMEIDA;Elsa Aurora Cuesta Montenegro;PARTIDO OPCION CIUDADANA;4
ALMEIDA;Partido Centro Democratico;Partido Centro Democratico;4
ALMEIDA;Partido De La U;Partido De La U;4
ALMEIDA;Partido Conservador Colombiano;Partido Conservador Colombiano;2
AQUITANIA;Jhon Fernando Montana Gutierrez;PARTIDO CONSERVADOR COLOMBIANO;436
AQUITANIA;Oscar Dario Hurtado Perez;PARTIDO CONSERVADOR COLOMBIANO;378
AQUITANIA;Julio Enrique Piragauta Pesca;PARTIDO OPCION CIUDADANA;358
AQUITANIA;Tarjetas No Marcados;nan;340
AQUITANIA;Albeiro Armando Cepeda Cepeda;PARTIDO DE LA U;280
AQUITANIA;Crispolo German Montana Montana;PARTIDO DE LA U;229
AQUITANIA;Clelia Alarcon Lemus;PARTIDO CONSERVADOR COLOMBIANO;220
AQUITANIA;Nelson Rene Cardenas Rodriguez;PARTIDO ALIANZA SOCIAL INDEPENDIENTE;216
AQUITANIA;Kimo Alexander Perez Vargas;PARTIDO CAMBIO RADICAL;208
AQUITANIA;Segundo Venancio Rios Trujillo;PARTIDO ALIANZA VERDE;188
AQUITANIA;Miguel Antonio Salamanca Rico;PARTIDO ALIANZA SOCIAL INDEPENDIENTE;186
AQUITANIA;Luis Octavio Montana Perez;PARTIDO ALIANZA SOCIAL INDEPENDIENTE;179
AQUITANIA;Edgar Orlando Plazas Mesa;PARTIDO CAMBIO RADICAL;172
AQUITANIA;Wilmer Ferney Pedraza Gutierrez;PARTIDO CENTRO DEMOCRATICO;167
AQUITANIA;German Chaparro Munevar;PARTIDO CONSERVADOR COLOMBIANO;159
AQUITANIA;Hector Orlando Lemus Chaparro;PARTIDO CENTRO DEMOCRATICO;153
AQUITANIA;Cesar Uriel Cardozo Chaparro;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;142
AQUITANIA;Rafael Angel Camargo Montana;PARTIDO CONSERVADOR COLOMBIANO;136
AQUITANIA;Franky Hernan Sanchez Munevar;PARTIDO CONSERVADOR COLOMBIANO;134
