MUNNOMBRE;CANNOMBRE;PARNOMBRE;VOTOS
ALMEIDA;SI;SI;347
ALMEIDA;NO;NO;327
AQUITANIA (PUEBLOVIEJO);NO;NO;2984
AQUITANIA (PUEBLOVIEJO);SI;SI;1208
ARCABUCO;NO;NO;882
ARCABUCO;SI;SI;773
BELEN;NO;NO;1344
BELEN;SI;SI;1150
BERBEO;SI;SI;387
BERBEO;NO;NO;181
BETEITIVA;SI;SI;407
BETEITIVA;NO;NO;252
BOAVITA;NO;NO;1012
BOAVITA;SI;SI;798
BOYACA;SI;SI;601
BOYACA;NO;NO;422
BRICEÑO;SI;SI;471
BRICEÑO;NO;NO;282
BUENAVISTA;NO;NO;790
BUENAVISTA;SI;SI;616
BUSBANZA;NO;NO;183
BUSBANZA;SI;SI;174
CALDAS;SI;SI;651
CALDAS;NO;NO;453
CAMPOHERMOSO;SI;SI;507
CAMPOHERMOSO;NO;NO;432
CERINZA;SI;SI;961
CERINZA;NO;NO;595
CHINAVITA;NO;NO;496
CHINAVITA;SI;SI;421
CHIQUINQUIRA;NO;NO;8554
CHIQUINQUIRA;SI;SI;8163
CHIQUIZA;SI;SI;537
CHIQUIZA;NO;NO;330
CHISCAS;SI;SI;672
CHISCAS;NO;NO;658
CHITA;NO;NO;1296
CHITA;SI;SI;873
CHITARAQUE;NO;NO;962
CHITARAQUE;SI;SI;644
CHIVATA;SI;SI;477
CHIVATA;NO;NO;439
CHIVOR;NO;NO;378
CHIVOR;SI;SI;260
CIENEGA;NO;NO;655
CIENEGA;SI;SI;543
COMBITA;SI;SI;2081
COMBITA;NO;NO;1452
COPER;SI;SI;779
COPER;NO;NO;511
CORRALES;NO;NO;511
CORRALES;SI;SI;408
COVARACHIA;NO;NO;626
COVARACHIA;SI;SI;394
CUBARA;SI;SI;781
CUBARA;NO;NO;597
CUCAITA;SI;SI;683
CUCAITA;NO;NO;543
CUITIVA;NO;NO;363
CUITIVA;SI;SI;269
DUITAMA;NO;NO;20776
DUITAMA;SI;SI;19524
EL COCUY;NO;NO;830
EL COCUY;SI;SI;374
EL ESPINO;NO;NO;627
EL ESPINO;SI;SI;339
FIRAVITOBA;SI;SI;1317
FIRAVITOBA;NO;NO;758
FLORESTA;NO;NO;799
FLORESTA;SI;SI;527
GACHANTIVA;NO;NO;678
GACHANTIVA;SI;SI;621
GAMEZA;NO;NO;825
GAMEZA;SI;SI;621
GARAGOA;SI;SI;2534
GARAGOA;NO;NO;2485
GUACAMAYAS;NO;NO;479
GUACAMAYAS;SI;SI;122
GUATEQUE;SI;SI;1718
GUATEQUE;NO;NO;1599
GUAYATA;SI;SI;861
GUAYATA;NO;NO;633
GUICAN;NO;NO;592
GUICAN;SI;SI;556
IZA;NO;NO;465
IZA;SI;SI;367
JENESANO;SI;SI;1031
JENESANO;NO;NO;584
JERICO;NO;NO;569
JERICO;SI;SI;359
LA CAPILLA;SI;SI;525
LA CAPILLA;NO;NO;493
LA UVITA;NO;NO;611
LA UVITA;SI;SI;287
LA VICTORIA;SI;SI;417
LA VICTORIA;NO;NO;136
LABRANZAGRANDE;NO;NO;529
LABRANZAGRANDE;SI;SI;444
MACANAL;NO;NO;728
MACANAL;SI;SI;464
MARIPI;SI;SI;1371
MARIPI;NO;NO;459
MIRAFLORES;SI;SI;2330
MIRAFLORES;NO;NO;1233
MONGUA;NO;NO;1258
MONGUA;SI;SI;397
MONGUI;NO;NO;870
MONGUI;SI;SI;530
MONIQUIRA;SI;SI;3257
MONIQUIRA;NO;NO;3016
MOTAVITA;SI;SI;955
MOTAVITA;NO;NO;836
MUZO;NO;NO;1470
MUZO;SI;SI;860
NOBSA;SI;SI;2835
NOBSA;NO;NO;2809
NUEVO COLON;SI;SI;1107
NUEVO COLON;NO;NO;624
OICATA;SI;SI;605
OICATA;NO;NO;492
OTANCHE;NO;NO;1297
OTANCHE;SI;SI;1031
PACHAVITA;NO;NO;374
PACHAVITA;SI;SI;370
PAEZ;NO;NO;613
PAEZ;SI;SI;558
PAIPA;SI;SI;6187
PAIPA;NO;NO;4866
PAJARITO;NO;NO;399
PAJARITO;SI;SI;234
PANQUEBA;NO;NO;335
PANQUEBA;SI;SI;285
PAUNA;SI;SI;1527
PAUNA;NO;NO;804
PAYA;NO;NO;383
PAYA;SI;SI;320
PAZ DE RIO;SI;SI;1119
PAZ DE RIO;NO;NO;566
PESCA;NO;NO;1061
PESCA;SI;SI;710
PISBA;NO;NO;256
PISBA;SI;SI;195
PUERTO BOYACA;NO;NO;9611
PUERTO BOYACA;SI;SI;4276
QUIPAMA;NO;NO;1066
QUIPAMA;SI;SI;637
RAMIRIQUI;SI;SI;1476
RAMIRIQUI;NO;NO;1277
RAQUIRA;NO;NO;851
RAQUIRA;SI;SI;815
RONDON;SI;SI;469
RONDON;NO;NO;426
SABOYA;SI;SI;2246
SABOYA;NO;NO;1250
SACHICA;SI;SI;702
SACHICA;NO;NO;624
SAMACA;SI;SI;2343
SAMACA;NO;NO;2340
SAN EDUARDO;SI;SI;434
SAN EDUARDO;NO;NO;245
SAN JOSE DE PARE;SI;SI;946
SAN JOSE DE PARE;NO;NO;844
SAN LUIS DE GACENO;NO;NO;1110
SAN LUIS DE GACENO;SI;SI;628
SAN MATEO;NO;NO;720
SAN MATEO;SI;SI;368
SAN MIGUEL DE SEMA;NO;NO;550
SAN MIGUEL DE SEMA;SI;SI;513
SAN PABLO DE BORBUR;NO;NO;1236
SAN PABLO DE BORBUR;SI;SI;584
SANTA MARIA;NO;NO;656
SANTA MARIA;SI;SI;433
SANTA ROSA DE VITERBO;NO;NO;2073
SANTA ROSA DE VITERBO;SI;SI;1553
SANTA SOFIA;SI;SI;648
SANTA SOFIA;NO;NO;465
SANTANA;SI;SI;1106
SANTANA;NO;NO;1034
SATIVANORTE;SI;SI;373
SATIVANORTE;NO;NO;362
SATIVASUR;SI;SI;197
SATIVASUR;NO;NO;174
SIACHOQUE;NO;NO;1453
SIACHOQUE;SI;SI;778
SOATA;NO;NO;1988
SOATA;SI;SI;1461
SOCHA;NO;NO;1159
SOCHA;SI;SI;1049
SOCOTA;NO;NO;1214
SOCOTA;SI;SI;791
SOGAMOSO;NO;NO;20852
SOGAMOSO;SI;SI;20210
SOMONDOCO;SI;SI;529
SOMONDOCO;NO;NO;344
SORA;SI;SI;686
SORA;NO;NO;459
SORACA;NO;NO;1489
SORACA;SI;SI;800
SOTAQUIRA;SI;SI;1039
SOTAQUIRA;NO;NO;978
SUSACON;SI;SI;700
SUSACON;NO;NO;411
SUTAMARCHAN;SI;SI;1132
SUTAMARCHAN;NO;NO;931
SUTATENZA;NO;NO;662
SUTATENZA;SI;SI;612
TASCO;SI;SI;913
TASCO;NO;NO;641
TENZA;SI;SI;1028
TENZA;NO;NO;592
TIBANA;SI;SI;1372
TIBANA;NO;NO;740
TIBASOSA;SI;SI;1842
TIBASOSA;NO;NO;1685
TINJACA;SI;SI;632
TINJACA;NO;NO;505
TIPACOQUE;SI;SI;557
TIPACOQUE;NO;NO;520
TOCA;NO;NO;1108
TOCA;SI;SI;1107
TOGUI;SI;SI;516
TOGUI;NO;NO;410
TOPAGA;NO;NO;789
TOPAGA;SI;SI;552
TOTA;NO;NO;590
TOTA;SI;SI;318
TUNJA;SI;SI;32787
TUNJA;NO;NO;25110
TUNUNGUA;SI;SI;461
TUNUNGUA;NO;NO;181
TURMEQUE;SI;SI;1161
TURMEQUE;NO;NO;568
TUTA;SI;SI;1536
TUTA;NO;NO;1497
TUTAZA;SI;SI;492
