MUNNOMBRE;CANNOMBRE;PARNOMBRE;VOTOS
ALMEIDA;LONDONO ULLOA JORGE EDUARDO;PARTIDO ALIANZA VERDE;221
ALMEIDA;CEPEDA SARABIA EFRAIN JOSE;PARTIDO CONSERVADOR COLOMBIANO;80
ALMEIDA;BARRETO CASTILLO MIGUEL ANGEL;PARTIDO CONSERVADOR COLOMBIANO;72
ALMEIDA;MARTINEZ ARISTIZABAL MARITZA;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;64
ALMEIDA;PARTIDO ALIANZA VERDE;PARTIDO ALIANZA VERDE;30
ALMEIDA;URIBE VELEZ ALVARO;PARTIDO CENTRO DEMOCRATICO;23
ALMEIDA;PARTIDO CONSERVADOR COLOMBIANO;PARTIDO CONSERVADOR COLOMBIANO;21
ALMEIDA;RAMIREZ CORTES CIRO ALEJANDRO;PARTIDO CENTRO DEMOCRATICO;18
ALMEIDA;ROA LOPEZ OSMAN FERNANDO;PARTIDO CAMBIO RADICAL;16
ALMEIDA;GONZALEZ RODRIGUEZ AMANDA ROCIO;PARTIDO CENTRO DEMOCRATICO;12
ALMEIDA;GSC UNION CON FORTALEZA;GSC UNION CON FORTALEZA;10
ALMEIDA;GOMEZ AMIN MAURICIO;PARTIDO LIBERAL COLOMBIANO;8
ALMEIDA;MOCKUS SIVICKAS AURELIJUS RUTENIS ANTANAS;PARTIDO ALIANZA VERDE;8
ALMEIDA;VOTOS EN BLANCO INDIGENAS;;8
ALMEIDA;BARON NEIRA LEON RIGOBERTO;PARTIDO CENTRO DEMOCRATICO;7
ALMEIDA;PARTIDO CAMBIO RADICAL;PARTIDO CAMBIO RADICAL;7
ALMEIDA;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;7
ALMEIDA;CASTILLO CARDENAS DAVID FELIPE;PARTIDO CAMBIO RADICAL;6
ALMEIDA;GOMEZ MARTINEZ MIGUEL;PARTIDO CONSERVADOR COLOMBIANO;6
ALMEIDA;PENAGOS GIRALDO HERNAN;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;6
ALMEIDA;BARGUIL ASSIS DAVID ALEJANDRO;PARTIDO CONSERVADOR COLOMBIANO;5
ALMEIDA;PARTIDO CENTRO DEMOCRATICO;PARTIDO CENTRO DEMOCRATICO;5
ALMEIDA;SANGUINO PAEZ ANTONIO ERESMID;PARTIDO ALIANZA VERDE;5
ALMEIDA;BOLIVAR MORENO GUSTAVO;"COALICION LISTA DE LA DECENCIA (ASI;UP;MAIS)";4
ALMEIDA;ESPINDOLA NINO EDGAR;PARTIDO OPCION CIUDADANA;4
ALMEIDA;GERLEIN ECHEVERRIA ROBERTO VICTOR;PARTIDO CONSERVADOR COLOMBIANO;4
ALMEIDA;GSC COLOMBIA JUSTA LIBRES;GSC COLOMBIA JUSTA LIBRES;4
ALMEIDA;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL  MAIS;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL  MAIS;4
ALMEIDA;TAMAYO TAMAYO SOLEDAD;PARTIDO CONSERVADOR COLOMBIANO;4
ALMEIDA;VALDES RODRIGUEZ PABLO ENRIQUE;PARTIDO CONSERVADOR COLOMBIANO;4
ALMEIDA;MARTINEZ LADINO SEBASTIAN;PARTIDO POLITICO MIRA;3
ALMEIDA;NINO AVENDANO SEGUNDO SENEN;PARTIDO POLO DEMOCRATICO ALTERNATIVO;3
ALMEIDA;PARTIDO LIBERAL COLOMBIANO;PARTIDO LIBERAL COLOMBIANO;3
ALMEIDA;PARTIDO POLO DEMOCRATICO ALTERNATIVO;PARTIDO POLO DEMOCRATICO ALTERNATIVO;3
ALMEIDA;VILLALBA MOSQUERA RODRIGO;PARTIDO LIBERAL COLOMBIANO;3
ALMEIDA;ANDRADE ARRIAGA ANTONIO JOSE;PARTIDO ALIANZA VERDE;2
ALMEIDA;BURBANO RAMIREZ ROSA MARLENE;PARTIDO CONSERVADOR COLOMBIANO;2
ALMEIDA;CHAR CHALJUB ARTURO;PARTIDO CAMBIO RADICAL;2
