MUNNOMBRE;CANNOMBRE;PARNOMBRE;VOTOS
ALMEIDA;Orlando Castañeda Montenegro;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;575
ALMEIDA;Nancy Yaneth Vaca Gutierrez;PARTIDO CENTRO DEMOCRATICO;460
ALMEIDA;Carlos Humberto Castañeda Vargas;PARTIDO CAMBIO RADICAL;299
ALMEIDA;Angel Custodio Sanchez Roa;PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI;43
ALMEIDA;Oscar Abel Castañeda Romero;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;21
ALMEIDA;Nelson Martin Velasquez;PARTIDO CONSERVADOR COLOMBIANO;10
AQUITANIA PUEBLOVIEJO;Hector Orlando Barrera Cardenas;PARTIDO CONSERVADOR COLOMBIANO - ASI;3195
AQUITANIA PUEBLOVIEJO;Oscar Dario Hurtado Perez;SOMOS EL CAMBIO;2744
AQUITANIA PUEBLOVIEJO;Alexander Riveros Pedraza;CONSTRUYENDO FUTURO;2501
AQUITANIA PUEBLOVIEJO;Libia Rocio Garcia Amaya;PARTIDO CENTRO DEMOCRATICO;564
AQUITANIA PUEBLOVIEJO;Javier Albeiro Preciado Gutierrez;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;203
ARCABUCO;Yamith Rodrigo Rodriguez Lopez;PARTIDO CONSERVADOR COLOMBIANO  - CENTRO DEMOCRATICO - POLO DEMOCRATICO;2000
ARCABUCO;Jairo Ruiz Salazar;ARCOBUCO SOCIAL Y PRODUCTIVO;1136
ARCABUCO;Viviana Patricia Poveda Castellanos;ARCABUCO VERDE Y RENACIENTE;408
ARCABUCO;Jose Eduar Molina Suarez;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;229
BELEN;Oscar Eduardo Boada Castro;PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI;2336
BELEN;Cabeto Perez Diaz;PARTIDO LIBERAL COLOMBIANO;1024
BELEN;Jaime Alonso Amaya Silva;PARTIDO CENTRO DEMOCRATICO;926
BELEN;Joaquin Antonio Perea Lara;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;372
BELEN;Albeiro Arley Amado Amado;PARTIDO CONSERVADOR COLOMBIANO;271
BERBEO;Daniel Lopez Vallejo;HECHOS Y NO PALABRAS;643
BERBEO;Hildo Hernan Juez Vargas;TODOS SOMOS BERBEO;498
BETEITIVA;Edwin Rene Pava Rincon;PARTIDO CAMBIO RADICAL;866
BETEITIVA;Eli Alvarez Cardenas;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;424
BETEITIVA;Jose Benigno Umaña Rojas;JUNTOS CONSTRUYAMOS BIENESTAR;260
BOAVITA;Fabio Figueroa Jimenez;PARTIDO ALIANZA VERDE;1912
BOAVITA;David Ricardo Gayon Muñoz;PARTIDO CONSERVADOR COLOMBIANO - CAMBIO RADICAL - PARTIDO DE LA U;1126
BOAVITA;Martin Medina Jaime;PARTIDO CENTRO DEMOCRATICO;170
BOAVITA;Mario Rosas Bermudez;POR LA DIGNIDAD DE UN PUEBLO PDP;54
BOYACA;Rafael Antonio Rativa Diaz;PARA SERVIRLE A USTED;1695
BOYACA;Ezequiel Guerra Parada;ALCALDIA DE BOYACA;1650
BRICEÑO;Beatriz Paez Castellanos;PARTIDO ALIANZA VERDE;871
BRICEÑO;Jhon Arley Pineda Gonzalez;PARTIDO CAMBIO RADICAL;385
BRICEÑO;Pablo Antonio Solano Rivera;PARTIDO CENTRO DEMOCRATICO;352
BRICEÑO;Pedro Alexander Quesada Avila;PARTIDO CONSERVADOR COLOMBIANO;122
BUENAVISTA;Miguel Antonio Castillo Barragan;GOBIERNO DE RESULTADOS;2270
BUENAVISTA;Cesar Javier Briceño Suarez;BUENAVISTA NOS UNE;1328
BUSBANZA;Wyllan Orlando Peñaloza Albarracin;PARTIDO ALIANZA VERDE;417
BUSBANZA;Omar Vargas Albarracin;PARTIDO CONSERVADOR COLOMBIANO;359
CALDAS;Isnardo Alfonso Castellanos Peña;UNIDOS POR EL PROGRESO DE CALDAS;961
CALDAS;Victor Manuel Cuervo Cañon;ALCALDIA DE CALDAS BOYACA;537
CALDAS;John Carlos Paez Cruz;PARTIDO ALIANZA VERDE;530
CALDAS;Julio Guillermo Lancheros Lancheros;PARTIDO CAMBIO RADICAL;206
CAMPOHERMOSO;Jaime Yesid Rodriguez Romero;PARTIDO CENTRO DEMOCRATICO;970
CAMPOHERMOSO;Marco Julio Vega Gallego;PARTIDO CONSERVADOR COLOMBIANO;888
CERINZA;Juan Alcibiades Cely Amaya;PARTIDO CONSERVADOR COLOMBIANO;739
CERINZA;Henry Antonio Eslava Manosalva;PARTIDO ALIANZA VERDE;611
CERINZA;Gloria Esperanza Vega Pinto;PARTIDO CENTRO DEMOCRATICO;588
