MUNNOMBRE;CANNOMBRE;PARNOMBRE;VOTOS
ALMEIDA;ALBA LUZ BECERRA BECERRA;PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI;1
ALMEIDA;ALBERTO ENRIQUE MURILLO SANCHEZ;Cambio Radical;2
ALMEIDA;ALFREDO HORACIO CORREA HIGUERA;Cambio Radical;18
ALMEIDA;ANA ADELA PULIDO CUADROS;Partido Conservador Colombiano;1
ALMEIDA;ANDERSON JOAQUIN SANCHEZ RUIZ;Partido Liberal Colombiano;50
ALMEIDA;ANDRES MAURICIO ESCARRIA BARRAZA;Cambio Radical;3
ALMEIDA;ANGELA PATRICIA VELANDIA NOVOA;Alianza Verde;4
ALMEIDA;ANGELA ROCIO UMAÑA ROJAS;Partido Conservador Colombiano;2
ALMEIDA;ANTONIO ERNESTO LEGUIZAMO DIAZ;Partido Liberal Colombiano;5
ALMEIDA;ARMANDO BUITRAGO ACEVEDO;PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI;1
ALMEIDA;AURA LUCIA ORTIZ CARDONA;Centro Democrático;5
ALMEIDA;BOYACA DECENTE;BOYACA DECENTE;1
ALMEIDA;CARLOS ALFREDO SIZA BLANCO;Partido Conservador Colombiano;3
ALMEIDA;CARLOS EDUARDO VEGA ALVAREZ;BOYACA DECENTE;1
ALMEIDA;CESAR AUGUSTO MOJICA BEDOYA;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;1
ALMEIDA;CLAUDIA YANETH AVILA CASTILLO;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;1
ALMEIDA;CONCHA JAEL VARGAS SAAVEDRA;Partido Conservador Colombiano;7
ALMEIDA;DAVID SANTIAGO OCHOA GARCIA;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;1
ALMEIDA;EDWIN ANDRES RODRIGUEZ RODRIGUEZ;Partido Liberal Colombiano;2
ALMEIDA;ELIANA HASLEIDY GAMEZ PINILLA;Cambio Radical;1
ALMEIDA;ELIANA MARIA VILLATE FONSECA;Partido Conservador Colombiano;3
ALMEIDA;ELSA MARLEN MANRIQUE PULGAR;Partido Liberal Colombiano;1
ALMEIDA;ERIKA DAYANA PIRAGAUTA RODRIGUEZ;Partido Liberal Colombiano;1
ALMEIDA;FABIAN CAMILO ROJAS BARRERA;Partido Liberal Colombiano;6
ALMEIDA;FERNANDO ALEXANDER SERRATO FONSECA;Partido Liberal Colombiano;70
ALMEIDA;FERNANDO AUGUSTO DIAZ SAENZ;Partido Conservador Colombiano;264
ALMEIDA;FLOR ELBA VELANDIA CELY;PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI;17
ALMEIDA;FREDY JULIAN CASTRO RODRIGUEZ;Centro Democrático;4
ALMEIDA;GREGORIO MORALES TOVAR;BOYACA DECENTE;1
ALMEIDA;GUSTAVO EDUARDO CASTAÑEDA NIÑO;Alianza Verde;1
ALMEIDA;HECTOR JOSUE CAMACHO ACOSTA;Centro Democrático;4
ALMEIDA;HELVER ARIEL AVILA PANCHE;Centro Democrático;2
ALMEIDA;HERNANDO ARIAS OCHOA;PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI;1
ALMEIDA;HUGO ALVEIRO ROSAS ROMERO;Alianza Verde;2
ALMEIDA;INGRID MARLEN SOGAMOSO ALFONSO;Centro Democrático;211
ALMEIDA;IRMA YINETH VELANDIA SANDOVAL;Cambio Radical;3
ALMEIDA;IVAN RICARDO PIRACHICAN BERNAL;Partido Conservador Colombiano;9
ALMEIDA;JAIME ANDRES GOMEZ GOMEZ;Partido Conservador Colombiano;1
ALMEIDA;JAIRO PACHECO SUAREZ;Partido Liberal Colombiano;4
