MUNNOMBRE;CANNOMBRE;PARNOMBRE;VOTOS
DUITAMA;ALBA LUZ AMEZQUITA INFANTE;Cambio Radical;89
DUITAMA;ALVARO FABIAN MAYORGA GUERRERO;Alianza Verde;491
DUITAMA;ALVARO RODRIGUEZ PRADA;Cambio Radical;101
DUITAMA;ANA SOFIA SUAREZ REYES;Cambio Radical;122
DUITAMA;ANAYANCY NATIVIDAD CAMARGO MANOSALVA;Partido Liberal Colombiano;372
DUITAMA;ANDRES FELIPE TAMARA GOMEZ;Centro Democrático;69
DUITAMA;ANGELA MARIA LOAIZA ESCAMILLA;Cambio Radical;97
DUITAMA;CAMILO ANDRES VARGAS ESTUPIÑAN;Alianza Verde;397
DUITAMA;CESAR HUMBERTO JAIME DIAZ;Alianza Verde;427
DUITAMA;CRISTIAN CAMILO BARRERA BARBOSA;Cambio Radical;130
DUITAMA;DEISSY YADIRA OJEDA JAIMES;Cambio Radical;117
DUITAMA;DIEGO ALEJANDRO SIACHOQUE BARRETO;Cambio Radical;132
DUITAMA;DORA INES MEDINA ROJAS;Cambio Radical;296
DUITAMA;EDELMIRA IBAÑEZ PEREZ;Cambio Radical;63
DUITAMA;EDWIN LEANDRO PITA PEREZ;Cambio Radical;262
DUITAMA;ENRIQUE DE JESUS MARIA RODRIGUEZ CONTRERAS;Cambio Radical;272
DUITAMA;FANY ESTER CORTES BAEZ;Cambio Radical;58
DUITAMA;HEIDI MILENA BARRAGAN ARIZA;Alianza Verde;31
DUITAMA;INELDA DUARTE QUINTERO;Cambio Radical;94
DUITAMA;JOHN CARLOS BECERRA BECERRA;Centro Democrático;31
DUITAMA;JORGE ARMANDO CASTRO BOLIVAR;Cambio Radical;63
DUITAMA;JORGE ENRIQUE NITOLA CHAPARRO;PARTIDO POLO DEMOCRATICO ALTERNATIVO;90
DUITAMA;JOSE HUMBERTO MENDOZA SILVA;Cambio Radical;155
DUITAMA;JOSE JOAQUIN FRANCO ARANGO;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;464
DUITAMA;JOSE RAMON CARDENAS CARDENAS;Cambio Radical;377
DUITAMA;JUAN CARLOS MONTAÑEZ JOYA;Alianza Verde;398
DUITAMA;JULIO ENRIQUE AMEZQUITA CARREÑO;Cambio Radical;246
DUITAMA;LAURA NATALY PUERTO PAIPA;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;51
DUITAMA;LINA MARIA BAYONA CUSPOCA;Centro Democrático;20
DUITAMA;LUIS ALBERTO NIÑO MORENO;Alianza Verde;422
DUITAMA;LUIS FELIPE ROJAS BARRERA;Centro Democrático;64
DUITAMA;LUZ MAYERLI PERALTA NOSSA;PARTIDO POLO DEMOCRATICO ALTERNATIVO;159
DUITAMA;LYDIA YOLANDA BECERRA PACHECO;Alianza Verde;349
