MUNNOMBRE;CANNOMBRE;PARNOMBRE;VOTOS
ALMEIDA;Ingrid Marlen Sogamoso Alfonso;PARTIDO CONSERVADOR COLOMBIANO;253
ALMEIDA;Wilmer Yair Castellanos Hernandez;PARTIDO ALIANZA VERDE;94
ALMEIDA;Oscar Leonardo Avila Romero;PARTIDO CAMBIO RADICAL;86
ALMEIDA;Jaime Raul Salamanca Torres;PARTIDO ALIANZA VERDE;62
ALMEIDA;Jose Giovany Pinzon Baez;PACTO HISTÓRICO;28
ALMEIDA;Jairo Enrique Castiblanco Parra;COALICIÓN PARTIDOS DE LA U - MIRA - COLOMBIA JUSTA LIBRES - ASI;22
ALMEIDA;Partido Alianza Verde;PARTIDO ALIANZA VERDE;16
ALMEIDA;William Donato Gomez;PARTIDO CENTRO DEMOCRÁTICO;13
ALMEIDA;Humphrey Roa Sarmiento;PARTIDO CONSERVADOR COLOMBIANO;12
ALMEIDA;Jorge Eliecer Cortes Martinez;PARTIDO LIBERAL COLOMBIANO;12
ALMEIDA;Olga Yaneth Beltran Dorado;PARTIDO CENTRO DEMOCRÁTICO;12
ALMEIDA;Mayda Cecilia Velasquez Rueda;PARTIDO LIBERAL COLOMBIANO;8
ALMEIDA;Nidia Milena Torres Paez;PARTIDO CENTRO DEMOCRÁTICO;8
ALMEIDA;Eduar Alexis Triana Rincon;PARTIDO CENTRO DEMOCRÁTICO;7
ALMEIDA;German Tiberio Ojeda Pedraza;PARTIDO ALIANZA VERDE;7
ALMEIDA;Luis Alejandro Gutierrez Sanabria;PARTIDO ALIANZA VERDE;7
ALMEIDA;Jose Fernando Morales Acuña;PARTIDO CONSERVADOR COLOMBIANO;6
ALMEIDA;Pablo Emilio Cepeda Novoa;PARTIDO CAMBIO RADICAL;6
ALMEIDA;Cindy Yohana Bohorquez Garzon;PARTIDO CONSERVADOR COLOMBIANO;5
ALMEIDA;Jorge Ivan Amarillo Giraldo;COALICIÓN PARTIDOS DE LA U - MIRA - COLOMBIA JUSTA LIBRES - ASI;5
ALMEIDA;Jose Dario Mahecha Castillo;PARTIDO CONSERVADOR COLOMBIANO;5
ALMEIDA;Karol Ricardo Ramirez Silva;PACTO HISTÓRICO;5
ALMEIDA;Hector David Chaparro Chaparro;PARTIDO LIBERAL COLOMBIANO;4
ALMEIDA;Monica Yanneth Quiroga Castillo;PARTIDO CAMBIO RADICAL;4
ALMEIDA;Pacto Histórico;PACTO HISTÓRICO;4
ALMEIDA;Partido Cambio Radical;PARTIDO CAMBIO RADICAL;4
ALMEIDA;Partido Centro Democrático;PARTIDO CENTRO DEMOCRÁTICO;4
ALMEIDA;Partido Conservador Colombiano;PARTIDO CONSERVADOR COLOMBIANO;4
ALMEIDA;Wilder Ivan Suesca Ochoa;PARTIDO CONSERVADOR COLOMBIANO;4
ALMEIDA;Guillermo Leonardo Sanchez Sanchez;PARTIDO CENTRO DEMOCRÁTICO;3
ALMEIDA;Hector Angel Ortiz Nuñez;PARTIDO CENTRO DEMOCRÁTICO;3
ALMEIDA;Henry De Jesus Puerto Vasquez;PARTIDO NUEVO LIBERALISMO;3
ALMEIDA;Partido Liberal Colombiano;PARTIDO LIBERAL COLOMBIANO;3
ALMEIDA;Carolina Del Pilar Rodriguez Contreras;PACTO HISTÓRICO;2
ALMEIDA;Jonatan Sanchez Garavito;PARTIDO CAMBIO RADICAL;2
ALMEIDA;Karen Lucia Molano Granados;PARTIDO ALIANZA VERDE;2
ALMEIDA;Laura Andrea Bello Porras;PARTIDO ALIANZA VERDE;2
ALMEIDA;Leidy Alejandra Moreno Sanchez;PACTO HISTÓRICO;2
ALMEIDA;Pedro Jose Suarez Vacca;PACTO HISTÓRICO;2
ALMEIDA;Claudia Beatriz Duarte Acosta;PARTIDO NUEVO LIBERALISMO;1
ALMEIDA;Coalición Partidos De La U - Mira - Colombia Justa  Libres - Asi;COALICIÓN PARTIDOS DE LA U - MIRA - COLOMBIA JUSTA LIBRES - ASI;1
ALMEIDA;Diana Carolina Suarez Muñoz;COALICIÓN PARTIDOS DE LA U - MIRA - COLOMBIA JUSTA LIBRES - ASI;1
ALMEIDA;Fernando Ríos Hidalgo;FERNANDO RÍOS HIDALGO;1
ALMEIDA;Fundación Para El Desarrollo Social De Comunidades  Negras;FUNDACIÓN PARA EL DESARROLLO SOCIAL DE COMUNIDADES NEGRAS;1
ALMEIDA;Jorge Ivan Mina Lasso;CONSEJO COMUNITARIO MANUEL ZAPATA OLIVELLA DE SAN ANTERO;1
ALMEIDA;Mayra Alejandra Viancha Sanabria;PARTIDO LIBERAL COLOMBIANO;1
ALMEIDA;Olga Natalie Manrique Abril;COALICIÓN PARTIDOS DE LA U - MIRA - COLOMBIA JUSTA LIBRES - ASI;1
ALMEIDA;Partido Indígena Colombiano P.I.C;PARTIDO INDÍGENA COLOMBIANO P.I.C;1
ALMEIDA;Partido Nuevo Liberalismo;PARTIDO NUEVO LIBERALISMO;1
ALMEIDA;Sandro Nestor Condia Perez;PARTIDO LIBERAL COLOMBIANO;1
ALMEIDA;William Fernando Granados;PARTIDO NUEVO LIBERALISMO;1
ALMEIDA;Wilson Castiblanco Gil;PARTIDO LIBERAL COLOMBIANO;1
AQUITANIA (PUEBLOVIEJO);Wilmer Yair Castellanos Hernandez;PARTIDO ALIANZA VERDE;400
AQUITANIA (PUEBLOVIEJO);Jose Giovany Pinzon Baez;PACTO HISTÓRICO;316
AQUITANIA (PUEBLOVIEJO);Hector David Chaparro Chaparro;PARTIDO LIBERAL COLOMBIANO;310
AQUITANIA (PUEBLOVIEJO);Jaime Raul Salamanca Torres;PARTIDO ALIANZA VERDE;226
AQUITANIA (PUEBLOVIEJO);Luis Guillermo Barrera Gutierrez;PARTIDO CAMBIO RADICAL;182
AQUITANIA (PUEBLOVIEJO);Hector Angel Ortiz Nuñez;PARTIDO CENTRO DEMOCRÁTICO;180
AQUITANIA (PUEBLOVIEJO);Guillermo Leonardo Sanchez Sanchez;PARTIDO CENTRO DEMOCRÁTICO;161
AQUITANIA (PUEBLOVIEJO);Humphrey Roa Sarmiento;PARTIDO CONSERVADOR COLOMBIANO;160
AQUITANIA (PUEBLOVIEJO);Wilder Ivan Suesca Ochoa;PARTIDO CONSERVADOR COLOMBIANO;158
AQUITANIA (PUEBLOVIEJO);German Tiberio Ojeda Pedraza;PARTIDO ALIANZA VERDE;113
AQUITANIA (PUEBLOVIEJO);Eduar Alexis Triana Rincon;PARTIDO CENTRO DEMOCRÁTICO;109
AQUITANIA (PUEBLOVIEJO);Partido Alianza Verde;PARTIDO ALIANZA VERDE;93
AQUITANIA (PUEBLOVIEJO);Ingrid Marlen Sogamoso Alfonso;PARTIDO CONSERVADOR COLOMBIANO;85
AQUITANIA (PUEBLOVIEJO);Pacto Histórico;PACTO HISTÓRICO;85
AQUITANIA (PUEBLOVIEJO);Jairo Enrique Castiblanco Parra;COALICIÓN PARTIDOS DE LA U - MIRA - COLOMBIA JUSTA LIBRES - ASI;80
