MUNNOMBRE;CANNOMBRE;PARNOMBRE;VOTOS
ALMEIDA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;712
ALMEIDA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;307
AQUITANIA (PUEBLOVIEJO);RODOLFO HERNÁNDEZ;Liga de Gobernantes;6650
AQUITANIA (PUEBLOVIEJO);GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;1743
ARCABUCO;RODOLFO HERNÁNDEZ;Liga de Gobernantes;2301
ARCABUCO;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;1100
BELEN;RODOLFO HERNÁNDEZ;Liga de Gobernantes;2816
BELEN;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;1636
BERBEO;RODOLFO HERNÁNDEZ;Liga de Gobernantes;469
BERBEO;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;403
BETEITIVA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;720
BETEITIVA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;436
BOAVITA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;2104
BOAVITA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;687
BOYACA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;1848
BOYACA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;811
BRICEÑO;RODOLFO HERNÁNDEZ;Liga de Gobernantes;1284
BRICEÑO;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;259
BUENAVISTA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;2431
BUENAVISTA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;630
BUSBANZA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;462
BUSBANZA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;224
CALDAS;RODOLFO HERNÁNDEZ;Liga de Gobernantes;1293
CALDAS;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;539
CAMPOHERMOSO;RODOLFO HERNÁNDEZ;Liga de Gobernantes;1241
CAMPOHERMOSO;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;253
CERINZA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;1296
CERINZA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;1012
CHINAVITA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;1383
CHINAVITA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;477
CHIQUINQUIRA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;16216
CHIQUINQUIRA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;10995
CHIQUIZA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;1891
CHIQUIZA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;973
CHISCAS;RODOLFO HERNÁNDEZ;Liga de Gobernantes;1544
CHISCAS;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;260
CHITA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;2795
CHITA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;615
CHITARAQUE;RODOLFO HERNÁNDEZ;Liga de Gobernantes;2845
CHITARAQUE;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;447
CHIVATA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;1252
CHIVATA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;758
CHIVOR;RODOLFO HERNÁNDEZ;Liga de Gobernantes;937
CHIVOR;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;138
CIENEGA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;2135
CIENEGA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;445
COMBITA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;3552
COMBITA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;2619
COPER;RODOLFO HERNÁNDEZ;Liga de Gobernantes;1659
COPER;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;246
CORRALES;RODOLFO HERNÁNDEZ;Liga de Gobernantes;886
CORRALES;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;686
COVARACHIA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;1551
COVARACHIA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;189
CUBARA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;1465
CUBARA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;1280
CUCAITA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;1211
CUCAITA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;1131
CUITIVA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;798
CUITIVA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;381
DUITAMA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;34371
DUITAMA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;29380
EL COCUY;RODOLFO HERNÁNDEZ;Liga de Gobernantes;1605
EL COCUY;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;313
EL ESPINO;RODOLFO HERNÁNDEZ;Liga de Gobernantes;1180
EL ESPINO;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;170
FIRAVITOBA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;1733
FIRAVITOBA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;1719
FLORESTA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;1583
FLORESTA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;609
GACHANTIVA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;1462
GACHANTIVA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;479
GAMEZA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;1934
GAMEZA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;582
