MUNNOMBRE;PARNOMBRE;VOTOS;TOTAL_VOTOS;PORCENTAJE
ALMEIDA;Alianza Social Indigena  Asi;2;617;0.32
ALMEIDA;Alianza Verde;52;617;8.43
ALMEIDA;Asociacion De Mujeres Afrocolombianas Hijas De Yemaya;1;617;0.16
ALMEIDA;Corporacion Afrocartagena Afrocar;1;617;0.16
ALMEIDA;Movimiento Apertura Liberal;1;617;0.16
ALMEIDA;Movimiento MIRA;1;617;0.16
ALMEIDA;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;67;617;10.86
ALMEIDA;Partido Conservador Colombiano;435;617;70.5
ALMEIDA;Partido Liberal Colombiano;28;617;4.54
ALMEIDA;Partido Social De Unidad Nacional  Partido De La U;16;617;2.59
ALMEIDA;Polo Democrático Alternativo;9;617;1.46
ALMEIDA;nan;4;617;0.65
AQUITANIA;ALIANZA SOCIAL INDIGENA  ASI;1;5369;0.02
AQUITANIA;ASOCIACION DE AFROCOLOMBIANOS PARA LA VIVIENDA DEPORTE EDU;0;5369;0.0
AQUITANIA;Alianza Social Indigena  Asi;2;5369;0.04
AQUITANIA;Alianza Verde;154;5369;2.87
AQUITANIA;Asociacion De Afrocolombianos Para La Vivienda Deporte Edu;1;5369;0.02
AQUITANIA;Asociacion De Desplazados De La Costa Pacifica Residentes En;1;5369;0.02
AQUITANIA;Asociacion Por Los Derechos De Las Comunidades Negras Del At;1;5369;0.02
AQUITANIA;Consejo Comunitario De Cordoba Y San Cipriano Del Municipio;1;5369;0.02
AQUITANIA;Coporacion Para El Desarrollo Y Capacitacion De Buenaventura;1;5369;0.02
AQUITANIA;Corporacion Afrocartagena Afrocar;1;5369;0.02
AQUITANIA;Corporacion De Liderazgo Y Desarrollo Empresarial Afrocolomb;1;5369;0.02
AQUITANIA;Corporacion Social E Integral Del Pacifico Corposinpac;1;5369;0.02
AQUITANIA;Fundacion Afroguajira Funagua;1;5369;0.02
AQUITANIA;Fundacion Fundapas;1;5369;0.02
AQUITANIA;Fundacion Narinenses Afrocolombianos Forjadores Del Futuro;1;5369;0.02
AQUITANIA;Movimiento Afroambiental Colombiano;1;5369;0.02
AQUITANIA;Movimiento Apertura Liberal;9;5369;0.17
AQUITANIA;Movimiento MIRA;32;5369;0.6
AQUITANIA;Organizacion De Las Etnias Afrocolombianas Residentes En El;2;5369;0.04
AQUITANIA;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;386;5369;7.19
AQUITANIA;Partido Conservador Colombiano;4581;5369;85.32
AQUITANIA;Partido De Integracion Nacional  Pin;4;5369;0.07
AQUITANIA;Partido Liberal Colombiano;82;5369;1.53
AQUITANIA;Partido Social De Unidad Nacional  Partido De La U;32;5369;0.6
AQUITANIA;Polo Democrático Alternativo;32;5369;0.6
AQUITANIA;nan;40;5369;0.75
ARCABUCO;ASOCIACION DE AFROCOLOMBIANOS PARA LA VIVIENDA DEPORTE EDU;0;1434;0.0
ARCABUCO;Alianza Social Afrocolombiana  Asa;2;1434;0.14
ARCABUCO;Alianza Social Indigena  Asi;5;1434;0.35
ARCABUCO;Alianza Verde;211;1434;14.71
ARCABUCO;Asociacion Colectivo Afrodescendientes Pro Derechos Humanos;1;1434;0.07
ARCABUCO;Asociacion De Afrocolombianos Para La Vivienda Deporte Edu;1;1434;0.07
ARCABUCO;Asociacion De Afrodescendientes Del Municipio De Necocli Afr;1;1434;0.07
ARCABUCO;Asociacion De Comunidades Afro Colombianas Del Municipio De Y;1;1434;0.07
ARCABUCO;Asociacion De Comunidades Negras De Guacoche Valleduparcar;1;1434;0.07
ARCABUCO;Asociacion De Mujeres Afrocolombianas Hijas De Yemaya;1;1434;0.07
ARCABUCO;Asociacion Mision Colombia;2;1434;0.14
ARCABUCO;Consejo Comunitario De La Inspeccion De Policia De Puerto Li;1;1434;0.07
ARCABUCO;Coporacion Para El Desarrollo Y Capacitacion De Buenaventura;1;1434;0.07
ARCABUCO;Corporacion De Liderazgo Y Desarrollo Empresarial Afrocolomb;3;1434;0.21
ARCABUCO;Fundacion Afro Y Cultura La Esperanza  Face;1;1434;0.07
ARCABUCO;Fundacion Para El Desarrollo La Solidaridad Y La Integracion;1;1434;0.07
ARCABUCO;Fundapalafrocer Obatala Fundacion Afrocerriteno Obatala;1;1434;0.07
