MUNNOMBRE;PARNOMBRE;VOTOS
ALMEIDA;Alianza Verde;63
ALMEIDA;Partido de la U;812
AQUITANIA;Alianza Verde;470
AQUITANIA;Partido de la U;6363
ARCABUCO;Alianza Verde;534
ARCABUCO;Partido de la U;1563
BELEN;Alianza Verde;670
BELEN;Partido de la U;2473
BERBEO;Alianza Verde;193
BERBEO;Partido de la U;514
BETEITIVA;Alianza Verde;227
BETEITIVA;Partido de la U;622
BOAVITA;Alianza Verde;381
BOAVITA;Partido de la U;2074
BOYACA;Alianza Verde;341
BOYACA;Partido de la U;1407
BRICENO;Alianza Verde;100
BRICENO;Partido de la U;910
BUENAVISTA;Alianza Verde;257
BUENAVISTA;Partido de la U;2097
BUSBANZA;Alianza Verde;85
BUSBANZA;Partido de la U;273
CALDAS;Alianza Verde;291
CALDAS;Partido de la U;1133
CAMPOHERMOSO;Alianza Verde;91
CAMPOHERMOSO;Partido de la U;1232
CERINZA;Alianza Verde;450
CERINZA;Partido de la U;1212
CHINAVITA;Alianza Verde;177
CHINAVITA;Partido de la U;1370
CHIQUINQUIRA;Alianza Verde;5287
CHIQUINQUIRA;Partido de la U;12904
CHIQUIZA;Alianza Verde;588
CHIQUIZA;Partido de la U;1422
CHISCAS;Alianza Verde;82
CHISCAS;Partido de la U;1811
CHITA;Alianza Verde;138
CHITA;Partido de la U;3150
CHITARAQUE;Alianza Verde;294
CHITARAQUE;Partido de la U;1644
CHIVATA;Alianza Verde;360
CHIVATA;Partido de la U;709
CHIVOR;Alianza Verde;50
CHIVOR;Partido de la U;761
CIENEGA;Alianza Verde;173
CIENEGA;Partido de la U;1946
COMBITA;Alianza Verde;1159
COMBITA;Partido de la U;2228
COPER;Alianza Verde;134
COPER;Partido de la U;1434
CORRALES;Alianza Verde;287
CORRALES;Partido de la U;898
COVARACHIA;Alianza Verde;75
COVARACHIA;Partido de la U;1221
CUBARA;Alianza Verde;371
CUBARA;Partido de la U;829
CUCAITA;Alianza Verde;383
CUCAITA;Partido de la U;1117
CUITIVA;Alianza Verde;163
CUITIVA;Partido de la U;786
DUITAMA;Alianza Verde;17862
DUITAMA;Partido de la U;24141
EL COCUY;Alianza Verde;113
EL COCUY;Partido de la U;1997
EL ESPINO;Alianza Verde;57
EL ESPINO;Partido de la U;1249
FIRAVITOBA;Alianza Verde;750
FIRAVITOBA;Partido de la U;1520
FLORESTA;Alianza Verde;240
FLORESTA;Partido de la U;1305
GACHANTIVA;Alianza Verde;275
GACHANTIVA;Partido de la U;1118
GAMEZA;Alianza Verde;220
GAMEZA;Partido de la U;1857
GARAGOA;Alianza Verde;1240
GARAGOA;Partido de la U;4479
GUACAMAYAS;Alianza Verde;56
GUACAMAYAS;Partido de la U;777
GUATEQUE;Alianza Verde;862
GUATEQUE;Partido de la U;3520
GUAYATA;Alianza Verde;241
GUAYATA;Partido de la U;1924
GUICAN DE LA SIERRA;Alianza Verde;200
GUICAN DE LA SIERRA;Partido de la U;1474
IZA;Alianza Verde;222
IZA;Partido de la U;700
JENESANO;Alianza Verde;375
JENESANO;Partido de la U;2059
JERICO;Alianza Verde;99
JERICO;Partido de la U;1664
LA CAPILLA;Alianza Verde;212
LA CAPILLA;Partido de la U;1134
LA UVITA;Alianza Verde;109
LA UVITA;Partido de la U;1279
LA VICTORIA;Alianza Verde;59
LA VICTORIA;Partido de la U;614
LABRANZAGRANDE;Alianza Verde;75
LABRANZAGRANDE;Partido de la U;1389
MACANAL;Alianza Verde;217
MACANAL;Partido de la U;1653
MARIPI;Alianza Verde;282
MARIPI;Partido de la U;2590
MIRAFLORES;Alianza Verde;1062
MIRAFLORES;Partido de la U;2766
MONGUA;Alianza Verde;144
MONGUA;Partido de la U;2214
MONGUI;Alianza Verde;347
MONGUI;Partido de la U;1482
MONIQUIRA;Alianza Verde;2003
MONIQUIRA;Partido de la U;5246
MOTAVITA;Alianza Verde;810
MOTAVITA;Partido de la U;1277
MUZO;Alianza Verde;367
MUZO;Partido de la U;3049
NOBSA;Alianza Verde;2858
NOBSA;Partido de la U;2933
NUEVO COLON;Alianza Verde;402
NUEVO COLON;Partido de la U;1635
OICATA;Alianza Verde;363
OICATA;Partido de la U;694
OTANCHE;Alianza Verde;377
OTANCHE;Partido de la U;2844
PACHAVITA;Alianza Verde;124
PACHAVITA;Partido de la U;961
PAEZ;Alianza Verde;105
PAEZ;Partido de la U;1172
PAIPA;Alianza Verde;4283
PAIPA;Partido de la U;7204
PAJARITO;Alianza Verde;42
PAJARITO;Partido de la U;757
PANQUEBA;Alianza Verde;49
PANQUEBA;Partido de la U;711
PAUNA;Alianza Verde;667
PAUNA;Partido de la U;2638
PAYA;Alianza Verde;62
PAYA;Partido de la U;575
PAZ DE RIO;Alianza Verde;744
PAZ DE RIO;Partido de la U;1355
PESCA;Alianza Verde;387
PESCA;Partido de la U;2258
PISBA;Alianza Verde;49
PISBA;Partido de la U;473
PUERTO BOYACA;Alianza Verde;3450
PUERTO BOYACA;Partido de la U;9157
QUIPAMA;Alianza Verde;206
QUIPAMA;Partido de la U;2023
RAMIRIQUI;Alianza Verde;641
RAMIRIQUI;Partido de la U;3454
RAQUIRA;Alianza Verde;439
RAQUIRA;Partido de la U;1688
RONDON;Alianza Verde;162
RONDON;Partido de la U;957
SABOYA;Alianza Verde;930
SABOYA;Partido de la U;3420
SACHICA;Alianza Verde;569
SACHICA;Partido de la U;961
SAMACA;Alianza Verde;1331
SAMACA;Partido de la U;5040
SAN EDUARDO;Alianza Verde;127
SAN EDUARDO;Partido de la U;597
SAN JOSE DE PARE;Alianza Verde;400
SAN JOSE DE PARE;Partido de la U;1482
SAN LUIS DE GACENO;Alianza Verde;161
SAN LUIS DE GACENO;Partido de la U;2256
SAN MATEO;Alianza Verde;88
SAN MATEO;Partido de la U;1867
SAN MIGUEL DE SEMA;Alianza Verde;231
SAN MIGUEL DE SEMA;Partido de la U;1122
SAN PABLO DE BORBUR;Alianza Verde;211
SAN PABLO DE BORBUR;Partido de la U;2562
SANTA MARIA;Alianza Verde;320
SANTA MARIA;Partido de la U;1348
SANTA ROSA DE VITERBO;Alianza Verde;1040
SANTA ROSA DE VITERBO;Partido de la U;3179
SANTA SOFIA;Alianza Verde;199
SANTA SOFIA;Partido de la U;1273
SANTANA;Alianza Verde;659
SANTANA;Partido de la U;1710
SATIVANORTE;Alianza Verde;125
SATIVANORTE;Partido de la U;992
SATIVASUR;Alianza Verde;65
SATIVASUR;Partido de la U;404
SIACHOQUE;Alianza Verde;598
SIACHOQUE;Partido de la U;2600
SOATA;Alianza Verde;613
SOATA;Partido de la U;3383
SOCHA;Alianza Verde;413
SOCHA;Partido de la U;2149
SOCOTA;Alianza Verde;171
SOCOTA;Partido de la U;2817
SOGAMOSO;Alianza Verde;14590
SOGAMOSO;Partido de la U;29120
SOMONDOCO;Alianza Verde;242
SOMONDOCO;Partido de la U;1241
SORA;Alianza Verde;373
SORA;Partido de la U;809
SORACA;Alianza Verde;526
SORACA;Partido de la U;2244
SOTAQUIRA;Alianza Verde;421
SOTAQUIRA;Partido de la U;2274
SUSACON;Alianza Verde;96
SUSACON;Partido de la U;1235
SUTAMARCHAN;Alianza Verde;384
SUTAMARCHAN;Partido de la U;1875
SUTATENZA;Alianza Verde;227
SUTATENZA;Partido de la U;1665
TASCO;Alianza Verde;402
TASCO;Partido de la U;1744
TENZA;Alianza Verde;194
TENZA;Partido de la U;1754
TIBANA;Alianza Verde;456
TIBANA;Partido de la U;2787
TIBASOSA;Alianza Verde;1246
TIBASOSA;Partido de la U;2585
TINJACA;Alianza Verde;275
TINJACA;Partido de la U;877
TIPACOQUE;Alianza Verde;149
TIPACOQUE;Partido de la U;1280
TOCA;Alianza Verde;975
TOCA;Partido de la U;2257
TOGUI;Alianza Verde;231
TOGUI;Partido de la U;1306
TOPAGA;Alianza Verde;284
TOPAGA;Partido de la U;1346
TOTA;Alianza Verde;160
TOTA;Partido de la U;1422
TUNJA;Alianza Verde;26700
TUNJA;Partido de la U;26923
TUNUNGUA;Alianza Verde;97
TUNUNGUA;Partido de la U;474
TURMEQUE;Alianza Verde;541
TURMEQUE;Partido de la U;1944
TUTA;Alianza Verde;1181
TUTA;Partido de la U;2163
TUTAZA;Alianza Verde;124
TUTAZA;Partido de la U;902
UMBITA;Alianza Verde;283
UMBITA;Partido de la U;3038
VENTAQUEMADA;Alianza Verde;897
VENTAQUEMADA;Partido de la U;4150
VILLA DE LEYVA;Alianza Verde;1545
VILLA DE LEYVA;Partido de la U;2887
VIRACACHA;Alianza Verde;182
VIRACACHA;Partido de la U;1136
ZETAQUIRA;Alianza Verde;270
ZETAQUIRA;Partido de la U;1690
