MUNNOMBRE,PARNOMBRE,TOTALVOTOSVALIDOS,PORCENTAJE
ALMEIDA;ALEXANDRA MORENO PIRAQUIVE;MOVIMIENTO INDEPENDIENTE DE RENOVACION ABSOLUTA MIRA;0,ALMEIDA;Alexandra Moreno Piraquive;MOVIMIENTO INDEPENDIENTE DE RENOVACION ABSOLUTA  MIRA;0,0.0,0.0
ALMEIDA;ANDRES FELIPE GUERRA HOYOS;PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U;2,ALMEIDA;Andres Felipe Guerra Hoyos;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;2,0.0,0.0
ALMEIDA;ARMANDO VANEGAS GARZON;PARTIDO CONSERVADOR COLOMBIANO;1,ALMEIDA;Armando Vanegas Garzon;PARTIDO CONSERVADOR COLOMBIANO;1,0.0,0.0
ALMEIDA;CAMILO ERNESTO ROMERO GALEANO;POLO DEMOCRATICO ALTERNATIVO;1,ALMEIDA;Camilo Ernesto Romero Galeano;POLO DEMOCRATICO ALTERNATIVO;1,0.0,0.0
ALMEIDA;CARLOS ALBERTO BAENA LOPEZ;MOVIMIENTO INDEPENDIENTE DE RENOVACION ABSOLUTA MIRA;0,ALMEIDA;Carlos Alberto Baena Lopez;MOVIMIENTO INDEPENDIENTE DE RENOVACION ABSOLUTA  MIRA;0,0.0,0.0
ALMEIDA;CARLOS ALIRIO GOMEZ VILLARRAGA;PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U;1,ALMEIDA;Carlos Alirio Gomez Villarraga;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;1,0.0,0.0
ALMEIDA;CARLOS RAMIRO CHAVARRO CUELLAR;PARTIDO CONSERVADOR COLOMBIANO;1,ALMEIDA;Carlos Ramiro Chavarro Cuellar;PARTIDO CONSERVADOR COLOMBIANO;1,0.0,0.0
ALMEIDA;CONSTANZA ISABEL RAMIREZ ACEVEDO;PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U;3,ALMEIDA;Constanza Isabel Ramirez Acevedo;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;3,0.0,0.0
ALMEIDA;DILIAN FRANCISCA TORO TORRES;PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U;7,ALMEIDA;Dilian Francisca Toro Torres;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;7,0.0,0.0
ALMEIDA;DORIS CLEMENCIA VEGA QUIROZ;PARTIDO DE INTEGRACION NACIONAL PIN;1,ALMEIDA;Doris Clemencia Vega Quiroz;PARTIDO DE INTEGRACION NACIONAL  PIN;1,0.0,0.0
ALMEIDA;EDGAR TIQUE TORRES;PARTIDO DE INTEGRACION SOCIAL COLOMBIANO PAIS;1,ALMEIDA;Edgar Tique Torres;PARTIDO DE INTEGRACION SOCIAL COLOMBIANO  PAIS;1,0.0,0.0
ALMEIDA;EFRAIN JOSE CEPEDA SARABIA;PARTIDO CONSERVADOR COLOMBIANO;2,ALMEIDA;Efrain Jose Cepeda Sarabia;PARTIDO CONSERVADOR COLOMBIANO;2,0.0,0.0
ALMEIDA;FELIPE ZULETA LLERAS;PARTIDO LIBERAL COLOMBIANO;1,ALMEIDA;Felipe Zuleta Lleras;PARTIDO LIBERAL COLOMBIANO;1,0.0,0.0
ALMEIDA;FERNANDO EUSTACIO TAMAYO TAMAYO;PARTIDO CONSERVADOR COLOMBIANO;19,ALMEIDA;Fernando Eustacio Tamayo Tamayo;PARTIDO CONSERVADOR COLOMBIANO;19,0.0,0.0
ALMEIDA;FUAD RICARDO CHAR ABDALA;PARTIDO CAMBIO RADICAL;2,ALMEIDA;Fuad Ricardo Char Abdala;PARTIDO CAMBIO RADICAL;2,0.0,0.0
ALMEIDA;GERMAN ALONSO OLANO BECERRA;PARTIDO LIBERAL COLOMBIANO;4,ALMEIDA;German Alonso Olano Becerra;PARTIDO LIBERAL COLOMBIANO;4,0.0,0.0
ALMEIDA;GILBERTO RONDON GONZALEZ;PARTIDO LIBERAL COLOMBIANO;12,ALMEIDA;Gilberto Rondon Gonzalez;PARTIDO LIBERAL COLOMBIANO;12,0.0,0.0
ALMEIDA;GILMA JIMENEZ GOMEZ;PARTIDO VERDE;1,ALMEIDA;Gilma Jimenez Gomez;PARTIDO VERDE;1,0.0,0.0
ALMEIDA;GUILLERMO ANTONIO SANTOS MARIN;PARTIDO LIBERAL COLOMBIANO;2,ALMEIDA;Guillermo Antonio Santos Marin;PARTIDO LIBERAL COLOMBIANO;2,0.0,0.0
ALMEIDA;HECTOR GARAVITO BARRERA;PARTIDO CONSERVADOR COLOMBIANO;2,ALMEIDA;Hector Garavito Barrera;PARTIDO CONSERVADOR COLOMBIANO;2,0.0,0.0
ALMEIDA;HILVO CARDENAS RUIZ;PARTIDO VERDE;1,ALMEIDA;Hilvo Cardenas Ruiz;PARTIDO VERDE;1,0.0,0.0
ALMEIDA;JAIME DUSSAN CALDERON;POLO DEMOCRATICO ALTERNATIVO;5,ALMEIDA;Jaime Dussan Calderon;POLO DEMOCRATICO ALTERNATIVO;5,0.0,0.0
ALMEIDA;JAIRO MANTILLA COLMENARES;PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U;1,ALMEIDA;Jairo Mantilla Colmenares;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;1,0.0,0.0
ALMEIDA;JAIRO RAUL CLOPATOFSKY GHISAYS;PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U;3,ALMEIDA;Jairo Raul Clopatofsky Ghisays;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;3,0.0,0.0
ALMEIDA;JORGE ANIBAL VISBAL MARTELO;PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U;1,ALMEIDA;Jorge Anibal Visbal Martelo;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;1,0.0,0.0
ALMEIDA;JORGE EDUARDO GECHEN TURBAY;PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U;1,ALMEIDA;Jorge Eduardo Gechen Turbay;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;1,0.0,0.0
ALMEIDA;JORGE EDUARDO LONDONO ULLOA;PARTIDO VERDE;114,ALMEIDA;Jorge Eduardo Londono Ulloa;PARTIDO VERDE;114,0.0,0.0
ALMEIDA;JORGE ELIECER GUEVARA;POLO DEMOCRATICO ALTERNATIVO;1,ALMEIDA;Jorge Eliecer Guevara;POLO DEMOCRATICO ALTERNATIVO;1,0.0,0.0
ALMEIDA;JORGE HERNANDO PEDRAZA GUTIERREZ;PARTIDO CONSERVADOR COLOMBIANO;182,ALMEIDA;Jorge Hernando Pedraza Gutierrez;PARTIDO CONSERVADOR COLOMBIANO;182,0.0,0.0
ALMEIDA;JOSE DARIO SALAZAR CRUZ;PARTIDO CONSERVADOR COLOMBIANO;1,ALMEIDA;Jose Dario Salazar Cruz;PARTIDO CONSERVADOR COLOMBIANO;1,0.0,0.0
ALMEIDA;JOSE HENRY DUARTE CACERES;MOVIMIENTO APERTURA LIBERAL;1,ALMEIDA;Jose Henry Duarte Caceres;MOVIMIENTO APERTURA LIBERAL;1,0.0,0.0
ALMEIDA;JUAN CARLOS ROBERTO VELEZ URIBE;PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U;1,ALMEIDA;Juan Carlos Roberto Velez Uribe;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;1,0.0,0.0
ALMEIDA;JUAN DE JESUS CORDOBA SUAREZ;PARTIDO CONSERVADOR COLOMBIANO;5,ALMEIDA;Juan De Jesus Cordoba Suarez;PARTIDO CONSERVADOR COLOMBIANO;5,0.0,0.0
ALMEIDA;JUAN FRANCISCO LOZANO RAMIREZ;PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U;11,ALMEIDA;Juan Francisco Lozano Ramirez;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;11,0.0,0.0
ALMEIDA;JUAN MARIO LASERNA JARAMILLO;PARTIDO CONSERVADOR COLOMBIANO;1,ALMEIDA;Juan Mario Laserna Jaramillo;PARTIDO CONSERVADOR COLOMBIANO;1,0.0,0.0
ALMEIDA;LILIANA MARIA RENDON ROLDAN;PARTIDO CONSERVADOR COLOMBIANO;2,ALMEIDA;Liliana Maria Rendon Roldan;PARTIDO CONSERVADOR COLOMBIANO;2,0.0,0.0
ALMEIDA;LUIS CARLOS AVELLANEDA TARAZONA;POLO DEMOCRATICO ALTERNATIVO;2,ALMEIDA;Luis Carlos Avellaneda Tarazona;POLO DEMOCRATICO ALTERNATIVO;2,0.0,0.0
ALMEIDA;LUIS EMILIO SIERRA GRAJALES;PARTIDO CONSERVADOR COLOMBIANO;4,ALMEIDA;Luis Emilio Sierra Grajales;PARTIDO CONSERVADOR COLOMBIANO;4,0.0,0.0
ALMEIDA;MANUEL ANTONIO VIRGUEZ PIRAQUIVE;MOVIMIENTO INDEPENDIENTE DE RENOVACION ABSOLUTA MIRA;0,ALMEIDA;Manuel Antonio Virguez Piraquive;MOVIMIENTO INDEPENDIENTE DE RENOVACION ABSOLUTA  MIRA;0,0.0,0.0
