MUNNOMBRE;PARNOMBRE;VOTOS
ALMEIDA;Alianza Verde;43
ALMEIDA;Cambio Radical;202
ALMEIDA;Movimiento MIRA;4
ALMEIDA;PARTIDO DE INTEGRACION NACIONAL  PIN;5
ALMEIDA;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;381
ALMEIDA;Partido Conservador Colombiano;235
ALMEIDA;Partido De Integracion Nacional  Pin;0
ALMEIDA;Partido Liberal Colombiano;175
ALMEIDA;Partido Social De Unidad Nacional  Partido De La U;90
AQUITANIA;Alianza Verde;4312
AQUITANIA;Cambio Radical;199
AQUITANIA;Movimiento MIRA;31
AQUITANIA;PARTIDO DE INTEGRACION NACIONAL  PIN;92
AQUITANIA;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;674
AQUITANIA;Partido Conservador Colombiano;1077
AQUITANIA;Partido De Integracion Nacional  Pin;100
AQUITANIA;Partido Liberal Colombiano;224
AQUITANIA;Partido Social De Unidad Nacional  Partido De La U;124
ARCABUCO;Alianza Verde;659
ARCABUCO;Cambio Radical;243
ARCABUCO;Movimiento MIRA;30
ARCABUCO;PARTIDO DE INTEGRACION NACIONAL  PIN;6
ARCABUCO;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;323
ARCABUCO;Partido Conservador Colombiano;692
ARCABUCO;Partido De Integracion Nacional  Pin;2
ARCABUCO;Partido Liberal Colombiano;386
ARCABUCO;Partido Social De Unidad Nacional  Partido De La U;64
BELEN;Alianza Verde;293
BELEN;Cambio Radical;254
BELEN;Movimiento MIRA;31
BELEN;PARTIDO DE INTEGRACION NACIONAL  PIN;16
BELEN;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;277
BELEN;Partido Conservador Colombiano;1447
BELEN;Partido De Integracion Nacional  Pin;3
BELEN;Partido Liberal Colombiano;1463
BELEN;Partido Social De Unidad Nacional  Partido De La U;36
BERBEO;Alianza Verde;222
BERBEO;Cambio Radical;51
BERBEO;Movimiento MIRA;53
BERBEO;PARTIDO DE INTEGRACION NACIONAL  PIN;7
BERBEO;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;145
BERBEO;Partido Conservador Colombiano;78
BERBEO;Partido De Integracion Nacional  Pin;4
BERBEO;Partido Liberal Colombiano;352
BERBEO;Partido Social De Unidad Nacional  Partido De La U;18
BETEITIVA;Alianza Verde;150
BETEITIVA;Cambio Radical;253
BETEITIVA;Movimiento MIRA;7
BETEITIVA;PARTIDO DE INTEGRACION NACIONAL  PIN;12
BETEITIVA;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;146
BETEITIVA;Partido Conservador Colombiano;110
BETEITIVA;Partido De Integracion Nacional  Pin;7
BETEITIVA;Partido Liberal Colombiano;472
BETEITIVA;Partido Social De Unidad Nacional  Partido De La U;31
BOAVITA;Alianza Verde;364
BOAVITA;Cambio Radical;100
BOAVITA;Movimiento MIRA;3
BOAVITA;PARTIDO DE INTEGRACION NACIONAL  PIN;8
BOAVITA;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;365
BOAVITA;Partido Conservador Colombiano;1810
BOAVITA;Partido De Integracion Nacional  Pin;8
BOAVITA;Partido Liberal Colombiano;60
BOAVITA;Partido Social De Unidad Nacional  Partido De La U;50
BOYACA;Alianza Verde;150
BOYACA;Cambio Radical;201
BOYACA;Movimiento MIRA;14
BOYACA;PARTIDO DE INTEGRACION NACIONAL  PIN;21
BOYACA;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;408
BOYACA;Partido Conservador Colombiano;152
BOYACA;Partido De Integracion Nacional  Pin;23
BOYACA;Partido Liberal Colombiano;1130
BOYACA;Partido Social De Unidad Nacional  Partido De La U;110
BRICENO;Alianza Verde;82
BRICENO;Cambio Radical;165
BRICENO;Movimiento MIRA;2
BRICENO;PARTIDO DE INTEGRACION NACIONAL  PIN;7
BRICENO;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;132
BRICENO;Partido Conservador Colombiano;769
BRICENO;Partido De Integracion Nacional  Pin;4
BRICENO;Partido Liberal Colombiano;42
BRICENO;Partido Social De Unidad Nacional  Partido De La U;11
BUENAVISTA;Alianza Verde;291
BUENAVISTA;Cambio Radical;242
BUENAVISTA;Movimiento MIRA;7
BUENAVISTA;PARTIDO DE INTEGRACION NACIONAL  PIN;10
BUENAVISTA;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;397
BUENAVISTA;Partido Conservador Colombiano;538
BUENAVISTA;Partido De Integracion Nacional  Pin;4
BUENAVISTA;Partido Liberal Colombiano;898
BUENAVISTA;Partido Social De Unidad Nacional  Partido De La U;75
BUSBANZA;Alianza Verde;102
BUSBANZA;Cambio Radical;24
BUSBANZA;Movimiento MIRA;8
BUSBANZA;PARTIDO DE INTEGRACION NACIONAL  PIN;1
BUSBANZA;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;25
BUSBANZA;Partido Conservador Colombiano;344
BUSBANZA;Partido De Integracion Nacional  Pin;0
BUSBANZA;Partido Liberal Colombiano;17
BUSBANZA;Partido Social De Unidad Nacional  Partido De La U;3
CALDAS;Alianza Verde;493
CALDAS;Cambio Radical;119
CALDAS;Movimiento MIRA;7
CALDAS;PARTIDO DE INTEGRACION NACIONAL  PIN;8
CALDAS;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;211
CALDAS;Partido Conservador Colombiano;514
CALDAS;Partido De Integracion Nacional  Pin;2
CALDAS;Partido Liberal Colombiano;338
CALDAS;Partido Social De Unidad Nacional  Partido De La U;19
CAMPOHERMOSO;Alianza Verde;83
CAMPOHERMOSO;Cambio Radical;71
CAMPOHERMOSO;Movimiento MIRA;5
CAMPOHERMOSO;PARTIDO DE INTEGRACION NACIONAL  PIN;2
CAMPOHERMOSO;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;399
CAMPOHERMOSO;Partido Conservador Colombiano;465
CAMPOHERMOSO;Partido De Integracion Nacional  Pin;2
CAMPOHERMOSO;Partido Liberal Colombiano;336
CAMPOHERMOSO;Partido Social De Unidad Nacional  Partido De La U;55
CERINZA;Alianza Verde;416
CERINZA;Cambio Radical;86
CERINZA;Movimiento MIRA;6
