MUNNOMBRE;PARNOMBRE;VOTOS
ALMEIDA;Alianza Social Independiente;40
ALMEIDA;Cambio Radical;288
ALMEIDA;Partido Alianza Social Independiente  Asi;0
ALMEIDA;Partido Conservador Colombiano;124
ALMEIDA;Partido de la U;785
AQUITANIA;AICO;978
AQUITANIA;Alianza Social Independiente;318
AQUITANIA;Alianza Verde;1608
AQUITANIA;Cambio Radical;549
AQUITANIA;Candidata Retirada;100
AQUITANIA;MIO;976
AQUITANIA;Partido Conservador Colombiano;1218
AQUITANIA;Partido Liberal Colombiano;199
AQUITANIA;Partido PIN;1100
AQUITANIA;Partido de la U;832
ARCABUCO;Alianza Verde;631
ARCABUCO;Cambio Radical;283
ARCABUCO;Partido Conservador Colombiano;700
ARCABUCO;Partido Liberal Colombiano;399
ARCABUCO;Partido de la U;920
BELEN;Partido Conservador Colombiano;1890
BELEN;Partido Liberal Colombiano;1782
BELEN;Partido de la U;836
BERBEO;Alianza Social Independiente;189
BERBEO;Alianza Verde;210
BERBEO;Cambio Radical;187
BERBEO;Partido Liberal Colombiano;153
BERBEO;Partido PIN;143
BERBEO;Partido de la U;216
BETEITIVA;Alianza Verde;259
BETEITIVA;Cambio Radical;352
BETEITIVA;Partido Liberal Colombiano;295
BETEITIVA;Partido PIN;75
BETEITIVA;Partido de la U;427
BOAVITA;Alianza Social Independiente;511
BOAVITA;Alianza Verde;918
BOAVITA;Cambio Radical;38
BOAVITA;Partido Conservador Colombiano;975
BOAVITA;Partido de la U;632
BOYACA;Alianza Verde;197
BOYACA;Cambio Radical;204
BOYACA;Partido Liberal Colombiano;1040
BOYACA;Partido PIN;540
BOYACA;Partido de la U;777
BRICENO;Alianza Social Independiente;290
BRICENO;Alianza Verde;240
BRICENO;Cambio Radical;254
BRICENO;Partido Conservador Colombiano;311
BRICENO;Partido PIN;162
BRICENO;Partido de la U;104
BUENAVISTA;Alianza Social Independiente;356
BUENAVISTA;Alianza Verde;237
BUENAVISTA;Cambio Radical;1091
BUENAVISTA;Partido Conservador Colombiano;539
BUENAVISTA;Partido de la U;574
BUSBANZA;Alianza Social Independiente;248
BUSBANZA;Alianza Verde;112
BUSBANZA;Partido Conservador Colombiano;209
CALDAS;Cambio Radical;488
CALDAS;Partido Conservador Colombiano;564
CALDAS;Partido Liberal Colombiano;630
CALDAS;Partido de la U;277
CAMPOHERMOSO;Alianza Verde;126
CAMPOHERMOSO;Cambio Radical;109
CAMPOHERMOSO;Partido Conservador Colombiano;510
CAMPOHERMOSO;Partido Liberal Colombiano;283
CAMPOHERMOSO;Partido de la U;608
CERINZA;Alianza Verde;636
CERINZA;Partido Conservador Colombiano;840
CERINZA;Partido de la U;717
CHINAVITA;Alianza Social Independiente;783
CHINAVITA;Cambio Radical;595
CHINAVITA;Partido Conservador Colombiano;433
CHINAVITA;Partido de la U;286
CHIQUINQUIRA;Alianza Verde;2598
CHIQUINQUIRA;Cambio Radical;4543
CHIQUINQUIRA;MIO;647
CHIQUINQUIRA;Movimiento MIRA;454
CHIQUINQUIRA;Partido Conservador Colombiano;5264
CHIQUINQUIRA;Partido Liberal Colombiano;1745
CHIQUINQUIRA;Partido PIN;571
CHIQUINQUIRA;Partido de la U;4117
CHIQUINQUIRA;Polo Democrático Alternativo;811
CHIQUIZA;Alianza Verde;892
CHIQUIZA;Cambio Radical;289
CHIQUIZA;Partido Conservador Colombiano;716
CHIQUIZA;Partido Liberal Colombiano;1127
CHIQUIZA;Partido de la U;461
CHISCAS;Alianza Social Independiente;335
CHISCAS;Alianza Verde;571
CHISCAS;Cambio Radical;308
CHISCAS;Partido Liberal Colombiano;694
CHISCAS;Partido de la U;264
CHITA;Alianza Verde;459
CHITA;Cambio Radical;887
CHITA;Partido Conservador Colombiano;1046
CHITA;Partido Liberal Colombiano;563
CHITA;Partido de la U;855
CHITARAQUE;Cambio Radical;358
CHITARAQUE;Partido Conservador Colombiano;786
CHITARAQUE;Partido Liberal Colombiano;805
CHITARAQUE;Partido de la U;1306
CHIVATA;Alianza Verde;776
CHIVATA;Partido Conservador Colombiano;719
CHIVATA;Partido de la U;272
CHIVOR;Alianza Verde;524
CHIVOR;Partido Conservador Colombiano;521
CHIVOR;Partido de la U;50
CIENEGA;Alianza Verde;442
CIENEGA;Partido Conservador Colombiano;1094
CIENEGA;Partido Liberal Colombiano;354
CIENEGA;Partido de la U;675
COMBITA;Alianza Social Independiente;405
COMBITA;Alianza Verde;1187
COMBITA;Cambio Radical;579
COMBITA;Partido Conservador Colombiano;935
COMBITA;Partido Liberal Colombiano;1182
COMBITA;Partido de la U;1204
COMBITA;Polo Democrático Alternativo;24
COPER;Cambio Radical;557
COPER;Partido Conservador Colombiano;584
COPER;Partido Liberal Colombiano;665
COPER;Partido de la U;434
CORRALES;Alianza Social Independiente;138
CORRALES;Alianza Verde;286
CORRALES;Cambio Radical;369
CORRALES;Partido Conservador Colombiano;645
CORRALES;Partido Liberal Colombiano;200
COVARACHIA;AICO;76
COVARACHIA;Alianza Social Independiente;58
COVARACHIA;Alianza Verde;219
COVARACHIA;Cambio Radical;440
COVARACHIA;Movimiento Autoridades Indigenas De Colombia  Aico;0
COVARACHIA;Partido Conservador Colombiano;303
COVARACHIA;Partido Liberal Colombiano;203
COVARACHIA;Partido PIN;292
COVARACHIA;Partido de la U;236
CUBARA;Alianza Social Independiente;537
CUBARA;Alianza Verde;315
CUBARA;Partido Conservador Colombiano;595
CUBARA;Partido Liberal Colombiano;769
CUCAITA;Alianza Social Independiente;305
CUCAITA;Alianza Verde;719
CUCAITA;Cambio Radical;342
CUCAITA;Partido Conservador Colombiano;212
CUCAITA;Partido PIN;328
CUCAITA;Partido de la U;358
CUITIVA;Cambio Radical;361
CUITIVA;Partido Conservador Colombiano;212
CUITIVA;Partido Liberal Colombiano;280
CUITIVA;Partido de la U;400
DUITAMA;Alianza Social Independiente;2584
DUITAMA;Alianza Verde;5724
DUITAMA;Cambio Radical;4807
DUITAMA;MIO;2074
DUITAMA;Movimiento MIRA;2134
DUITAMA;Partido Conservador Colombiano;9238
DUITAMA;Partido Liberal Colombiano;2806
DUITAMA;Partido PIN;3817
DUITAMA;Partido de la U;8984
DUITAMA;Polo Democrático Alternativo;959
EL COCUY;Alianza Social Independiente;104
EL COCUY;Partido Conservador Colombiano;883
EL COCUY;Partido Liberal Colombiano;1164
EL COCUY;Partido de la U;170
EL ESPINO;Alianza Verde;251
EL ESPINO;Cambio Radical;515
EL ESPINO;Partido Conservador Colombiano;237
EL ESPINO;Partido de la U;482
FIRAVITOBA;Alianza Verde;653
FIRAVITOBA;Partido Conservador Colombiano;1178
FIRAVITOBA;Partido Liberal Colombiano;1176
FIRAVITOBA;Polo Democrático Alternativo;197
FLORESTA;Alianza Verde;343
FLORESTA;Cambio Radical;316
FLORESTA;MIO;293
FLORESTA;Partido Conservador Colombiano;588
FLORESTA;Partido de la U;534
GACHANTIVA;Alianza Social Independiente;177
GACHANTIVA;Alianza Verde;392
GACHANTIVA;Cambio Radical;135
GACHANTIVA;Partido Conservador Colombiano;402
GACHANTIVA;Partido Liberal Colombiano;334
GACHANTIVA;Partido PIN;162
GACHANTIVA;Partido de la U;281
GAMEZA;Alianza Verde;307
GAMEZA;Cambio Radical;621
GAMEZA;Partido Conservador Colombiano;781
GAMEZA;Partido Liberal Colombiano;704
GAMEZA;Partido PIN;23
GAMEZA;Partido de la U;279
GARAGOA;Alianza Social Independiente;645
GARAGOA;Alianza Verde;833
GARAGOA;Cambio Radical;889
GARAGOA;Movimiento MIRA;275
GARAGOA;Partido Conservador Colombiano;1422
GARAGOA;Partido Liberal Colombiano;936
GARAGOA;Partido PIN;663
GARAGOA;Partido de la U;815
GUACAMAYAS;Cambio Radical;123
GUACAMAYAS;Partido Conservador Colombiano;463
GUACAMAYAS;Partido PIN;363
GUACAMAYAS;Partido de la U;255
GUATEQUE;Alianza Verde;1209
GUATEQUE;Cambio Radical;1585
GUATEQUE;Movimiento MIRA;112
GUATEQUE;Partido Conservador Colombiano;284
GUATEQUE;Partido Liberal Colombiano;864
GUATEQUE;Partido de la U;940
GUAYATA;Cambio Radical;419
GUAYATA;Partido Conservador Colombiano;841
GUAYATA;Partido Liberal Colombiano;583
GUAYATA;Partido de la U;701
GUICAN DE LA SIERRA;Alianza Social Independiente;130
GUICAN DE LA SIERRA;Alianza Verde;545
GUICAN DE LA SIERRA;Cambio Radical;430
GUICAN DE LA SIERRA;Partido Conservador Colombiano;315
GUICAN DE LA SIERRA;Partido de la U;512
IZA;Alianza Verde;346
IZA;Cambio Radical;238
IZA;Partido Conservador Colombiano;376
IZA;Partido Liberal Colombiano;85
IZA;Partido de la U;381
JENESANO;Alianza Social Independiente;415
JENESANO;Alianza Verde;396
JENESANO;Cambio Radical;693
JENESANO;MIO;889
JENESANO;Partido Liberal Colombiano;1043
JERICO;Alianza Social Independiente;216
JERICO;Alianza Verde;333
JERICO;Cambio Radical;310
JERICO;MIO;198
JERICO;Partido Conservador Colombiano;717
JERICO;Partido PIN;103
JERICO;Partido de la U;217
LA CAPILLA;Alianza Verde;196
LA CAPILLA;Cambio Radical;61
LA CAPILLA;Movimiento MIRA;38
LA CAPILLA;Partido Conservador Colombiano;635
LA CAPILLA;Partido de la U;839
LA UVITA;Alianza Social Independiente;131
LA UVITA;Alianza Verde;310
LA UVITA;Cambio Radical;175
LA UVITA;Partido Conservador Colombiano;268
LA UVITA;Partido Liberal Colombiano;136
LA UVITA;Partido PIN;152
LA UVITA;Partido de la U;255
LA UVITA;Polo Democrático Alternativo;110
LA VICTORIA;Cambio Radical;150
LA VICTORIA;Partido Liberal Colombiano;443
LA VICTORIA;Partido de la U;517
LABRANZAGRANDE;Alianza Verde;203
LABRANZAGRANDE;Cambio Radical;650
LABRANZAGRANDE;Partido Liberal Colombiano;335
LABRANZAGRANDE;Partido PIN;65
LABRANZAGRANDE;Partido de la U;631
