MUNNOMBRE,PARNOMBRE,TOTALVOTOSVALIDOS,PORCENTAJE
ALMEIDA;ALBA LUZ GONZALEZ MARTINEZ;PARTIDO CONSERVADOR COLOMBIANO;3,ALMEIDA;Alba Luz Gonzalez Martinez;PARTIDO CONSERVADOR COLOMBIANO;3,0.0,0.0
ALMEIDA;ALFREDO DE JESUS MONTIEL BARRIOS;MOVIMIENTO MIRA;3,ALMEIDA;Alfredo De Jesus Montiel Barrios;MOVIMIENTO MIRA;3,0.0,0.0
ALMEIDA;BENIGNO HERNAN DIAZ CARDENAS;CENTRO DEMOCRATICO MANO FIRME CORAZON GRANDE;1,ALMEIDA;Benigno Hernan Diaz Cardenas;CENTRO DEMOCRATICO MANO FIRME CORAZON GRANDE;1,0.0,0.0
ALMEIDA;CANDIDATURA NO ACEPTADA;CANDIDATURA NO ACEPTADA;4,ALMEIDA;Candidatura No Aceptada;Candidatura No Aceptada;4,0.0,0.0
ALMEIDA;CARMEN ROCIO ROJAS ALVAREZ;POLO DEMOCRATICO ALTERNATIVO;11,ALMEIDA;Carmen Rocio Rojas Alvarez;POLO DEMOCRATICO ALTERNATIVO;11,0.0,0.0
ALMEIDA;CENTRO DEMOCRATICO MANO FIRME CORAZON GRANDE;CENTRO DEMOCRATICO MANO FIRME CORAZON GRANDE;18,ALMEIDA;Centro Democratico Mano Firme Corazon Grande;Centro Democratico Mano Firme Corazon Grande;18,0.0,0.0
ALMEIDA;CESAR AUGUSTO LOPEZ MORALES;PARTIDO LIBERAL COLOMBIANO;2,ALMEIDA;Cesar Augusto Lopez Morales;PARTIDO LIBERAL COLOMBIANO;2,0.0,0.0
ALMEIDA;CIRO ALEJANDRO RAMIREZ CORTES;CENTRO DEMOCRATICO MANO FIRME CORAZON GRANDE;8,ALMEIDA;Ciro Alejandro Ramirez Cortes;CENTRO DEMOCRATICO MANO FIRME CORAZON GRANDE;8,0.0,0.0
ALMEIDA;CRISTOBAL RODRIGUEZ HERNANDEZ;PARTIDO DE LA U;22,ALMEIDA;Cristobal Rodriguez Hernandez;PARTIDO DE LA U;22,0.0,0.0
ALMEIDA;EDWIN CRISANTO BOHORQUEZ MORA;PARTIDO ALIANZA VERDE;4,ALMEIDA;Edwin Crisanto Bohorquez Mora;PARTIDO ALIANZA VERDE;4,0.0,0.0
ALMEIDA;FERNANDO ALEXANDER SERRATO FONSECA;CENTRO DEMOCRATICO MANO FIRME CORAZON GRANDE;22,ALMEIDA;Fernando Alexander Serrato Fonseca;CENTRO DEMOCRATICO MANO FIRME CORAZON GRANDE;22,0.0,0.0
ALMEIDA;FERNANDO SANDOVAL RODRIGUEZ;PARTIDO LIBERAL COLOMBIANO;2,ALMEIDA;Fernando Sandoval Rodriguez;PARTIDO LIBERAL COLOMBIANO;2,0.0,0.0
ALMEIDA;FLORALBA PIRAGAUTA PEREZ;PARTIDO LIBERAL COLOMBIANO;1,ALMEIDA;Floralba Piragauta Perez;PARTIDO LIBERAL COLOMBIANO;1,0.0,0.0
ALMEIDA;FRANCISCO JAVIER PARRA PARRA;MOVIMIENTO MIRA;1,ALMEIDA;Francisco Javier Parra Parra;MOVIMIENTO MIRA;1,0.0,0.0
ALMEIDA;GERMAN SUAREZ BERNAL;POLO DEMOCRATICO ALTERNATIVO;4,ALMEIDA;German Suarez Bernal;POLO DEMOCRATICO ALTERNATIVO;4,0.0,0.0
ALMEIDA;GUSTAVO HERNAN PUENTES DIAZ;PARTIDO CONSERVADOR COLOMBIANO;6,ALMEIDA;Gustavo Hernan Puentes Diaz;PARTIDO CONSERVADOR COLOMBIANO;6,0.0,0.0
ALMEIDA;HUMBERTO ISRAEL CASTILLO RIOS;PARTIDO CAMBIO RADICAL;2,ALMEIDA;Humberto Israel Castillo Rios;PARTIDO CAMBIO RADICAL;2,0.0,0.0
ALMEIDA;HUMPHREY ROA SARMIENTO;PARTIDO CONSERVADOR COLOMBIANO;136,ALMEIDA;Humphrey Roa Sarmiento;PARTIDO CONSERVADOR COLOMBIANO;136,0.0,0.0
ALMEIDA;IRMA EDILSA CARO DE PULIDO;PARTIDO DE LA U;8,ALMEIDA;Irma Edilsa Caro De Pulido;PARTIDO DE LA U;8,0.0,0.0
ALMEIDA;JAIRO ENRIQUE CASTIBLANCO PARRA;PARTIDO DE LA U;164,ALMEIDA;Jairo Enrique Castiblanco Parra;PARTIDO DE LA U;164,0.0,0.0
ALMEIDA;JAVIER ADRIANO SANABRIA SUAREZ;PARTIDO CAMBIO RADICAL;2,ALMEIDA;Javier Adriano Sanabria Suarez;PARTIDO CAMBIO RADICAL;2,0.0,0.0
ALMEIDA;JUDDY ALEXANDRA JIMENEZ CUADROS;PARTIDO DE LA U;2,ALMEIDA;Juddy Alexandra Jimenez Cuadros;PARTIDO DE LA U;2,0.0,0.0
