MUNNOMBRE;PARNOMBRE;VOTOS;TOTAL_VOTOS;PORCENTAJE
ALMEIDA;Centro Democrático;460;694;66.282421
ALMEIDA;Partido de la U;109;694;15.706052
ALMEIDA;Polo Democrático Alternativo;58;694;8.357349
ALMEIDA;Partido Conservador Colombiano;50;694;7.204611
ALMEIDA;Alianza Verde;17;694;2.449568
AQUITANIA;Centro Democrático;3467;5483;63.231807
AQUITANIA;Partido Conservador Colombiano;1168;5483;21.302207
AQUITANIA;Polo Democrático Alternativo;421;5483;7.678278
AQUITANIA;Partido de la U;300;5483;5.471457
AQUITANIA;Alianza Verde;127;5483;2.31625
ARCABUCO;Partido Conservador Colombiano;559;1763;31.707317
ARCABUCO;Centro Democrático;483;1763;27.396483
ARCABUCO;Partido de la U;348;1763;19.739081
ARCABUCO;Polo Democrático Alternativo;302;1763;17.129892
ARCABUCO;Alianza Verde;71;1763;4.027226
BELEN;Partido Conservador Colombiano;1142;2705;42.218115
BELEN;Polo Democrático Alternativo;544;2705;20.110906
BELEN;Centro Democrático;542;2705;20.036969
BELEN;Partido de la U;364;2705;13.456562
BELEN;Alianza Verde;113;2705;4.177449
BERBEO;Centro Democrático;151;430;35.116279
BERBEO;Partido de la U;90;430;20.930233
BERBEO;Polo Democrático Alternativo;84;430;19.534884
BERBEO;Partido Conservador Colombiano;66;430;15.348837
BERBEO;Alianza Verde;39;430;9.069767
BETEITIVA;Partido de la U;215;690;31.15942
BETEITIVA;Centro Democrático;183;690;26.521739
BETEITIVA;Partido Conservador Colombiano;151;690;21.884058
BETEITIVA;Polo Democrático Alternativo;98;690;14.202899
BETEITIVA;Alianza Verde;43;690;6.231884
BOAVITA;Centro Democrático;1043;2056;50.729572
BOAVITA;Partido Conservador Colombiano;451;2056;21.935798
BOAVITA;Partido de la U;325;2056;15.807393
BOAVITA;Polo Democrático Alternativo;194;2056;9.435798
BOAVITA;Alianza Verde;43;2056;2.09144
BOYACA;Centro Democrático;300;1067;28.116214
BOYACA;Polo Democrático Alternativo;263;1067;24.648547
BOYACA;Partido de la U;230;1067;21.555764
BOYACA;Partido Conservador Colombiano;194;1067;18.181818
BOYACA;Alianza Verde;80;1067;7.497657
BRICENO;Centro Democrático;341;825;41.333333
BRICENO;Partido de la U;279;825;33.818182
BRICENO;Partido Conservador Colombiano;148;825;17.939394
BRICENO;Polo Democrático Alternativo;42;825;5.090909
BRICENO;Alianza Verde;15;825;1.818182
BUENAVISTA;Centro Democrático;813;1783;45.597308
BUENAVISTA;Partido de la U;562;1783;31.51991
BUENAVISTA;Partido Conservador Colombiano;250;1783;14.021312
BUENAVISTA;Polo Democrático Alternativo;125;1783;7.010656
BUENAVISTA;Alianza Verde;33;1783;1.850813
BUSBANZA;Partido Conservador Colombiano;184;370;49.72973
BUSBANZA;Centro Democrático;76;370;20.540541
BUSBANZA;Partido de la U;51;370;13.783784
BUSBANZA;Polo Democrático Alternativo;38;370;10.27027
BUSBANZA;Alianza Verde;21;370;5.675676
CALDAS;Centro Democrático;344;1016;33.858268
CALDAS;Partido Conservador Colombiano;278;1016;27.362205
CALDAS;Partido de la U;203;1016;19.980315
CALDAS;Polo Democrático Alternativo;162;1016;15.944882
CALDAS;Alianza Verde;29;1016;2.854331
CAMPOHERMOSO;Centro Democrático;659;1051;62.702188
CAMPOHERMOSO;Partido de la U;149;1051;14.176974
CAMPOHERMOSO;Partido Conservador Colombiano;142;1051;13.510942
CAMPOHERMOSO;Polo Democrático Alternativo;74;1051;7.040913
CAMPOHERMOSO;Alianza Verde;27;1051;2.568982
CERINZA;Partido Conservador Colombiano;593;1547;38.332256
CERINZA;Polo Democrático Alternativo;385;1547;24.886878
CERINZA;Centro Democrático;334;1547;21.590175
CERINZA;Partido de la U;158;1547;10.213316
CERINZA;Alianza Verde;77;1547;4.977376
CHINAVITA;Centro Democrático;556;1136;48.943662
CHINAVITA;Partido de la U;214;1136;18.838028
CHINAVITA;Partido Conservador Colombiano;200;1136;17.605634
CHINAVITA;Polo Democrático Alternativo;136;1136;11.971831
