MUNNOMBRE;PARNOMBRE;VOTOS;TOTAL_VOTOS;PORCENTAJE
ALMEIDA;Partido Liberal Colombiano;534;534;100.0
AQUITANIA;Alianza Social Independiente;938;8665;10.83
AQUITANIA;Centro Democrático;3337;8665;38.51
AQUITANIA;Partido Conservador Colombiano;4390;8665;50.66
ARCABUCO;Partido Liberal Colombiano;829;829;100.0
BELEN;Alianza Verde;1359;4773;28.47
BELEN;Partido Conservador Colombiano;1572;4773;32.94
BELEN;Partido Liberal Colombiano;648;4773;13.58
BELEN;Partido de la U;1194;4773;25.02
BERBEO;Partido Liberal Colombiano;651;651;100.0
BETEITIVA;Partido Conservador Colombiano;328;885;37.06
BETEITIVA;Partido Liberal Colombiano;557;885;62.94
BOAVITA;Partido Conservador Colombiano;1782;1797;99.17
BOAVITA;Partido de la U;15;1797;0.83
BOYACA;Partido de la U;1514;1514;100.0
BRICENO;Partido Conservador Colombiano;829;1521;54.5
BRICENO;Partido Liberal Colombiano;692;1521;45.5
BUENAVISTA;Partido Liberal Colombiano;1278;1278;100.0
BUSBANZA;Partido Conservador Colombiano;384;667;57.57
BUSBANZA;Partido de la U;283;667;42.43
CALDAS;Partido Liberal Colombiano;1422;2291;62.07
CALDAS;Partido de la U;869;2291;37.93
CAMPOHERMOSO;Alianza Social Independiente;177;1676;10.56
CAMPOHERMOSO;Centro Democrático;621;1676;37.05
CAMPOHERMOSO;Partido Liberal Colombiano;878;1676;52.39
CHINAVITA;Alianza Social Independiente;338;2153;15.7
CHINAVITA;Partido Liberal Colombiano;1071;2153;49.74
CHINAVITA;Partido de la U;744;2153;34.56
CHIQUINQUIRA;Alianza Social Independiente;1748;19924;8.77
CHIQUINQUIRA;Alianza Verde;3239;19924;16.26
CHIQUINQUIRA;Centro Democrático;36;19924;0.18
CHIQUINQUIRA;Partido Conservador Colombiano;5359;19924;26.9
CHIQUINQUIRA;Partido Liberal Colombiano;2801;19924;14.06
CHIQUINQUIRA;Partido de la U;6741;19924;33.83
CHIQUIZA;Alianza Verde;1705;3570;47.76
CHIQUIZA;Partido Liberal Colombiano;1865;3570;52.24
CHISCAS;Partido Liberal Colombiano;815;815;100.0
CHITA;Centro Democrático;1607;2552;62.97
CHITA;Partido Liberal Colombiano;945;2552;37.03
CHITARAQUE;Alianza Verde;368;1870;19.68
CHITARAQUE;Centro Democrático;1502;1870;80.32
CHIVATA;Partido Conservador Colombiano;930;1554;59.85
CHIVATA;Partido Liberal Colombiano;624;1554;40.15
CHIVOR;Alianza Verde;287;1173;24.47
CHIVOR;Partido Conservador Colombiano;191;1173;16.28
CHIVOR;Partido Liberal Colombiano;695;1173;59.25
CIENEGA;Partido Conservador Colombiano;606;2059;29.43
CIENEGA;Partido de la U;1453;2059;70.57
COMBITA;Alianza Social Independiente;235;5812;4.04
COMBITA;Alianza Verde;2196;5812;37.78
COMBITA;Centro Democrático;578;5812;9.94
COMBITA;Partido Liberal Colombiano;2803;5812;48.23
COPER;Centro Democrático;115;1826;6.3
COPER;Partido Liberal Colombiano;1071;1826;58.65
COPER;Partido de la U;640;1826;35.05
CORRALES;Alianza Verde;631;1749;36.08
CORRALES;Partido Conservador Colombiano;430;1749;24.59
CORRALES;Partido de la U;688;1749;39.34
COVARACHIA;Alianza Verde;100;2158;4.63
COVARACHIA;Partido Conservador Colombiano;861;2158;39.9
COVARACHIA;Partido Liberal Colombiano;10;2158;0.46
COVARACHIA;Partido de la U;1187;2158;55.0
CUBARA;Alianza Social Independiente;1490;2801;53.2
CUBARA;Partido Conservador Colombiano;199;2801;7.1
CUBARA;Partido Liberal Colombiano;1112;2801;39.7
CUCAITA;Alianza Social Independiente;400;2626;15.23
CUCAITA;Partido Conservador Colombiano;980;2626;37.32
CUCAITA;Partido Liberal Colombiano;1242;2626;47.3
CUCAITA;Partido de la U;4;2626;0.15
CUITIVA;Alianza Verde;68;1395;4.87
CUITIVA;Partido Liberal Colombiano;461;1395;33.05
CUITIVA;Partido de la U;866;1395;62.08
DUITAMA;Centro Democrático;7188;37438;19.2
DUITAMA;Partido Conservador Colombiano;28510;37438;76.15
DUITAMA;Partido de la U;1740;37438;4.65
EL COCUY;Centro Democrático;663;2375;27.92
EL COCUY;Partido Conservador Colombiano;1019;2375;42.91
EL COCUY;Partido Liberal Colombiano;693;2375;29.18
EL ESPINO;Centro Democrático;357;357;100.0
FIRAVITOBA;Alianza Verde;549;3594;15.28
FIRAVITOBA;Partido Conservador Colombiano;440;3594;12.24
FIRAVITOBA;Partido Liberal Colombiano;817;3594;22.73
