MUNNOMBRE;PARNOMBRE;VOTOS
ALMEIDA;No;327
ALMEIDA;Sí;347
AQUITANIA (PUEBLOVIEJO);No;2984
AQUITANIA (PUEBLOVIEJO);Sí;1208
ARCABUCO;No;882
ARCABUCO;Sí;773
BELEN;No;1344
BELEN;Sí;1150
BERBEO;No;181
BERBEO;Sí;387
BETEITIVA;No;252
BETEITIVA;Sí;407
BOAVITA;No;1012
BOAVITA;Sí;798
BOYACA;No;422
BOYACA;Sí;601
BRICEÑO;No;282
BRICEÑO;Sí;471
BUENAVISTA;No;790
BUENAVISTA;Sí;616
BUSBANZA;No;183
BUSBANZA;Sí;174
CALDAS;No;453
CALDAS;Sí;651
CAMPOHERMOSO;No;432
CAMPOHERMOSO;Sí;507
CERINZA;No;595
CERINZA;Sí;961
CHINAVITA;No;496
CHINAVITA;Sí;421
CHIQUINQUIRA;No;8554
CHIQUINQUIRA;Sí;8163
CHIQUIZA;No;330
CHIQUIZA;Sí;537
CHISCAS;No;658
CHISCAS;Sí;672
CHITA;No;1296
CHITA;Sí;873
CHITARAQUE;No;962
CHITARAQUE;Sí;644
CHIVATA;No;439
CHIVATA;Sí;477
CHIVOR;No;378
CHIVOR;Sí;260
CIENEGA;No;655
CIENEGA;Sí;543
COMBITA;No;1452
COMBITA;Sí;2081
COPER;No;511
COPER;Sí;779
CORRALES;No;511
CORRALES;Sí;408
COVARACHIA;No;626
COVARACHIA;Sí;394
CUBARA;No;597
CUBARA;Sí;781
CUCAITA;No;543
CUCAITA;Sí;683
CUITIVA;No;363
CUITIVA;Sí;269
DUITAMA;No;20776
DUITAMA;Sí;19524
EL COCUY;No;830
EL COCUY;Sí;374
EL ESPINO;No;627
EL ESPINO;Sí;339
FIRAVITOBA;No;758
FIRAVITOBA;Sí;1317
FLORESTA;No;799
FLORESTA;Sí;527
GACHANTIVA;No;678
GACHANTIVA;Sí;621
GAMEZA;No;825
GAMEZA;Sí;621
GARAGOA;No;2485
GARAGOA;Sí;2534
GUACAMAYAS;No;479
GUACAMAYAS;Sí;122
GUATEQUE;No;1599
GUATEQUE;Sí;1718
GUAYATA;No;633
GUAYATA;Sí;861
GUICAN;No;592
GUICAN;Sí;556
IZA;No;465
IZA;Sí;367
JENESANO;No;584
JENESANO;Sí;1031
JERICO;No;569
JERICO;Sí;359
LA CAPILLA;No;493
LA CAPILLA;Sí;525
LA UVITA;No;611
LA UVITA;Sí;287
LA VICTORIA;No;136
LA VICTORIA;Sí;417
LABRANZAGRANDE;No;529
LABRANZAGRANDE;Sí;444
MACANAL;No;728
MACANAL;Sí;464
MARIPI;No;459
MARIPI;Sí;1371
MIRAFLORES;No;1233
MIRAFLORES;Sí;2330
MONGUA;No;1258
MONGUA;Sí;397
MONGUI;No;870
MONGUI;Sí;530
MONIQUIRA;No;3016
MONIQUIRA;Sí;3257
MOTAVITA;No;836
MOTAVITA;Sí;955
MUZO;No;1470
MUZO;Sí;860
NOBSA;No;2809
NOBSA;Sí;2835
NUEVO COLON;No;624
NUEVO COLON;Sí;1107
OICATA;No;492
OICATA;Sí;605
OTANCHE;No;1297
OTANCHE;Sí;1031
PACHAVITA;No;374
PACHAVITA;Sí;370
PAEZ;No;613
PAEZ;Sí;558
PAIPA;No;4866
PAIPA;Sí;6187
PAJARITO;No;399
PAJARITO;Sí;234
PANQUEBA;No;335
PANQUEBA;Sí;285
PAUNA;No;804
PAUNA;Sí;1527
PAYA;No;383
PAYA;Sí;320
PAZ DE RIO;No;566
PAZ DE RIO;Sí;1119
PESCA;No;1061
PESCA;Sí;710
PISBA;No;256
PISBA;Sí;195
PUERTO BOYACA;No;9611
PUERTO BOYACA;Sí;4276
QUIPAMA;No;1066
QUIPAMA;Sí;637
RAMIRIQUI;No;1277
RAMIRIQUI;Sí;1476
RAQUIRA;No;851
RAQUIRA;Sí;815
RONDON;No;426
RONDON;Sí;469
SABOYA;No;1250
SABOYA;Sí;2246
SACHICA;No;624
SACHICA;Sí;702
SAMACA;No;2340
SAMACA;Sí;2343
SAN EDUARDO;No;245
SAN EDUARDO;Sí;434
SAN JOSE DE PARE;No;844
SAN JOSE DE PARE;Sí;946
SAN LUIS DE GACENO;No;1110
SAN LUIS DE GACENO;Sí;628
SAN MATEO;No;720
SAN MATEO;Sí;368
SAN MIGUEL DE SEMA;No;550
SAN MIGUEL DE SEMA;Sí;513
SAN PABLO DE BORBUR;No;1236
SAN PABLO DE BORBUR;Sí;584
SANTA MARIA;No;656
