MUNNOMBRE,PARNOMBRE,TOTALVOTOSVALIDOS,PORCENTAJE
ALMEIDA;GERMAN VARGAS LLERAS;CENTRO DEMOCRATICO;62,ALMEIDA;German Vargas Lleras;Centro Democrático;62,0.0,0.0
ALMEIDA;GUSTAVO FRANCISCO PETRO URREGO;PARTIDO LIBERAL COLOMBIANO;122,ALMEIDA;Gustavo Francisco Petro Urrego;Partido Liberal Colombiano;122,0.0,0.0
ALMEIDA;HUMBERTO DE LA CALLE LOMBANA;PARTIDO DE LA U;10,ALMEIDA;Humberto De La Calle Lombana;Partido de la U;10,0.0,0.0
ALMEIDA;IVAN DUQUE MARQUEZ;CENTRO DEMOCRATICO;648,ALMEIDA;Ivan Duque Marquez;Centro Democrático;648,0.0,0.0
ALMEIDA;JORGE ANTONIO TRUJILLO SARMIENTO;CAMBIO RADICAL;1,ALMEIDA;Jorge Antonio Trujillo Sarmiento;Cambio Radical;1,0.0,0.0
ALMEIDA;PROMOTORES VOTO EN BLANCO;PROMOTORES VOTO EN BLANCO;1,ALMEIDA;Promotores Voto En Blanco;Promotores Voto En Blanco;1,0.0,0.0
ALMEIDA;SERGIO FAJARDO VALDERRAMA;COLOMBIA HUMANA;114,ALMEIDA;Sergio Fajardo Valderrama;Colombia Humana;114,0.0,0.0
ALMEIDA;VIVIANE ALEIDA MORALES HOYOS;CAMBIO RADICAL;4,ALMEIDA;Viviane Aleida Morales Hoyos;Cambio Radical;4,0.0,0.0
AQUITANIA;GERMAN VARGAS LLERAS;CENTRO DEMOCRATICO;228,AQUITANIA;German Vargas Lleras;Centro Democrático;228,0.0,0.0
AQUITANIA;GUSTAVO FRANCISCO PETRO URREGO;PARTIDO LIBERAL COLOMBIANO;661,AQUITANIA;Gustavo Francisco Petro Urrego;Partido Liberal Colombiano;661,0.0,0.0
AQUITANIA;HUMBERTO DE LA CALLE LOMBANA;PARTIDO DE LA U;45,AQUITANIA;Humberto De La Calle Lombana;Partido de la U;45,0.0,0.0
AQUITANIA;IVAN DUQUE MARQUEZ;CENTRO DEMOCRATICO;5042,AQUITANIA;Ivan Duque Marquez;Centro Democrático;5042,0.0,0.0
AQUITANIA;JORGE ANTONIO TRUJILLO SARMIENTO;CAMBIO RADICAL;16,AQUITANIA;Jorge Antonio Trujillo Sarmiento;Cambio Radical;16,0.0,0.0
AQUITANIA;PROMOTORES VOTO EN BLANCO;PROMOTORES VOTO EN BLANCO;10,AQUITANIA;Promotores Voto En Blanco;Promotores Voto En Blanco;10,0.0,0.0
AQUITANIA;SERGIO FAJARDO VALDERRAMA;COLOMBIA HUMANA;912,AQUITANIA;Sergio Fajardo Valderrama;Colombia Humana;912,0.0,0.0
AQUITANIA;VIVIANE ALEIDA MORALES HOYOS;CAMBIO RADICAL;17,AQUITANIA;Viviane Aleida Morales Hoyos;Cambio Radical;17,0.0,0.0
ARCABUCO;GERMAN VARGAS LLERAS;CENTRO DEMOCRATICO;93,ARCABUCO;German Vargas Lleras;Centro Democrático;93,0.0,0.0
ARCABUCO;GUSTAVO FRANCISCO PETRO URREGO;PARTIDO LIBERAL COLOMBIANO;557,ARCABUCO;Gustavo Francisco Petro Urrego;Partido Liberal Colombiano;557,0.0,0.0
ARCABUCO;HUMBERTO DE LA CALLE LOMBANA;PARTIDO DE LA U;31,ARCABUCO;Humberto De La Calle Lombana;Partido de la U;31,0.0,0.0
ARCABUCO;IVAN DUQUE MARQUEZ;CENTRO DEMOCRATICO;1110,ARCABUCO;Ivan Duque Marquez;Centro Democrático;1110,0.0,0.0
