MUNNOMBRE,PARNOMBRE,TOTALVOTOSVALIDOS,PORCENTAJE
"ALMEIDA;""MOVIMIENTO TODOS SOMOS COLOMBIA """"TSC"""""";""MOVIMIENTO TODOS SOMOS COLOMBIA """"TSC"""""";1","ALMEIDA;""Movimiento Todos Somos Colombia """"Tsc"""""";""Movimiento Todos Somos Colombia """"Tsc"""""";1",0.0,0.0
ALMEIDA;ALBERTO DEVIA ESCOBAR;PARTIDO CONSERVADOR COLOMBIANO;1,ALMEIDA;Alberto Devia Escobar;PARTIDO CONSERVADOR COLOMBIANO;1,0.0,0.0
ALMEIDA;ALEJANDRO CORRALES ESCOBAR;PARTIDO CENTRO DEMOCRATICO;1,ALMEIDA;Alejandro Corrales Escobar;PARTIDO CENTRO DEMOCRATICO;1,0.0,0.0
ALMEIDA;ALFREDO GUILLERMO MOLINA TRIANA;PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U;2,ALMEIDA;Alfredo Guillermo Molina Triana;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;2,0.0,0.0
ALMEIDA;ALVARO URIBE VELEZ;PARTIDO CENTRO DEMOCRATICO;23,ALMEIDA;Alvaro Uribe Velez;PARTIDO CENTRO DEMOCRATICO;23,0.0,0.0
ALMEIDA;AMANDA ROCIO GONZALEZ RODRIGUEZ;PARTIDO CENTRO DEMOCRATICO;12,ALMEIDA;Amanda Rocio Gonzalez Rodriguez;PARTIDO CENTRO DEMOCRATICO;12,0.0,0.0
ALMEIDA;ANA GLORIA CLAVIJO RISUENO;PARTIDO CONSERVADOR COLOMBIANO;1,ALMEIDA;Ana Gloria Clavijo Risueno;PARTIDO CONSERVADOR COLOMBIANO;1,0.0,0.0
ALMEIDA;ANA PAOLA AGUDELO GARCIA;PARTIDO POLITICO MIRA;1,ALMEIDA;Ana Paola Agudelo Garcia;PARTIDO POLITICO MIRA;1,0.0,0.0
ALMEIDA;ANDRES CRISTO BUSTOS;PARTIDO LIBERAL COLOMBIANO;2,ALMEIDA;Andres Cristo Bustos;PARTIDO LIBERAL COLOMBIANO;2,0.0,0.0
ALMEIDA;ANDRES FELIPE GARCIA ZUCCARDI;PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U;2,ALMEIDA;Andres Felipe Garcia Zuccardi;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;2,0.0,0.0
