MUNNOMBRE,PARNOMBRE,TOTALVOTOSVALIDOS,PORCENTAJE
ALMEIDA;ANGEL CUSTODIO SANCHEZ ROA;PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI;43,ALMEIDA;ANGEL CUSTODIO SANCHEZ ROA;PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI;43,0.0,0.0
ALMEIDA;CARLOS HUMBERTO CASTANEDA VARGAS;PARTIDO CAMBIO RADICAL;299,ALMEIDA;CARLOS HUMBERTO CASTAÑEDA VARGAS;PARTIDO CAMBIO RADICAL;299,0.0,0.0
ALMEIDA;NANCY YANETH VACA GUTIERREZ;PARTIDO CENTRO DEMOCRATICO;460,ALMEIDA;NANCY YANETH VACA GUTIERREZ;PARTIDO CENTRO DEMOCRATICO;460,0.0,0.0
ALMEIDA;NELSON MARTIN VELASQUEZ;PARTIDO CONSERVADOR COLOMBIANO;10,ALMEIDA;NELSON MARTIN VELASQUEZ;PARTIDO CONSERVADOR COLOMBIANO;10,0.0,0.0
ALMEIDA;ORLANDO CASTANEDA MONTENEGRO;PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U;575,ALMEIDA;ORLANDO CASTAÑEDA MONTENEGRO;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;575,0.0,0.0
ALMEIDA;OSCAR ABEL CASTANEDA ROMERO;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;21,ALMEIDA;OSCAR ABEL CASTAÑEDA ROMERO;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;21,0.0,0.0
AQUITANIA PUEBLOVIEJO;ALEXANDER RIVEROS PEDRAZA;CONSTRUYENDO FUTURO;2501,AQUITANIA PUEBLOVIEJO;ALEXANDER RIVEROS PEDRAZA;CONSTRUYENDO FUTURO;2501,0.0,0.0
AQUITANIA PUEBLOVIEJO;HECTOR ORLANDO BARRERA CARDENAS;PARTIDO CONSERVADOR COLOMBIANO - ASI;3195,AQUITANIA PUEBLOVIEJO;HECTOR ORLANDO BARRERA CARDENAS;PARTIDO CONSERVADOR COLOMBIANO - ASI;3195,0.0,0.0
AQUITANIA PUEBLOVIEJO;JAVIER ALBEIRO PRECIADO GUTIERREZ;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;203,AQUITANIA PUEBLOVIEJO;JAVIER ALBEIRO PRECIADO GUTIERREZ;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;203,0.0,0.0
AQUITANIA PUEBLOVIEJO;LIBIA ROCIO GARCIA AMAYA;PARTIDO CENTRO DEMOCRATICO;564,AQUITANIA PUEBLOVIEJO;LIBIA ROCIO GARCIA AMAYA;PARTIDO CENTRO DEMOCRATICO;564,0.0,0.0
AQUITANIA PUEBLOVIEJO;OSCAR DARIO HURTADO PEREZ;SOMOS EL CAMBIO;2744,AQUITANIA PUEBLOVIEJO;OSCAR DARIO HURTADO PEREZ;SOMOS EL CAMBIO;2744,0.0,0.0
ARCABUCO;JAIRO RUIZ SALAZAR;ARCOBUCO SOCIAL Y PRODUCTIVO;1136,ARCABUCO;JAIRO RUIZ SALAZAR;ARCOBUCO SOCIAL Y PRODUCTIVO;1136,0.0,0.0
ARCABUCO;JOSE EDUAR MOLINA SUAREZ;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;229,ARCABUCO;JOSE EDUAR MOLINA SUAREZ;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;229,0.0,0.0
ARCABUCO;VIVIANA PATRICIA POVEDA CASTELLANOS;ARCABUCO VERDE Y RENACIENTE;408,ARCABUCO;VIVIANA PATRICIA POVEDA CASTELLANOS;ARCABUCO VERDE Y RENACIENTE;408,0.0,0.0
ARCABUCO;YAMITH RODRIGO RODRIGUEZ LOPEZ;PARTIDO CONSERVADOR COLOMBIANO - CENTRO DEMOCRATICO - POLO DEMOCRATICO;2000,Centro Democrático,0.0,0.0
BELEN;ALBEIRO ARLEY AMADO AMADO;PARTIDO CONSERVADOR COLOMBIANO;271,BELEN;ALBEIRO ARLEY AMADO AMADO;PARTIDO CONSERVADOR COLOMBIANO;271,0.0,0.0
BELEN;CABETO PEREZ DIAZ;PARTIDO LIBERAL COLOMBIANO;1024,BELEN;CABETO PEREZ DIAZ;PARTIDO LIBERAL COLOMBIANO;1024,0.0,0.0
BELEN;JAIME ALONSO AMAYA SILVA;PARTIDO CENTRO DEMOCRATICO;926,BELEN;JAIME ALONSO AMAYA SILVA;PARTIDO CENTRO DEMOCRATICO;926,0.0,0.0
BELEN;JOAQUIN ANTONIO PEREA LARA;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;372,BELEN;JOAQUIN ANTONIO PEREA LARA;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;372,0.0,0.0
BELEN;OSCAR EDUARDO BOADA CASTRO;PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI;2336,BELEN;OSCAR EDUARDO BOADA CASTRO;PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI;2336,0.0,0.0
BERBEO;DANIEL LOPEZ VALLEJO;HECHOS Y NO PALABRAS;643,BERBEO;DANIEL LOPEZ VALLEJO;HECHOS Y NO PALABRAS;643,0.0,0.0
BERBEO;HILDO HERNAN JUEZ VARGAS;TODOS SOMOS BERBEO;498,BERBEO;HILDO HERNAN JUEZ VARGAS;TODOS SOMOS BERBEO;498,0.0,0.0
BETEITIVA;EDWIN RENE PAVA RINCON;PARTIDO CAMBIO RADICAL;866,BETEITIVA;EDWIN RENE PAVA RINCON;PARTIDO CAMBIO RADICAL;866,0.0,0.0
BETEITIVA;ELI ALVAREZ CARDENAS;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;424,BETEITIVA;ELI ALVAREZ CARDENAS;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;424,0.0,0.0
BETEITIVA;JOSE BENIGNO UMANA ROJAS;JUNTOS CONSTRUYAMOS BIENESTAR;260,BETEITIVA;JOSE BENIGNO UMAÑA ROJAS;JUNTOS CONSTRUYAMOS BIENESTAR;260,0.0,0.0
