MUNNOMBRE;PARNOMBRE;VOTOS
ALMEIDA;Colombia Renaciente;1
ALMEIDA;GRAN ALIANZA POR BOYACA;887
ALMEIDA;JUNTOS #ESMOMENTO;415
ALMEIDA;MAIS;20
AQUITANIA PUEBLOVIEJO;Colombia Renaciente;63
AQUITANIA PUEBLOVIEJO;GRAN ALIANZA POR BOYACA;4976
AQUITANIA PUEBLOVIEJO;JUNTOS #ESMOMENTO;2708
AQUITANIA PUEBLOVIEJO;MAIS;418
ARCABUCO;Colombia Renaciente;66
ARCABUCO;GRAN ALIANZA POR BOYACA;2145
ARCABUCO;JUNTOS #ESMOMENTO;1043
ARCABUCO;MAIS;144
BELEN;Colombia Renaciente;106
BELEN;GRAN ALIANZA POR BOYACA;2582
BELEN;JUNTOS #ESMOMENTO;1505
BELEN;MAIS;345
BERBEO;Colombia Renaciente;6
BERBEO;GRAN ALIANZA POR BOYACA;869
BERBEO;JUNTOS #ESMOMENTO;232
BERBEO;MAIS;10
BETEITIVA;Colombia Renaciente;20
BETEITIVA;GRAN ALIANZA POR BOYACA;989
BETEITIVA;JUNTOS #ESMOMENTO;212
BETEITIVA;MAIS;220
BOAVITA;Colombia Renaciente;85
BOAVITA;GRAN ALIANZA POR BOYACA;1881
BOAVITA;JUNTOS #ESMOMENTO;1004
BOAVITA;MAIS;122
BOYACA;Colombia Renaciente;16
BOYACA;GRAN ALIANZA POR BOYACA;1703
BOYACA;JUNTOS #ESMOMENTO;1161
BOYACA;MAIS;175
BRICEÑO;Colombia Renaciente;2
BRICEÑO;GRAN ALIANZA POR BOYACA;636
BRICEÑO;JUNTOS #ESMOMENTO;974
BRICEÑO;MAIS;11
BUENAVISTA;Colombia Renaciente;17
BUENAVISTA;GRAN ALIANZA POR BOYACA;1396
BUENAVISTA;JUNTOS #ESMOMENTO;1933
BUENAVISTA;MAIS;15
BUSBANZA;Colombia Renaciente;8
BUSBANZA;GRAN ALIANZA POR BOYACA;531
BUSBANZA;JUNTOS #ESMOMENTO;192
BUSBANZA;MAIS;5
CALDAS;Colombia Renaciente;12
CALDAS;GRAN ALIANZA POR BOYACA;1168
CALDAS;JUNTOS #ESMOMENTO;845
CALDAS;MAIS;19
CAMPOHERMOSO;Colombia Renaciente;14
CAMPOHERMOSO;GRAN ALIANZA POR BOYACA;974
CAMPOHERMOSO;JUNTOS #ESMOMENTO;699
CAMPOHERMOSO;MAIS;15
CERINZA;Colombia Renaciente;29
CERINZA;GRAN ALIANZA POR BOYACA;1711
CERINZA;JUNTOS #ESMOMENTO;729
CERINZA;MAIS;40
CHINAVITA;Colombia Renaciente;13
CHINAVITA;GRAN ALIANZA POR BOYACA;1230
CHINAVITA;JUNTOS #ESMOMENTO;741
CHINAVITA;MAIS;33
CHIQUINQUIRA;Colombia Renaciente;282
CHIQUINQUIRA;GRAN ALIANZA POR BOYACA;14520
CHIQUINQUIRA;JUNTOS #ESMOMENTO;8382
CHIQUINQUIRA;MAIS;808
CHIQUIZA;Colombia Renaciente;45
CHIQUIZA;GRAN ALIANZA POR BOYACA;3059
CHIQUIZA;JUNTOS #ESMOMENTO;137
CHIQUIZA;MAIS;189
CHISCAS;Colombia Renaciente;175
CHISCAS;GRAN ALIANZA POR BOYACA;1175
CHISCAS;JUNTOS #ESMOMENTO;711
CHISCAS;MAIS;10
CHITA;Colombia Renaciente;23
CHITA;GRAN ALIANZA POR BOYACA;2363
CHITA;JUNTOS #ESMOMENTO;1138
CHITA;MAIS;175
CHITARAQUE;Colombia Renaciente;10
CHITARAQUE;GRAN ALIANZA POR BOYACA;1283
CHITARAQUE;JUNTOS #ESMOMENTO;2119
CHITARAQUE;MAIS;98
CHIVATA;Colombia Renaciente;45
CHIVATA;GRAN ALIANZA POR BOYACA;1223
CHIVATA;JUNTOS #ESMOMENTO;566
CHIVATA;MAIS;215
CHIVOR;Colombia Renaciente;3
CHIVOR;GRAN ALIANZA POR BOYACA;575
CHIVOR;JUNTOS #ESMOMENTO;604
CHIVOR;MAIS;10
CIENEGA;Colombia Renaciente;21
CIENEGA;GRAN ALIANZA POR BOYACA;1650
CIENEGA;JUNTOS #ESMOMENTO;1140
CIENEGA;MAIS;40
COMBITA;Colombia Renaciente;158
COMBITA;GRAN ALIANZA POR BOYACA;3851
COMBITA;JUNTOS #ESMOMENTO;1732
COMBITA;MAIS;646
COPER;Colombia Renaciente;4
COPER;GRAN ALIANZA POR BOYACA;1407
COPER;JUNTOS #ESMOMENTO;635
COPER;MAIS;94
CORRALES;Colombia Renaciente;21
CORRALES;GRAN ALIANZA POR BOYACA;1183
CORRALES;JUNTOS #ESMOMENTO;404
CORRALES;MAIS;23
COVARACHIA;Colombia Renaciente;14
COVARACHIA;GRAN ALIANZA POR BOYACA;1035
COVARACHIA;JUNTOS #ESMOMENTO;879
COVARACHIA;MAIS;72
CUBARA;Colombia Renaciente;55
CUBARA;GRAN ALIANZA POR BOYACA;1578
CUBARA;JUNTOS #ESMOMENTO;623
CUBARA;MAIS;495
CUCAITA;Colombia Renaciente;43
CUCAITA;GRAN ALIANZA POR BOYACA;1701
CUCAITA;JUNTOS #ESMOMENTO;436
CUCAITA;MAIS;337
CUITIVA;Colombia Renaciente;10
CUITIVA;GRAN ALIANZA POR BOYACA;1025
CUITIVA;JUNTOS #ESMOMENTO;231
CUITIVA;MAIS;57
DUITAMA;Colombia Renaciente;1958
