MUNNOMBRE,PARNOMBRE,TOTALVOTOSVALIDOS,PORCENTAJE
DUITAMA;ALBA LUZ AMEZQUITA INFANTE;PARTIDO CAMBIO RADICAL;89,DUITAMA;ALBA LUZ AMEZQUITA INFANTE;PARTIDO CAMBIO RADICAL;89,0.0,0.0
DUITAMA;ALVARO FABIAN MAYORGA GUERRERO;PARTIDO ALIANZA VERDE;491,DUITAMA;ALVARO FABIAN MAYORGA GUERRERO;PARTIDO ALIANZA VERDE;491,0.0,0.0
DUITAMA;ALVARO RODRIGUEZ PRADA;PARTIDO CAMBIO RADICAL;101,DUITAMA;ALVARO RODRIGUEZ PRADA;PARTIDO CAMBIO RADICAL;101,0.0,0.0
DUITAMA;ANA SOFIA SUAREZ REYES;PARTIDO CAMBIO RADICAL;122,DUITAMA;ANA SOFIA SUAREZ REYES;PARTIDO CAMBIO RADICAL;122,0.0,0.0
DUITAMA;ANAYANCY NATIVIDAD CAMARGO MANOSALVA;PARTIDO LIBERAL COLOMBIANO;372,DUITAMA;ANAYANCY NATIVIDAD CAMARGO MANOSALVA;PARTIDO LIBERAL COLOMBIANO;372,0.0,0.0
DUITAMA;ANDRES FELIPE TAMARA GOMEZ;PARTIDO CENTRO DEMOCRATICO;69,DUITAMA;ANDRES FELIPE TAMARA GOMEZ;PARTIDO CENTRO DEMOCRATICO;69,0.0,0.0
DUITAMA;ANGELA MARIA LOAIZA ESCAMILLA;PARTIDO CAMBIO RADICAL;97,DUITAMA;ANGELA MARIA LOAIZA ESCAMILLA;PARTIDO CAMBIO RADICAL;97,0.0,0.0
DUITAMA;CAMILO ANDRES VARGAS ESTUPINAN;PARTIDO ALIANZA VERDE;397,DUITAMA;CAMILO ANDRES VARGAS ESTUPIÑAN;PARTIDO ALIANZA VERDE;397,0.0,0.0
DUITAMA;CESAR HUMBERTO JAIME DIAZ;PARTIDO ALIANZA VERDE;427,DUITAMA;CESAR HUMBERTO JAIME DIAZ;PARTIDO ALIANZA VERDE;427,0.0,0.0
DUITAMA;CRISTIAN CAMILO BARRERA BARBOSA;PARTIDO CAMBIO RADICAL;130,DUITAMA;CRISTIAN CAMILO BARRERA BARBOSA;PARTIDO CAMBIO RADICAL;130,0.0,0.0
