MUNNOMBRE,PARNOMBRE,TOTALVOTOSVALIDOS,PORCENTAJE
ALMEIDA;CAROLINA DEL PILAR RODRIGUEZ CONTRERAS;PACTO HISTORICO;2,ALMEIDA;CAROLINA DEL PILAR RODRIGUEZ CONTRERAS;PACTO HISTÓRICO;2,0.0,0.0
ALMEIDA;CINDY YOHANA BOHORQUEZ GARZON;PARTIDO CONSERVADOR COLOMBIANO;5,ALMEIDA;CINDY YOHANA BOHORQUEZ GARZON;PARTIDO CONSERVADOR COLOMBIANO;5,0.0,0.0
ALMEIDA;CLAUDIA BEATRIZ DUARTE ACOSTA;PARTIDO NUEVO LIBERALISMO;1,ALMEIDA;CLAUDIA BEATRIZ DUARTE ACOSTA;PARTIDO NUEVO LIBERALISMO;1,0.0,0.0
ALMEIDA;COALICION PARTIDOS DE LA U - MIRA - COLOMBIA JUSTA LIBRES - ASI;COALICION PARTIDOS DE LA U - MIRA - COLOMBIA JUSTA LIBRES - ASI;1,Colombia Justa Libres,0.0,0.0
ALMEIDA;DIANA CAROLINA SUAREZ MUNOZ;COALICION PARTIDOS DE LA U - MIRA - COLOMBIA JUSTA LIBRES - ASI;1,Colombia Justa Libres,0.0,0.0
ALMEIDA;EDUAR ALEXIS TRIANA RINCON;PARTIDO CENTRO DEMOCRATICO;7,ALMEIDA;EDUAR ALEXIS TRIANA RINCON;PARTIDO CENTRO DEMOCRÁTICO;7,0.0,0.0
ALMEIDA;FERNANDO RIOS HIDALGO;FERNANDO RIOS HIDALGO;1,ALMEIDA;FERNANDO RÍOS HIDALGO;FERNANDO RÍOS HIDALGO;1,0.0,0.0
ALMEIDA;FUNDACION PARA EL DESARROLLO SOCIAL DE COMUNIDADES NEGRAS;FUNDACION PARA EL DESARROLLO SOCIAL DE COMUNIDADES NEGRAS;1,ALMEIDA;FUNDACIÓN PARA EL DESARROLLO SOCIAL DE COMUNIDADES  NEGRAS;FUNDACIÓN PARA EL DESARROLLO SOCIAL DE COMUNIDADES NEGRAS;1,0.0,0.0
ALMEIDA;GERMAN TIBERIO OJEDA PEDRAZA;PARTIDO ALIANZA VERDE;7,ALMEIDA;GERMAN TIBERIO OJEDA PEDRAZA;PARTIDO ALIANZA VERDE;7,0.0,0.0
ALMEIDA;GUILLERMO LEONARDO SANCHEZ SANCHEZ;PARTIDO CENTRO DEMOCRATICO;3,ALMEIDA;GUILLERMO LEONARDO SANCHEZ SANCHEZ;PARTIDO CENTRO DEMOCRÁTICO;3,0.0,0.0
