MUNNOMBRE,PARNOMBRE,TOTALVOTOSVALIDOS,PORCENTAJE
ALMEIDA;BENEDICTA CACERES MEDINA;PARTIDO LIBERAL COLOMBIANO;34,ALMEIDA;BENEDICTA CACERES MEDINA;PARTIDO LIBERAL COLOMBIANO;34,0.0,0.0
ALMEIDA;CARLOS ALBERTO ACEVEDO VELASQUEZ;PARTIDO ALIANZA VERDE;497,ALMEIDA;CARLOS ALBERTO ACEVEDO VELASQUEZ;PARTIDO ALIANZA VERDE;497,0.0,0.0
ALMEIDA;CARLOS ARTURO MARTINEZ PERILLA;PARTIDO CAMBIO RADICAL;310,ALMEIDA;CARLOS ARTURO MARTINEZ PERILLA;PARTIDO CAMBIO RADICAL;310,0.0,0.0
ALMEIDA;CARLOS HUMBERTO CASTANEDA VARGAS;NUEVA FUERZA DEMOCRATICA;149,ALMEIDA;CARLOS HUMBERTO CASTAÑEDA VARGAS;NUEVA FUERZA DEMOCRÁTICA;149,0.0,0.0
ALMEIDA;NANCY YANETH VACA GUTIERREZ;PARTIDO CONSERVADOR COLOMBIANO;545,ALMEIDA;NANCY YANETH VACA GUTIERREZ;PARTIDO CONSERVADOR COLOMBIANO;545,0.0,0.0
ALMEIDA;VOTOS EN BLANCO;CANDIDATOS TOTALES;7,ALMEIDA;VOTOS EN BLANCO;CANDIDATOS TOTALES;7,0.0,0.0
ALMEIDA;VOTOS NO MARCADOS;CANDIDATOS TOTALES;17,ALMEIDA;VOTOS NO MARCADOS;CANDIDATOS TOTALES;17,0.0,0.0
ALMEIDA;VOTOS NULOS;CANDIDATOS TOTALES;20,ALMEIDA;VOTOS NULOS;CANDIDATOS TOTALES;20,0.0,0.0
AQUITANIA (PUEBLOVIEJO);ANDRES HUMBERTO MESA CARDOZO;PARTIDO POLITICO DIGNIDAD & COMPROMISO;54,AQUITANIA (PUEBLOVIEJO);ANDRES HUMBERTO MESA CARDOZO;PARTIDO POLÍTICO DIGNIDAD & COMPROMISO;54,0.0,0.0
AQUITANIA (PUEBLOVIEJO);FELIPE ABSALON CARDOZO MONTANA;COALICION FIRMES POR AQUITANIA;4393,AQUITANIA (PUEBLOVIEJO);FELIPE ABSALON CARDOZO MONTAÑA;COALICION FIRMES POR AQUITANIA;4393,0.0,0.0
AQUITANIA (PUEBLOVIEJO);OSCAR DARIO HURTADO PEREZ;PARTIDO CONSERVADOR COLOMBIANO;5147,AQUITANIA (PUEBLOVIEJO);OSCAR DARIO HURTADO PEREZ;PARTIDO CONSERVADOR COLOMBIANO;5147,0.0,0.0
AQUITANIA (PUEBLOVIEJO);SEGUNDO GILBERTO GUTIERREZ PEREZ;MOVIMIENTO POLITICO FUERZA CIUDADANA;70,AQUITANIA (PUEBLOVIEJO);SEGUNDO GILBERTO GUTIERREZ PEREZ;MOVIMIENTO POLITICO FUERZA CIUDADANA;70,0.0,0.0
AQUITANIA (PUEBLOVIEJO);VOTOS EN BLANCO;CANDIDATOS TOTALES;70,AQUITANIA (PUEBLOVIEJO);VOTOS EN BLANCO;CANDIDATOS TOTALES;70,0.0,0.0
AQUITANIA (PUEBLOVIEJO);VOTOS NO MARCADOS;CANDIDATOS TOTALES;91,AQUITANIA (PUEBLOVIEJO);VOTOS NO MARCADOS;CANDIDATOS TOTALES;91,0.0,0.0
AQUITANIA (PUEBLOVIEJO);VOTOS NULOS;CANDIDATOS TOTALES;94,AQUITANIA (PUEBLOVIEJO);VOTOS NULOS;CANDIDATOS TOTALES;94,0.0,0.0
ARCABUCO;CAMILO ANDRES SILVA MOTTA;COALICION UNIDOS ARCABUCO PROGRESA;1187,ARCABUCO;CAMILO ANDRES SILVA MOTTA;COALICION UNIDOS ARCABUCO PROGRESA;1187,0.0,0.0
ARCABUCO;CARLOS DAVID ZARATE BAEZ;POR LA DIGNIDAD DE ARCABUCO;1583,ARCABUCO;CARLOS DAVID ZARATE BAEZ;POR LA DIGNIDAD DE ARCABUCO;1583,0.0,0.0
ARCABUCO;REMBERG FERNANDO SAAVEDRA CASTELLANOS;ARCABUCO VERDE UNIDO POR LA GENTE;1202,ARCABUCO;REMBERG FERNANDO SAAVEDRA CASTELLANOS;ARCABUCO VERDE UNIDO POR LA GENTE;1202,0.0,0.0
ARCABUCO;VOTOS EN BLANCO;CANDIDATOS TOTALES;39,ARCABUCO;VOTOS EN BLANCO;CANDIDATOS TOTALES;39,0.0,0.0
ARCABUCO;VOTOS NO MARCADOS;CANDIDATOS TOTALES;11,ARCABUCO;VOTOS NO MARCADOS;CANDIDATOS TOTALES;11,0.0,0.0
ARCABUCO;VOTOS NULOS;CANDIDATOS TOTALES;21,ARCABUCO;VOTOS NULOS;CANDIDATOS TOTALES;21,0.0,0.0
BELEN;BLANCA LUCILA LOPEZ MORA;PARTIDO VERDE OXIGENO;121,BELEN;BLANCA LUCILA LOPEZ MORA;PARTIDO VERDE OXÍGENO;121,0.0,0.0
BELEN;CABETO PEREZ DIAZ;PARTIDO LIBERAL COLOMBIANO;2250,BELEN;CABETO PEREZ DIAZ;PARTIDO LIBERAL COLOMBIANO;2250,0.0,0.0
BELEN;HENRY YOBANY BAUTISTA ALVAREZ;INDEPENDIENTES;8,BELEN;HENRY YOBANY BAUTISTA ALVAREZ;INDEPENDIENTES;8,0.0,0.0
BELEN;JORGE ANDRES PARRA PARRA;PARTIDO CONSERVADOR COLOMBIANO;936,BELEN;JORGE ANDRES PARRA PARRA;PARTIDO CONSERVADOR COLOMBIANO;936,0.0,0.0
BELEN;VOTOS EN BLANCO;CANDIDATOS TOTALES;47,BELEN;VOTOS EN BLANCO;CANDIDATOS TOTALES;47,0.0,0.0
BELEN;VOTOS NO MARCADOS;CANDIDATOS TOTALES;35,BELEN;VOTOS NO MARCADOS;CANDIDATOS TOTALES;35,0.0,0.0
BELEN;VOTOS NULOS;CANDIDATOS TOTALES;40,BELEN;VOTOS NULOS;CANDIDATOS TOTALES;40,0.0,0.0
"BERBEO;CARLOS ALBERTO GUZMAN MENDOZA;""PARTIDO ALIANZA SOCIAL INDEPENDIENTE """"ASI"""""";26","BERBEO;CARLOS ALBERTO GUZMAN MENDOZA;""PARTIDO ALIANZA SOCIAL INDEPENDIENTE """"ASI"""""";26",0.0,0.0
BERBEO;ELMER YESID GAMEZ ALFONSO;BERBEO A PURO CORAZON;480,BERBEO;ELMER YESID GAMEZ ALFONSO;BERBEO A PURO CORAZON;480,0.0,0.0
BERBEO;SEBASTIAN JUEZ ARIAS;PARTIDO LIBERAL COLOMBIANO;729,BERBEO;SEBASTIAN JUEZ ARIAS;PARTIDO LIBERAL COLOMBIANO;729,0.0,0.0
BERBEO;VOTOS EN BLANCO;CANDIDATOS TOTALES;7,BERBEO;VOTOS EN BLANCO;CANDIDATOS TOTALES;7,0.0,0.0
BERBEO;VOTOS NO MARCADOS;CANDIDATOS TOTALES;7,BERBEO;VOTOS NO MARCADOS;CANDIDATOS TOTALES;7,0.0,0.0
BERBEO;VOTOS NULOS;CANDIDATOS TOTALES;6,BERBEO;VOTOS NULOS;CANDIDATOS TOTALES;6,0.0,0.0
"BETEITIVA;ELI ALVAREZ CARDENAS;""MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL """"MAIS"""""";94","BETEITIVA;ELI ALVAREZ CARDENAS;""MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL """"MAIS"""""";94",0.0,0.0
BETEITIVA;GERARDO SALAMANCA RINCON;PARTIDO LIBERAL COLOMBIANO;602,BETEITIVA;GERARDO SALAMANCA RINCON;PARTIDO LIBERAL COLOMBIANO;602,0.0,0.0
BETEITIVA;NELSON YECID SILVA DAZA;PARTIDO CAMBIO RADICAL;251,BETEITIVA;NELSON YECID SILVA DAZA;PARTIDO CAMBIO RADICAL;251,0.0,0.0
BETEITIVA;RICARDO CRISTANCHO FERNANDEZ;PARTIDO ALIANZA VERDE;686,BETEITIVA;RICARDO CRISTANCHO FERNANDEZ;PARTIDO ALIANZA VERDE;686,0.0,0.0
BETEITIVA;VOTOS EN BLANCO;CANDIDATOS TOTALES;18,BETEITIVA;VOTOS EN BLANCO;CANDIDATOS TOTALES;18,0.0,0.0
BETEITIVA;VOTOS NO MARCADOS;CANDIDATOS TOTALES;14,BETEITIVA;VOTOS NO MARCADOS;CANDIDATOS TOTALES;14,0.0,0.0
BETEITIVA;VOTOS NULOS;CANDIDATOS TOTALES;6,BETEITIVA;VOTOS NULOS;CANDIDATOS TOTALES;6,0.0,0.0
BOAVITA;ALBERTO SANDOVAL VALCARCEL;UNIDOS POR EL DESARROLLO DE BOAVITA;1587,BOAVITA;ALBERTO SANDOVAL VALCARCEL;UNIDOS POR EL DESARROLLO DE BOAVITA;1587,0.0,0.0
BOAVITA;DAVID RICARDO GAYON MUNOZ;PARTIDO CONSERVADOR COLOMBIANO;825,BOAVITA;DAVID RICARDO GAYON MUÑOZ;PARTIDO CONSERVADOR COLOMBIANO;825,0.0,0.0
BOAVITA;GABRIEL HERNANDO CORREA;PARTIDO DE LA UNION POR LA GENTE - PARTIDO DE LA U;26,BOAVITA;GABRIEL HERNANDO CORREA;PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U;26,0.0,0.0
BOAVITA;GABRIEL HERNANDO ELIZALDE ARAQUE;PARTIDO CENTRO DEMOCRATICO;75,BOAVITA;GABRIEL HERNANDO ELIZALDE ARAQUE;PARTIDO CENTRO DEMOCRÁTICO;75,0.0,0.0
BOAVITA;GERMAN SUAREZ BERNAL;RENACER;57,BOAVITA;GERMAN SUAREZ BERNAL;RENACER;57,0.0,0.0
BOAVITA;JUAN CARLOS SANCHEZ SUAREZ;MOVIMIENTO SALVACION NACIONAL;60,BOAVITA;JUAN CARLOS SANCHEZ SUAREZ;MOVIMIENTO SALVACIÓN NACIONAL;60,0.0,0.0
BOAVITA;QUEIPO ALEXANDER CORREA CORREA;AGRUPACION POLITICA EN MARCHA;614,BOAVITA;QUEIPO ALEXANDER CORREA CORREA;AGRUPACIÓN POLÍTICA EN MARCHA;614,0.0,0.0
BOAVITA;VOTOS EN BLANCO;CANDIDATOS TOTALES;32,BOAVITA;VOTOS EN BLANCO;CANDIDATOS TOTALES;32,0.0,0.0
BOAVITA;VOTOS NO MARCADOS;CANDIDATOS TOTALES;29,BOAVITA;VOTOS NO MARCADOS;CANDIDATOS TOTALES;29,0.0,0.0
BOAVITA;VOTOS NULOS;CANDIDATOS TOTALES;20,BOAVITA;VOTOS NULOS;CANDIDATOS TOTALES;20,0.0,0.0
BOYACA;EZEQUIEL GUERRA PARADA;UNIDOS PARA MARCAR LA DIFERENCIA POR BOYACA;1581,BOYACA;EZEQUIEL GUERRA PARADA;UNIDOS PARA MARCAR LA DIFERENCIA POR BOYACA;1581,0.0,0.0
BOYACA;OLGA LUCIA CRUZ ARCOS;INDEPENDIENTES;307,BOYACA;OLGA LUCIA CRUZ ARCOS;INDEPENDIENTES;307,0.0,0.0
BOYACA;RAFAEL ANTONIO SORA CAMARGO;JUNTOS POR EL FUTURO DE BOYACA;1830,BOYACA;RAFAEL ANTONIO SORA CAMARGO;JUNTOS POR EL FUTURO DE BOYACA;1830,0.0,0.0
BOYACA;VOTOS EN BLANCO;CANDIDATOS TOTALES;15,BOYACA;VOTOS EN BLANCO;CANDIDATOS TOTALES;15,0.0,0.0
BOYACA;VOTOS NO MARCADOS;CANDIDATOS TOTALES;16,BOYACA;VOTOS NO MARCADOS;CANDIDATOS TOTALES;16,0.0,0.0
BOYACA;VOTOS NULOS;CANDIDATOS TOTALES;17,BOYACA;VOTOS NULOS;CANDIDATOS TOTALES;17,0.0,0.0
BRICENO;ISEL ORDONEZ SANCHEZ;COMPROMETIDOS POR BRICENO;998,BRICEÑO;ISEL ORDOÑEZ SANCHEZ;COMPROMETIDOS POR BRICEÑO;998,0.0,0.0
BRICENO;PEDRONEL VILLAMIL CASTRO;TODOS POR BRICENO;1007,BRICEÑO;PEDRONEL VILLAMIL CASTRO;TODOS POR BRICEÑO;1007,0.0,0.0
BRICENO;VOTOS EN BLANCO;CANDIDATOS TOTALES;6,BRICEÑO;VOTOS EN BLANCO;CANDIDATOS TOTALES;6,0.0,0.0
BRICENO;VOTOS NO MARCADOS;CANDIDATOS TOTALES;21,BRICEÑO;VOTOS NO MARCADOS;CANDIDATOS TOTALES;21,0.0,0.0
BRICENO;VOTOS NULOS;CANDIDATOS TOTALES;8,BRICEÑO;VOTOS NULOS;CANDIDATOS TOTALES;8,0.0,0.0
BUENAVISTA;CESAR MAURICIO BRICENO GONZALEZ;PARTIDO POLITICO CREEMOS;639,BUENAVISTA;CESAR MAURICIO BRICEÑO GONZALEZ;PARTIDO POLÍTICO CREEMOS;639,0.0,0.0
BUENAVISTA;EDWIN HARVEY ESPITIA LARA;PARTIDO DE LA UNION POR LA GENTE - PARTIDO DE LA U;1502,BUENAVISTA;EDWIN HARVEY ESPITIA LARA;PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U;1502,0.0,0.0
BUENAVISTA;ELKIN FABIAN ALARCON PINILLA;SUMATE AL CAMBIO;892,BUENAVISTA;ELKIN FABIAN ALARCON PINILLA;SUMATE AL CAMBIO;892,0.0,0.0
BUENAVISTA;OVIDIO PARRA PENA;PARTIDO CAMBIO RADICAL;783,BUENAVISTA;OVIDIO PARRA PEÑA;PARTIDO CAMBIO RADICAL;783,0.0,0.0
BUENAVISTA;VOTOS EN BLANCO;CANDIDATOS TOTALES;8,BUENAVISTA;VOTOS EN BLANCO;CANDIDATOS TOTALES;8,0.0,0.0
