MUNNOMBRE,PARNOMBRE,TOTALVOTOSVALIDOS,PORCENTAJE
ALMEIDA;ANDERSON JOAQUIN SANCHEZ RUIZ;PARTIDO LIBERAL COLOMBIANO;25,ALMEIDA;ANDERSON JOAQUIN SANCHEZ RUIZ;PARTIDO LIBERAL COLOMBIANO;25,0.0,0.0
ALMEIDA;ANGELA PATRICIA AVILA HAMON;PARTIDO ALIANZA VERDE;8,ALMEIDA;ANGELA PATRICIA AVILA HAMON;PARTIDO ALIANZA VERDE;8,0.0,0.0
ALMEIDA;BLADIMIR RODRIGUEZ HERNANDEZ;PARTIDO DE LA U-PARTIDO EN MARCHA-PARTIDO POLITICO MIRA;4,ALMEIDA;BLADIMIR RODRIGUEZ HERNANDEZ;PARTIDO DE LA U-PARTIDO EN MARCHA-PARTIDO POLÍTICO MIRA;4,0.0,0.0
ALMEIDA;BLANCA ELIZABETH TORRES CORREDOR;PARTIDO LIBERAL COLOMBIANO;1,ALMEIDA;BLANCA ELIZABETH TORRES CORREDOR;PARTIDO LIBERAL COLOMBIANO;1,0.0,0.0
ALMEIDA;BOYACA POTENCIA DE VIDA;BOYACA POTENCIA DE VIDA;4,ALMEIDA;BOYACÁ POTENCIA DE VIDA;BOYACÁ POTENCIA DE VIDA;4,0.0,0.0
ALMEIDA;CAMILO FERNANDO CAICEDO FONSECA;PARTIDO LIBERAL COLOMBIANO;1,ALMEIDA;CAMILO FERNANDO CAICEDO FONSECA;PARTIDO LIBERAL COLOMBIANO;1,0.0,0.0
ALMEIDA;CARLOS ALBERTO MOLINA CASTANEDA;PARTIDO CONSERVADOR COLOMBIANO Y EL PARTIDO ASI;3,ALMEIDA;CARLOS ALBERTO MOLINA CASTAÑEDA;PARTIDO CONSERVADOR COLOMBIANO Y EL PARTIDO ASI;3,0.0,0.0
ALMEIDA;CARLOS EDUARDO VEGA ALVAREZ;BOYACA POTENCIA DE VIDA;1,ALMEIDA;CARLOS EDUARDO VEGA ALVAREZ;BOYACÁ POTENCIA DE VIDA;1,0.0,0.0
ALMEIDA;CARLOS ERNESTO TORRES AGUIRRE;PARTIDO CONSERVADOR COLOMBIANO Y EL PARTIDO ASI;1,ALMEIDA;CARLOS ERNESTO TORRES AGUIRRE;PARTIDO CONSERVADOR COLOMBIANO Y EL PARTIDO ASI;1,0.0,0.0
ALMEIDA;CATHERINE DANIELA ROBLES ALBA;PARTIDO CONSERVADOR COLOMBIANO Y EL PARTIDO ASI;5,ALMEIDA;CATHERINE DANIELA ROBLES ALBA;PARTIDO CONSERVADOR COLOMBIANO Y EL PARTIDO ASI;5,0.0,0.0
ALMEIDA;CHRISTIAN GABRIEL ALBARRACIN VASQUEZ;PARTIDO LIBERAL COLOMBIANO;1,ALMEIDA;CHRISTIAN GABRIEL ALBARRACIN VASQUEZ;PARTIDO LIBERAL COLOMBIANO;1,0.0,0.0
ALMEIDA;CLAUDIA YANNETH GARZON CAMARGO;PARTIDO ALIANZA VERDE;2,ALMEIDA;CLAUDIA YANNETH GARZON CAMARGO;PARTIDO ALIANZA VERDE;2,0.0,0.0
ALMEIDA;CONCHA JAEL VARGAS SAAVEDRA;PARTIDO CONSERVADOR COLOMBIANO Y EL PARTIDO ASI;10,ALMEIDA;CONCHA JAEL VARGAS SAAVEDRA;PARTIDO CONSERVADOR COLOMBIANO Y EL PARTIDO ASI;10,0.0,0.0
ALMEIDA;DAIRO RUBEN HERRERA PEREZ;PARTIDO LIBERAL COLOMBIANO;5,ALMEIDA;DAIRO RUBEN HERRERA PEREZ;PARTIDO LIBERAL COLOMBIANO;5,0.0,0.0
ALMEIDA;DANIEL FERNANDO SANABRIA ROJAS;PARTIDO LIBERAL COLOMBIANO;1,ALMEIDA;DANIEL FERNANDO SANABRIA ROJAS;PARTIDO LIBERAL COLOMBIANO;1,0.0,0.0
ALMEIDA;DELCI DEL CARMEN URBANO;PARTIDO CENTRO DEMOCRATICO;7,ALMEIDA;DELCI DEL CARMEN URBANO;PARTIDO CENTRO DEMOCRÁTICO;7,0.0,0.0
ALMEIDA;DELMAR LEONARDO ROA PATINO;PARTIDO CONSERVADOR COLOMBIANO Y EL PARTIDO ASI;197,ALMEIDA;DELMAR LEONARDO ROA PATIÑO;PARTIDO CONSERVADOR COLOMBIANO Y EL PARTIDO ASI;197,0.0,0.0
ALMEIDA;DIEGO ARMANDO LOPEZ WANUMEN;PARTIDO CENTRO DEMOCRATICO;1,ALMEIDA;DIEGO ARMANDO LOPEZ WANUMEN;PARTIDO CENTRO DEMOCRÁTICO;1,0.0,0.0
ALMEIDA;DORA INES VARGAS BENITEZ;PARTIDO DE LA U-PARTIDO EN MARCHA-PARTIDO POLITICO MIRA;2,ALMEIDA;DORA INES VARGAS BENITEZ;PARTIDO DE LA U-PARTIDO EN MARCHA-PARTIDO POLÍTICO MIRA;2,0.0,0.0
ALMEIDA;DUMAR ALFONSO PAEZ CASTILLO;PARTIDO CAMBIO RADICAL;3,ALMEIDA;DUMAR ALFONSO PAEZ CASTILLO;PARTIDO CAMBIO RADICAL;3,0.0,0.0
ALMEIDA;DUVAN STEEVEN MESA SAENZ;PARTIDO LIBERAL COLOMBIANO;1,ALMEIDA;DUVAN STEEVEN MESA SAENZ;PARTIDO LIBERAL COLOMBIANO;1,0.0,0.0
ALMEIDA;EDWIN FABIAN ORDUZ DIAZ;BOYACA POTENCIA DE VIDA;2,ALMEIDA;EDWIN FABIAN ORDUZ DIAZ;BOYACÁ POTENCIA DE VIDA;2,0.0,0.0
ALMEIDA;EFRAIN ANDRES MOJICA MUNOZ;PARTIDO CONSERVADOR COLOMBIANO Y EL PARTIDO ASI;1,ALMEIDA;EFRAIN ANDRES MOJICA MUÑOZ;PARTIDO CONSERVADOR COLOMBIANO Y EL PARTIDO ASI;1,0.0,0.0
ALMEIDA;FABIAN CAMILO HERNANDEZ BERNAL;PARTIDO CENTRO DEMOCRATICO;19,ALMEIDA;FABIAN CAMILO HERNANDEZ BERNAL;PARTIDO CENTRO DEMOCRÁTICO;19,0.0,0.0
ALMEIDA;FABIAN FERNANDO AVILA RUIZ;PARTIDO CAMBIO RADICAL;1,ALMEIDA;FABIAN FERNANDO AVILA RUIZ;PARTIDO CAMBIO RADICAL;1,0.0,0.0
ALMEIDA;FABIO NELSON GONZALEZ SOTELO;PARTIDO CONSERVADOR COLOMBIANO Y EL PARTIDO ASI;1,ALMEIDA;FABIO NELSON GONZALEZ SOTELO;PARTIDO CONSERVADOR COLOMBIANO Y EL PARTIDO ASI;1,0.0,0.0
ALMEIDA;FERNANDO RAFAEL JESUS YANCES PEREZ;BOYACA POTENCIA DE VIDA;1,ALMEIDA;FERNANDO RAFAEL JESUS YANCES PEREZ;BOYACÁ POTENCIA DE VIDA;1,0.0,0.0
ALMEIDA;GUSTAVO EDUARDO CASTANEDA NINO;PARTIDO ALIANZA VERDE;3,ALMEIDA;GUSTAVO EDUARDO CASTAÑEDA NIÑO;PARTIDO ALIANZA VERDE;3,0.0,0.0
ALMEIDA;GUSTAVO HELADIO TORRES SANCHEZ;BOYACA POTENCIA DE VIDA;2,ALMEIDA;GUSTAVO HELADIO TORRES SANCHEZ;BOYACÁ POTENCIA DE VIDA;2,0.0,0.0
ALMEIDA;HECTOR EDUARDO LESMES MARTINEZ;PARTIDO DE LA U-PARTIDO EN MARCHA-PARTIDO POLITICO MIRA;33,ALMEIDA;HECTOR EDUARDO LESMES MARTINEZ;PARTIDO DE LA U-PARTIDO EN MARCHA-PARTIDO POLÍTICO MIRA;33,0.0,0.0
ALMEIDA;HECTOR JOSUE CAMACHO ACOSTA;PARTIDO CENTRO DEMOCRATICO;6,ALMEIDA;HECTOR JOSUE CAMACHO ACOSTA;PARTIDO CENTRO DEMOCRÁTICO;6,0.0,0.0
ALMEIDA;HECTOR MATEO CENTENO AGUDELO;PARTIDO ALIANZA VERDE;5,ALMEIDA;HECTOR MATEO CENTENO AGUDELO;PARTIDO ALIANZA VERDE;5,0.0,0.0
ALMEIDA;HECTOR ZAMIR CABANZO BUITRAGO;PARTIDO DE LA U-PARTIDO EN MARCHA-PARTIDO POLITICO MIRA;7,ALMEIDA;HECTOR ZAMIR CABANZO BUITRAGO;PARTIDO DE LA U-PARTIDO EN MARCHA-PARTIDO POLÍTICO MIRA;7,0.0,0.0
ALMEIDA;HELVER FRANCISCO CIPAGAUTA TUTA;BOYACA POTENCIA DE VIDA;1,ALMEIDA;HELVER FRANCISCO CIPAGAUTA TUTA;BOYACÁ POTENCIA DE VIDA;1,0.0,0.0
ALMEIDA;ISABEL ALFONSO COMBITA;BOYACA POTENCIA DE VIDA;2,ALMEIDA;ISABEL ALFONSO COMBITA;BOYACÁ POTENCIA DE VIDA;2,0.0,0.0
ALMEIDA;IVAN FELIPE RAMIREZ BARRERA;PARTIDO ALIANZA VERDE;7,ALMEIDA;IVAN FELIPE RAMIREZ BARRERA;PARTIDO ALIANZA VERDE;7,0.0,0.0
ALMEIDA;IVAN RICARDO PIRACHICAN BERNAL;PARTIDO CONSERVADOR COLOMBIANO Y EL PARTIDO ASI;1,ALMEIDA;IVAN RICARDO PIRACHICAN BERNAL;PARTIDO CONSERVADOR COLOMBIANO Y EL PARTIDO ASI;1,0.0,0.0
ALMEIDA;JAIME EFRAIN MEDINA RAMIREZ;PARTIDO CAMBIO RADICAL;1,ALMEIDA;JAIME EFRAIN MEDINA RAMIREZ;PARTIDO CAMBIO RADICAL;1,0.0,0.0
ALMEIDA;JAIRO PACHECO SUAREZ;PARTIDO LIBERAL COLOMBIANO;12,ALMEIDA;JAIRO PACHECO SUAREZ;PARTIDO LIBERAL COLOMBIANO;12,0.0,0.0
ALMEIDA;JHON ALEXANDER LOPEZ MENDOZA;PARTIDO ALIANZA VERDE;289,ALMEIDA;JHON ALEXANDER LOPEZ MENDOZA;PARTIDO ALIANZA VERDE;289,0.0,0.0
ALMEIDA;JONATHAN JAVIER COMBA GUTIERREZ;BOYACA POTENCIA DE VIDA;1,ALMEIDA;JONATHAN JAVIER COMBA GUTIERREZ;BOYACÁ POTENCIA DE VIDA;1,0.0,0.0
