MUNNOMBRE,PARNOMBRE,TOTALVOTOSVALIDOS,PORCENTAJE
"ALMEIDA;""MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL """"MAIS"""""";""MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL """"MAIS"""""";1","ALMEIDA;""MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL """"MAIS"""""";""MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL """"MAIS"""""";1",0.0,0.0
ALMEIDA;AGUSTIN PENA;PARTIDO DE LA UNION POR LA GENTE - PARTIDO DE LA U;14,ALMEIDA;AGUSTIN PEÑA;PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U;14,0.0,0.0
ALMEIDA;ALBA INES SANCHEZ ALFONSO;PARTIDO CENTRO DEMOCRATICO;25,ALMEIDA;ALBA INES SANCHEZ ALFONSO;PARTIDO CENTRO DEMOCRÁTICO;25,0.0,0.0
ALMEIDA;ALBA LUCIA MORENO LUGO;PARTIDO DE LA UNION POR LA GENTE - PARTIDO DE LA U;27,ALMEIDA;ALBA LUCIA MORENO LUGO;PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U;27,0.0,0.0
ALMEIDA;ANA UBALDINA BOHORQUEZ BOHORQUEZ;PARTIDO CENTRO DEMOCRATICO;12,ALMEIDA;ANA UBALDINA BOHORQUEZ BOHORQUEZ;PARTIDO CENTRO DEMOCRÁTICO;12,0.0,0.0
ALMEIDA;ANDERSSON EFRAIN DIAZ ALFONSO;PARTIDO LIBERAL COLOMBIANO;3,ALMEIDA;ANDERSSON EFRAIN DIAZ ALFONSO;PARTIDO LIBERAL COLOMBIANO;3,0.0,0.0
ALMEIDA;ANGEL CUSTODIO SANCHEZ ROA;PARTIDO ALIANZA VERDE;35,ALMEIDA;ANGEL CUSTODIO SANCHEZ ROA;PARTIDO ALIANZA VERDE;35,0.0,0.0
ALMEIDA;ANGELA JOHANNA DIAZ ALFONSO;PARTIDO ALIANZA VERDE;71,ALMEIDA;ANGELA JOHANNA DIAZ ALFONSO;PARTIDO ALIANZA VERDE;71,0.0,0.0
ALMEIDA;ANGIE LORENA MONDRAGON MONDRAGON;PARTIDO CAMBIO RADICAL;23,ALMEIDA;ANGIE LORENA MONDRAGON MONDRAGON;PARTIDO CAMBIO RADICAL;23,0.0,0.0
ALMEIDA;AURELL DUVAN MOLINA GONZALEZ;PARTIDO CENTRO DEMOCRATICO;20,ALMEIDA;AURELL DUVAN MOLINA GONZALEZ;PARTIDO CENTRO DEMOCRÁTICO;20,0.0,0.0
"ALMEIDA;BRAYAN FERNEY MONDRAGON MONDRAGON;""MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL """"MAIS"""""";2","ALMEIDA;BRAYAN FERNEY MONDRAGON MONDRAGON;""MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL """"MAIS"""""";2",0.0,0.0
ALMEIDA;CEBRIAN ESTEBAN PINTO SEGURA;PARTIDO ALIANZA VERDE;53,ALMEIDA;CEBRIAN ESTEBAN PINTO SEGURA;PARTIDO ALIANZA VERDE;53,0.0,0.0
ALMEIDA;CLAUDIA MERCED RODRIGUEZ OLIVEROS;PARTIDO CONSERVADOR COLOMBIANO;64,ALMEIDA;CLAUDIA MERCED RODRIGUEZ OLIVEROS;PARTIDO CONSERVADOR COLOMBIANO;64,0.0,0.0
ALMEIDA;DEISI EDITH AVILA MONROY;PARTIDO LIBERAL COLOMBIANO;7,ALMEIDA;DEISI EDITH AVILA MONROY;PARTIDO LIBERAL COLOMBIANO;7,0.0,0.0
ALMEIDA;DIEGO ALEXANDRO GUTIERREZ RUIZ;PARTIDO DE LA UNION POR LA GENTE - PARTIDO DE LA U;16,ALMEIDA;DIEGO ALEXANDRO GUTIERREZ RUIZ;PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U;16,0.0,0.0
ALMEIDA;FANNY RAQUEL AVILA VALLEJO;PARTIDO CONSERVADOR COLOMBIANO;75,ALMEIDA;FANNY RAQUEL AVILA VALLEJO;PARTIDO CONSERVADOR COLOMBIANO;75,0.0,0.0
ALMEIDA;FRAIVER HERNANDO CALDERON PERILLA;PARTIDO DE LA UNION POR LA GENTE - PARTIDO DE LA U;53,ALMEIDA;FRAIVER HERNANDO CALDERON PERILLA;PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U;53,0.0,0.0
ALMEIDA;FREDDY OSWALDO CONTRERAS VACA;PARTIDO LIBERAL COLOMBIANO;7,ALMEIDA;FREDDY OSWALDO CONTRERAS VACA;PARTIDO LIBERAL COLOMBIANO;7,0.0,0.0
ALMEIDA;FREDY ALEXANDER MORALES TOLOZA;PARTIDO CONSERVADOR COLOMBIANO;41,ALMEIDA;FREDY ALEXANDER MORALES TOLOZA;PARTIDO CONSERVADOR COLOMBIANO;41,0.0,0.0
ALMEIDA;FREDY CASTILLO BOHORQUEZ;PARTIDO CENTRO DEMOCRATICO;1,ALMEIDA;FREDY CASTILLO BOHORQUEZ;PARTIDO CENTRO DEMOCRÁTICO;1,0.0,0.0
ALMEIDA;FREDY YESID ROMERO MONTENEGRO;PARTIDO CENTRO DEMOCRATICO;34,ALMEIDA;FREDY YESID ROMERO MONTENEGRO;PARTIDO CENTRO DEMOCRÁTICO;34,0.0,0.0
ALMEIDA;GUILLERMO CHAVARRO TELLEZ;PARTIDO CENTRO DEMOCRATICO;19,ALMEIDA;GUILLERMO CHAVARRO TELLEZ;PARTIDO CENTRO DEMOCRÁTICO;19,0.0,0.0
ALMEIDA;JAIRO ELIECER GONZALEZ ALGARRA;PARTIDO DE LA UNION POR LA GENTE - PARTIDO DE LA U;31,ALMEIDA;JAIRO ELIECER GONZALEZ ALGARRA;PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U;31,0.0,0.0
ALMEIDA;JEFFER ARIEL BARRERA DAZA;PARTIDO LIBERAL COLOMBIANO;12,ALMEIDA;JEFFER ARIEL BARRERA DAZA;PARTIDO LIBERAL COLOMBIANO;12,0.0,0.0
"ALMEIDA;JEISON STID LESMES MONTENEGRO;""MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL """"MAIS"""""";28","ALMEIDA;JEISON STID LESMES MONTENEGRO;""MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL """"MAIS"""""";28",0.0,0.0
ALMEIDA;JHONNY ALEJANDRO RUIZ DAZA;NUEVA FUERZA DEMOCRATICA;36,ALMEIDA;JHONNY ALEJANDRO RUIZ DAZA;NUEVA FUERZA DEMOCRÁTICA;36,0.0,0.0
ALMEIDA;JOSE HIPOLITO CALDERON BOHORQUEZ;NUEVA FUERZA DEMOCRATICA;31,ALMEIDA;JOSE HIPOLITO CALDERON BOHORQUEZ;NUEVA FUERZA DEMOCRÁTICA;31,0.0,0.0
ALMEIDA;JUAN CARLOS SANCHEZ LESMES;PARTIDO ALIANZA VERDE;79,ALMEIDA;JUAN CARLOS SANCHEZ LESMES;PARTIDO ALIANZA VERDE;79,0.0,0.0
ALMEIDA;JUAN DE DIOS OTALORA;PARTIDO CONSERVADOR COLOMBIANO;10,ALMEIDA;JUAN DE DIOS OTALORA;PARTIDO CONSERVADOR COLOMBIANO;10,0.0,0.0
ALMEIDA;JUAN ISIDRO MONDRAGON VACA;NUEVA FUERZA DEMOCRATICA;69,ALMEIDA;JUAN ISIDRO MONDRAGON VACA;NUEVA FUERZA DEMOCRÁTICA;69,0.0,0.0
ALMEIDA;KAREN YILEY DAZA LOPEZ;PARTIDO CONSERVADOR COLOMBIANO;17,ALMEIDA;KAREN YILEY DAZA LOPEZ;PARTIDO CONSERVADOR COLOMBIANO;17,0.0,0.0
ALMEIDA;LUIS ALBERTO MORALES MONTENEGRO;PARTIDO CONSERVADOR COLOMBIANO;42,ALMEIDA;LUIS ALBERTO MORALES MONTENEGRO;PARTIDO CONSERVADOR COLOMBIANO;42,0.0,0.0
ALMEIDA;LUIS GUSTAVO BUITRAGO BARRETO;NUEVA FUERZA DEMOCRATICA;49,ALMEIDA;LUIS GUSTAVO BUITRAGO BARRETO;NUEVA FUERZA DEMOCRÁTICA;49,0.0,0.0
ALMEIDA;LUZ AMANDA CASTANEDA;PARTIDO CONSERVADOR COLOMBIANO;30,ALMEIDA;LUZ AMANDA CASTAÑEDA;PARTIDO CONSERVADOR COLOMBIANO;30,0.0,0.0
ALMEIDA;LUZ AURORA SALINAS VACA;PARTIDO ALIANZA VERDE;18,ALMEIDA;LUZ AURORA SALINAS VACA;PARTIDO ALIANZA VERDE;18,0.0,0.0
