MUNNOMBRE;PARNOMBRE;VOTOS;TOTAL_VOTOS;PORCENTAJE
ALMEIDA;BOYACÁ GRANDE;809;1429;56.61
ALMEIDA;BOYACÁ SOMOS TODOS;10;1429;0.7
ALMEIDA;Creemos;1;1429;0.07
ALMEIDA;NO MAS;7;1429;0.49
ALMEIDA;NUEVA FUERZA DEMOCRÁTICA;29;1429;2.03
ALMEIDA;PACTO HISTÓRICO COLOMBIA PUEDE;62;1429;4.34
ALMEIDA;RESULTADOS PARA BOYACA;511;1429;35.76
AQUITANIA (PUEBLOVIEJO);BOYACÁ GRANDE;4778;8953;53.37
AQUITANIA (PUEBLOVIEJO);BOYACÁ SOMOS TODOS;437;8953;4.88
AQUITANIA (PUEBLOVIEJO);Creemos;8;8953;0.09
AQUITANIA (PUEBLOVIEJO);NO MAS;58;8953;0.65
AQUITANIA (PUEBLOVIEJO);NUEVA FUERZA DEMOCRÁTICA;35;8953;0.39
AQUITANIA (PUEBLOVIEJO);PACTO HISTÓRICO COLOMBIA PUEDE;348;8953;3.89
AQUITANIA (PUEBLOVIEJO);RESULTADOS PARA BOYACA;3289;8953;36.74
ARCABUCO;BOYACÁ GRANDE;1808;3693;48.96
ARCABUCO;BOYACÁ SOMOS TODOS;112;3693;3.03
ARCABUCO;Creemos;3;3693;0.08
ARCABUCO;NO MAS;32;3693;0.87
ARCABUCO;NUEVA FUERZA DEMOCRÁTICA;22;3693;0.6
ARCABUCO;PACTO HISTÓRICO COLOMBIA PUEDE;235;3693;6.36
ARCABUCO;RESULTADOS PARA BOYACA;1481;3693;40.1
BELEN;BOYACÁ GRANDE;2082;4954;42.03
BELEN;BOYACÁ SOMOS TODOS;85;4954;1.72
BELEN;Creemos;2;4954;0.04
BELEN;NO MAS;33;4954;0.67
BELEN;NUEVA FUERZA DEMOCRÁTICA;17;4954;0.34
BELEN;PACTO HISTÓRICO COLOMBIA PUEDE;254;4954;5.13
BELEN;RESULTADOS PARA BOYACA;2481;4954;50.08
BERBEO;BOYACÁ GRANDE;611;1206;50.66
BERBEO;BOYACÁ SOMOS TODOS;11;1206;0.91
BERBEO;NO MAS;2;1206;0.17
BERBEO;NUEVA FUERZA DEMOCRÁTICA;1;1206;0.08
BERBEO;PACTO HISTÓRICO COLOMBIA PUEDE;93;1206;7.71
BERBEO;RESULTADOS PARA BOYACA;488;1206;40.46
BETEITIVA;BOYACÁ GRANDE;842;1590;52.96
BETEITIVA;BOYACÁ SOMOS TODOS;34;1590;2.14
BETEITIVA;Creemos;2;1590;0.13
BETEITIVA;NO MAS;11;1590;0.69
BETEITIVA;NUEVA FUERZA DEMOCRÁTICA;3;1590;0.19
BETEITIVA;PACTO HISTÓRICO COLOMBIA PUEDE;114;1590;7.17
BETEITIVA;RESULTADOS PARA BOYACA;584;1590;36.73
BOAVITA;BOYACÁ GRANDE;1914;3021;63.36
BOAVITA;BOYACÁ SOMOS TODOS;111;3021;3.67
BOAVITA;Creemos;2;3021;0.07
BOAVITA;NO MAS;26;3021;0.86
BOAVITA;NUEVA FUERZA DEMOCRÁTICA;19;3021;0.63
BOAVITA;PACTO HISTÓRICO COLOMBIA PUEDE;245;3021;8.11
BOAVITA;RESULTADOS PARA BOYACA;704;3021;23.3
BOYACA;BOYACÁ GRANDE;2082;3436;60.59
BOYACA;BOYACÁ SOMOS TODOS;215;3436;6.26
BOYACA;Creemos;5;3436;0.15
BOYACA;NO MAS;60;3436;1.75
BOYACA;NUEVA FUERZA DEMOCRÁTICA;7;3436;0.2
BOYACA;PACTO HISTÓRICO COLOMBIA PUEDE;228;3436;6.64
BOYACA;RESULTADOS PARA BOYACA;839;3436;24.42
BRICENO;BOYACÁ GRANDE;908;1922;47.24
BRICENO;BOYACÁ SOMOS TODOS;13;1922;0.68
BRICENO;Creemos;13;1922;0.68
BRICENO;NO MAS;3;1922;0.16
BRICENO;PACTO HISTÓRICO COLOMBIA PUEDE;16;1922;0.83
BRICENO;RESULTADOS PARA BOYACA;969;1922;50.42
BUENAVISTA;BOYACÁ GRANDE;2461;3548;69.36
BUENAVISTA;BOYACÁ SOMOS TODOS;23;3548;0.65
BUENAVISTA;Creemos;6;3548;0.17
BUENAVISTA;NO MAS;16;3548;0.45
BUENAVISTA;NUEVA FUERZA DEMOCRÁTICA;8;3548;0.23
BUENAVISTA;PACTO HISTÓRICO COLOMBIA PUEDE;127;3548;3.58
BUENAVISTA;RESULTADOS PARA BOYACA;907;3548;25.56
BUSBANZA;BOYACÁ GRANDE;440;865;50.87
BUSBANZA;BOYACÁ SOMOS TODOS;20;865;2.31
BUSBANZA;NO MAS;2;865;0.23
BUSBANZA;NUEVA FUERZA DEMOCRÁTICA;3;865;0.35
BUSBANZA;PACTO HISTÓRICO COLOMBIA PUEDE;42;865;4.86
BUSBANZA;RESULTADOS PARA BOYACA;358;865;41.39
CALDAS;BOYACÁ GRANDE;1235;2382;51.85
CALDAS;BOYACÁ SOMOS TODOS;41;2382;1.72
CALDAS;Creemos;3;2382;0.13
CALDAS;NO MAS;16;2382;0.67
CALDAS;NUEVA FUERZA DEMOCRÁTICA;5;2382;0.21
CALDAS;PACTO HISTÓRICO COLOMBIA PUEDE;114;2382;4.79
CALDAS;RESULTADOS PARA BOYACA;968;2382;40.64
CAMPOHERMOSO;BOYACÁ GRANDE;951;1798;52.89
CAMPOHERMOSO;BOYACÁ SOMOS TODOS;15;1798;0.83
CAMPOHERMOSO;NO MAS;2;1798;0.11
CAMPOHERMOSO;NUEVA FUERZA DEMOCRÁTICA;6;1798;0.33
CAMPOHERMOSO;PACTO HISTÓRICO COLOMBIA PUEDE;46;1798;2.56
CAMPOHERMOSO;RESULTADOS PARA BOYACA;778;1798;43.27
CERINZA;BOYACÁ GRANDE;1177;2695;43.67
CERINZA;BOYACÁ SOMOS TODOS;75;2695;2.78
CERINZA;Creemos;2;2695;0.07
CERINZA;NO MAS;19;2695;0.71
CERINZA;NUEVA FUERZA DEMOCRÁTICA;28;2695;1.04
CERINZA;PACTO HISTÓRICO COLOMBIA PUEDE;296;2695;10.98
CERINZA;RESULTADOS PARA BOYACA;1098;2695;40.74
CHINAVITA;BOYACÁ GRANDE;1112;2085;53.33
CHINAVITA;BOYACÁ SOMOS TODOS;57;2085;2.73
CHINAVITA;Creemos;1;2085;0.05
CHINAVITA;NO MAS;11;2085;0.53
CHINAVITA;NUEVA FUERZA DEMOCRÁTICA;9;2085;0.43
CHINAVITA;PACTO HISTÓRICO COLOMBIA PUEDE;47;2085;2.25
CHINAVITA;RESULTADOS PARA BOYACA;848;2085;40.67
CHIQUINQUIRA;BOYACÁ GRANDE;11318;24321;46.54
CHIQUINQUIRA;BOYACÁ SOMOS TODOS;517;24321;2.13
CHIQUINQUIRA;Creemos;106;24321;0.44
CHIQUINQUIRA;NO MAS;370;24321;1.52
CHIQUINQUIRA;NUEVA FUERZA DEMOCRÁTICA;150;24321;0.62
CHIQUINQUIRA;PACTO HISTÓRICO COLOMBIA PUEDE;1989;24321;8.18
CHIQUINQUIRA;RESULTADOS PARA BOYACA;9871;24321;40.59
CHIQUIZA;BOYACÁ GRANDE;2014;3829;52.6
CHIQUIZA;BOYACÁ SOMOS TODOS;76;3829;1.98
CHIQUIZA;Creemos;1;3829;0.03
CHIQUIZA;NO MAS;14;3829;0.37
