MUNNOMBRE;PARNOMBRE;VOTOS
DUITAMA;Alianza Verde;3406
DUITAMA;Cambio Radical;5272
DUITAMA;"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""";2153
DUITAMA;MOVIMIENTO POLÍTICO COLOMBIA HUMANA;2813
DUITAMA;Partido Liberal Colombiano;2712
PAIPA;Centro Democrático;119
PAIPA;Partido Conservador Colombiano;391
PUERTO BOYACA;AGRUPACIÓN POLÍTICA EN MARCHA;496
PUERTO BOYACA;Centro Democrático;124
PUERTO BOYACA;"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""";292
PUERTO BOYACA;PARTIDO COLOMBIA RENACIENTE;613
PUERTO BOYACA;Partido Liberal Colombiano;733
