MUNNOMBRE;PARNOMBRE;VOTOS
ALMEIDA;Alianza Verde;6
ALMEIDA;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;16
ALMEIDA;Con Toda por Colombia;41
ALMEIDA;FRENTE POR LA VIDA;15
ALMEIDA;Gran Consulta por Colombia;159
ALMEIDA;Valientes;5
AQUITANIA (PUEBLOVIEJO);Alianza Verde;25
AQUITANIA (PUEBLOVIEJO);CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;141
AQUITANIA (PUEBLOVIEJO);Con Toda por Colombia;173
AQUITANIA (PUEBLOVIEJO);FRENTE POR LA VIDA;63
AQUITANIA (PUEBLOVIEJO);Gran Consulta por Colombia;1096
AQUITANIA (PUEBLOVIEJO);Valientes;63
ARCABUCO;Alianza Verde;12
ARCABUCO;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;53
ARCABUCO;Con Toda por Colombia;188
ARCABUCO;FRENTE POR LA VIDA;55
ARCABUCO;Gran Consulta por Colombia;334
ARCABUCO;Valientes;23
BELEN;Alianza Verde;68
BELEN;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;214
BELEN;Con Toda por Colombia;256
BELEN;FRENTE POR LA VIDA;76
BELEN;Gran Consulta por Colombia;945
BELEN;Valientes;70
BERBEO;Alianza Verde;1
BERBEO;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;18
BERBEO;Con Toda por Colombia;28
BERBEO;FRENTE POR LA VIDA;24
BERBEO;Gran Consulta por Colombia;185
BERBEO;Valientes;2
BETEITIVA;Alianza Verde;12
BETEITIVA;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;56
BETEITIVA;Con Toda por Colombia;41
BETEITIVA;FRENTE POR LA VIDA;17
BETEITIVA;Gran Consulta por Colombia;257
BETEITIVA;Valientes;17
BOAVITA;Alianza Verde;14
BOAVITA;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;107
BOAVITA;Con Toda por Colombia;73
BOAVITA;FRENTE POR LA VIDA;49
BOAVITA;Gran Consulta por Colombia;755
BOAVITA;Valientes;45
BOYACA;Alianza Verde;8
BOYACA;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;82
BOYACA;Con Toda por Colombia;88
BOYACA;FRENTE POR LA VIDA;65
BOYACA;Gran Consulta por Colombia;354
BOYACA;Valientes;23
BRICEÑO;Alianza Verde;12
BRICEÑO;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;28
BRICEÑO;Con Toda por Colombia;33
BRICEÑO;FRENTE POR LA VIDA;16
BRICEÑO;Gran Consulta por Colombia;379
BRICEÑO;Valientes;10
BUENAVISTA;Alianza Verde;8
BUENAVISTA;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;59
BUENAVISTA;Con Toda por Colombia;103
BUENAVISTA;FRENTE POR LA VIDA;38
BUENAVISTA;Gran Consulta por Colombia;659
BUENAVISTA;Valientes;24
BUSBANZA;Alianza Verde;17
BUSBANZA;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;22
BUSBANZA;Con Toda por Colombia;33
BUSBANZA;FRENTE POR LA VIDA;7
BUSBANZA;Gran Consulta por Colombia;167
BUSBANZA;Valientes;15
CALDAS;Alianza Verde;7
CALDAS;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;54
CALDAS;Con Toda por Colombia;85
CALDAS;FRENTE POR LA VIDA;26
CALDAS;Gran Consulta por Colombia;339
CALDAS;Valientes;18
CAMPOHERMOSO;Alianza Verde;8
CAMPOHERMOSO;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;21
CAMPOHERMOSO;Con Toda por Colombia;23
CAMPOHERMOSO;FRENTE POR LA VIDA;10
CAMPOHERMOSO;Gran Consulta por Colombia;330
CAMPOHERMOSO;Valientes;7
CERINZA;Alianza Verde;7
CERINZA;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;80
CERINZA;Con Toda por Colombia;104
CERINZA;FRENTE POR LA VIDA;56
CERINZA;Gran Consulta por Colombia;367
CERINZA;Valientes;24
CHINAVITA;Alianza Verde;8
CHINAVITA;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;63
CHINAVITA;Con Toda por Colombia;94
CHINAVITA;FRENTE POR LA VIDA;36
CHINAVITA;Gran Consulta por Colombia;480
CHINAVITA;Valientes;16
CHIQUINQUIRA;Alianza Verde;208
CHIQUINQUIRA;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;1212
CHIQUINQUIRA;Con Toda por Colombia;2186
CHIQUINQUIRA;FRENTE POR LA VIDA;643
CHIQUINQUIRA;Gran Consulta por Colombia;5490
CHIQUINQUIRA;Valientes;418
CHIQUIZA;Alianza Verde;18
CHIQUIZA;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;90
CHIQUIZA;Con Toda por Colombia;52
CHIQUIZA;FRENTE POR LA VIDA;197
CHIQUIZA;Gran Consulta por Colombia;244
CHIQUIZA;Valientes;32
CHISCAS;Alianza Verde;5
CHISCAS;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;35
CHISCAS;Con Toda por Colombia;35
CHISCAS;FRENTE POR LA VIDA;29
CHISCAS;Gran Consulta por Colombia;470
CHISCAS;Valientes;17
CHITA;Alianza Verde;5
CHITA;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;35
CHITA;Con Toda por Colombia;32
CHITA;FRENTE POR LA VIDA;33
CHITA;Gran Consulta por Colombia;840
CHITA;Valientes;8
CHITARAQUE;Alianza Verde;4
CHITARAQUE;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;49
CHITARAQUE;Con Toda por Colombia;57
CHITARAQUE;FRENTE POR LA VIDA;50
CHITARAQUE;Gran Consulta por Colombia;951
CHITARAQUE;Valientes;11
CHIVATA;Alianza Verde;25
CHIVATA;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;105
CHIVATA;Con Toda por Colombia;130
CHIVATA;FRENTE POR LA VIDA;63
CHIVATA;Gran Consulta por Colombia;343
CHIVATA;Valientes;50
CHIVOR;Alianza Verde;4
CHIVOR;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;16
CHIVOR;Con Toda por Colombia;31
CHIVOR;FRENTE POR LA VIDA;17
CHIVOR;Gran Consulta por Colombia;391
CHIVOR;Valientes;21
CIENEGA;Alianza Verde;8
CIENEGA;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;69
CIENEGA;Con Toda por Colombia;89
CIENEGA;FRENTE POR LA VIDA;30
CIENEGA;Gran Consulta por Colombia;547
CIENEGA;Valientes;24
COMBITA;Alianza Verde;42
COMBITA;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;382
COMBITA;Con Toda por Colombia;343
COMBITA;FRENTE POR LA VIDA;195
COMBITA;Gran Consulta por Colombia;950
COMBITA;Valientes;165
COPER;Alianza Verde;1
COPER;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;16
COPER;Con Toda por Colombia;28
COPER;FRENTE POR LA VIDA;25
COPER;Gran Consulta por Colombia;381
COPER;Valientes;18
CORRALES;Alianza Verde;11
CORRALES;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;53
CORRALES;Con Toda por Colombia;113
CORRALES;FRENTE POR LA VIDA;47
CORRALES;Gran Consulta por Colombia;427
CORRALES;Valientes;19
COVARACHIA;Alianza Verde;5
COVARACHIA;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;22
COVARACHIA;Con Toda por Colombia;20
COVARACHIA;FRENTE POR LA VIDA;15
COVARACHIA;Gran Consulta por Colombia;624
COVARACHIA;Valientes;16
CUBARA;Alianza Verde;7
CUBARA;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;57
CUBARA;Con Toda por Colombia;46
CUBARA;FRENTE POR LA VIDA;47
CUBARA;Gran Consulta por Colombia;258
CUBARA;Valientes;21
CUCAITA;Alianza Verde;14
CUCAITA;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;183
CUCAITA;Con Toda por Colombia;101
CUCAITA;FRENTE POR LA VIDA;46
CUCAITA;Gran Consulta por Colombia;243
CUCAITA;Valientes;27
CUITIVA;Alianza Verde;8
CUITIVA;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;48
CUITIVA;Con Toda por Colombia;45
CUITIVA;FRENTE POR LA VIDA;24
CUITIVA;Gran Consulta por Colombia;293
CUITIVA;Valientes;8
DUITAMA;Alianza Verde;541
DUITAMA;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;3589
DUITAMA;Con Toda por Colombia;6721
DUITAMA;FRENTE POR LA VIDA;1932
DUITAMA;Gran Consulta por Colombia;12562
DUITAMA;Valientes;860
EL COCUY;Alianza Verde;7
EL COCUY;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;33
EL COCUY;Con Toda por Colombia;34
EL COCUY;FRENTE POR LA VIDA;23
EL COCUY;Gran Consulta por Colombia;490
EL COCUY;Valientes;14
EL ESPINO;Alianza Verde;2
EL ESPINO;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;9
EL ESPINO;Con Toda por Colombia;24
EL ESPINO;FRENTE POR LA VIDA;20
EL ESPINO;Gran Consulta por Colombia;566
EL ESPINO;Valientes;20
FIRAVITOBA;Alianza Verde;18
FIRAVITOBA;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;191
FIRAVITOBA;Con Toda por Colombia;174
FIRAVITOBA;FRENTE POR LA VIDA;129
FIRAVITOBA;Gran Consulta por Colombia;563
FIRAVITOBA;Valientes;43
FLORESTA;Alianza Verde;7
FLORESTA;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;76
FLORESTA;Con Toda por Colombia;148
FLORESTA;FRENTE POR LA VIDA;52
FLORESTA;Gran Consulta por Colombia;615
FLORESTA;Valientes;33
GACHANTIVA;Alianza Verde;6
GACHANTIVA;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;37
GACHANTIVA;Con Toda por Colombia;55
