MUNNOMBRE;PARNOMBRE;VOTOS;TOTAL_VOTOS;PORCENTAJE
ALMEIDA;AHORA COLOMBIA;18;689;2.61
ALMEIDA;ASOCIACIÓN DE CABILDOS INDÍGENAS POR COLOMBIA;1;689;0.15
ALMEIDA;Alianza Verde;208;689;30.19
ALMEIDA;COALICIÓN FUERZA CIUDADANA;1;689;0.15
ALMEIDA;Cambio Radical;104;689;15.09
ALMEIDA;Centro Democrático;93;689;13.5
ALMEIDA;Con Toda por Colombia;3;689;0.44
ALMEIDA;FRENTE AMPLIO UNITARIO;4;689;0.58
ALMEIDA;MOVIMIENTO SALVACIÓN NACIONAL;8;689;1.16
ALMEIDA;PACTO HISTÓRICO SENADO;64;689;9.29
ALMEIDA;PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U;16;689;2.32
ALMEIDA;PARTIDO POLÍTICO OXÍGENO;1;689;0.15
ALMEIDA;Partido Conservador Colombiano;128;689;18.58
ALMEIDA;Partido Liberal Colombiano;37;689;5.37
ALMEIDA;Salvación Nacional;3;689;0.44
AQUITANIA (PUEBLOVIEJO);AHORA COLOMBIA;108;4517;2.39
AQUITANIA (PUEBLOVIEJO);Alianza Verde;1110;4517;24.57
AQUITANIA (PUEBLOVIEJO);COALICIÓN FUERZA CIUDADANA;21;4517;0.46
AQUITANIA (PUEBLOVIEJO);COLOMBIA SEGURA Y PRÓSPERA;9;4517;0.2
AQUITANIA (PUEBLOVIEJO);Cambio Radical;138;4517;3.06
AQUITANIA (PUEBLOVIEJO);Centro Democrático;1190;4517;26.34
AQUITANIA (PUEBLOVIEJO);Con Toda por Colombia;13;4517;0.29
AQUITANIA (PUEBLOVIEJO);Creemos;11;4517;0.24
AQUITANIA (PUEBLOVIEJO);FRENTE AMPLIO UNITARIO;29;4517;0.64
AQUITANIA (PUEBLOVIEJO);"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""";6;4517;0.13
AQUITANIA (PUEBLOVIEJO);MOVIMIENTO SALVACIÓN NACIONAL;547;4517;12.11
AQUITANIA (PUEBLOVIEJO);PACTO HISTÓRICO SENADO;487;4517;10.78
AQUITANIA (PUEBLOVIEJO);PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U;265;4517;5.87
AQUITANIA (PUEBLOVIEJO);PARTIDO POLÍTICO OXÍGENO;11;4517;0.24
AQUITANIA (PUEBLOVIEJO);PATRIOTAS;1;4517;0.02
AQUITANIA (PUEBLOVIEJO);Partido Conservador Colombiano;365;4517;8.08
AQUITANIA (PUEBLOVIEJO);Partido Liberal Colombiano;199;4517;4.41
AQUITANIA (PUEBLOVIEJO);Salvación Nacional;7;4517;0.15
ARCABUCO;AHORA COLOMBIA;51;2387;2.14
ARCABUCO;Alianza Verde;615;2387;25.76
ARCABUCO;COALICIÓN FUERZA CIUDADANA;10;2387;0.42
ARCABUCO;COLOMBIA SEGURA Y PRÓSPERA;4;2387;0.17
ARCABUCO;Cambio Radical;250;2387;10.47
ARCABUCO;Centro Democrático;427;2387;17.89
ARCABUCO;Con Toda por Colombia;3;2387;0.13
ARCABUCO;FRENTE AMPLIO UNITARIO;12;2387;0.5
ARCABUCO;MOVIMIENTO SALVACIÓN NACIONAL;60;2387;2.51
ARCABUCO;PACTO HISTÓRICO SENADO;395;2387;16.55
ARCABUCO;PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U;30;2387;1.26
ARCABUCO;PARTIDO POLÍTICO OXÍGENO;3;2387;0.13
ARCABUCO;PATRIOTAS;2;2387;0.08
ARCABUCO;Partido Conservador Colombiano;398;2387;16.67
ARCABUCO;Partido Liberal Colombiano;124;2387;5.19
ARCABUCO;Salvación Nacional;3;2387;0.13
BELEN;AHORA COLOMBIA;145;3217;4.51
BELEN;Alianza Verde;889;3217;27.63
BELEN;COALICIÓN FUERZA CIUDADANA;8;3217;0.25
BELEN;COLOMBIA SEGURA Y PRÓSPERA;2;3217;0.06
BELEN;Cambio Radical;269;3217;8.36
BELEN;Centro Democrático;585;3217;18.18
BELEN;Con Toda por Colombia;9;3217;0.28
BELEN;Creemos;2;3217;0.06
BELEN;FRENTE AMPLIO UNITARIO;27;3217;0.84
BELEN;MOVIMIENTO SALVACIÓN NACIONAL;241;3217;7.49
BELEN;PACTO HISTÓRICO SENADO;515;3217;16.01
BELEN;PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U;50;3217;1.55
BELEN;PARTIDO POLÍTICO OXÍGENO;6;3217;0.19
BELEN;PATRIOTAS;1;3217;0.03
BELEN;Partido Conservador Colombiano;193;3217;6.0
BELEN;Partido Liberal Colombiano;270;3217;8.39
BELEN;Salvación Nacional;5;3217;0.16
BERBEO;AHORA COLOMBIA;20;681;2.94
BERBEO;Alianza Verde;265;681;38.91
BERBEO;COALICIÓN FUERZA CIUDADANA;4;681;0.59
