MUNNOMBRE;TOTAL_VOTOS
ALMEIDA;776
AQUITANIA (PUEBLOVIEJO);5196
ARCABUCO;2641
BELEN;3527
BERBEO;775
BETEITIVA;1021
BOAVITA;2121
BOYACA;1818
BRICEÑO;1120
BUENAVISTA;2379
BUSBANZA;560
CALDAS;1533
CAMPOHERMOSO;1076
CERINZA;2065
CHINAVITA;1464
CHIQUINQUIRA;22823
CHIQUIZA;2276
CHISCAS;1319
CHITA;2299
CHITARAQUE;2245
CHIVATA;1923
CHIVOR;799
CIENEGA;1642
COMBITA;5704
COPER;1428
CORRALES;1379
COVARACHIA;1408
CUBARA;2368
CUCAITA;1659
CUITIVA;943
DUITAMA;53254
EL COCUY;1380
EL ESPINO;1082
FIRAVITOBA;2779
FLORESTA;2402
GACHANTIVA;1349
GAMEZA;1915
GARAGOA;6548
GUACAMAYAS;777
GUATEQUE;4577
GUAYATA;2049
GUICAN;1205
IZA;1167
JENESANO;2751
JERICO;1403
LA CAPILLA;1154
LA UVITA;1180
LA VICTORIA;665
LABRANZAGRANDE;1734
MACANAL;1651
MARIPI;2863
MIRAFLORES;3962
MONGUA;2320
MONGUI;2105
MONIQUIRA;9699
MOTAVITA;3119
MUZO;3496
NOBSA;8798
NUEVO COLON;2018
OICATA;1611
OTANCHE;3564
PACHAVITA;1052
PAEZ;1201
PAIPA;17938
PAJARITO;897
PANQUEBA;774
PAUNA;3322
PAYA;993
PAZ DE RIO;2052
PESCA;2995
PISBA;676
PUERTO BOYACA;21257
QUIPAMA;2159
RAMIRIQUI;4425
RAQUIRA;2705
RONDON;1081
SABOYA;4966
SACHICA;2446
SAMACA;8663
SAN EDUARDO;780
SAN JOSE DE PARE;2175
SAN LUIS DE GACENO;2173
SAN MATEO;1656
SAN MIGUEL DE SEMA;1239
SAN PABLO DE BORBUR;3097
SANTA MARIA;1620
SANTA ROSA DE VITERBO;5103
SANTA SOFIA;1673
SANTANA;3099
SATIVANORTE;1060
SATIVASUR;642
SIACHOQUE;2587
SOATA;4231
SOCHA;3335
SOCOTA;2475
SOGAMOSO;55819
SOMONDOCO;1369
SORA;1620
SORACA;2977
SOTAQUIRA;3486
SUSACON;1353
SUTAMARCHAN;3503
SUTATENZA;2194
TASCO;2223
TENZA;1697
TIBANA;2916
TIBASOSA;5726
TINJACA;1762
TIPACOQUE;1687
TOCA;3668
TOGUI;1681
TOPAGA;1990
TOTA;2225
TUNJA;81448
TUNUNGUA;766
TURMEQUE;2727
TUTA;5112
TUTAZA;1110
UMBITA;3076
VENTAQUEMADA;4880
VILLA DE LEIVA;6981
VIRACACHA;1118
ZETAQUIRA;2243
