MUNNOMBRE;TOTAL_VOTOS
ALMEIDA;776
AQUITANIA (PUEBLOVIEJO);5178
ARCABUCO;2644
BELEN;3533
BERBEO;774
BETEITIVA;1021
BOAVITA;2128
BOYACA;1822
BRICEÑO;1120
BUENAVISTA;2352
BUSBANZA;557
CALDAS;1531
CAMPOHERMOSO;1075
CERINZA;2066
CHINAVITA;1470
CHIQUINQUIRA;22903
CHIQUIZA;2277
CHISCAS;1316
CHITA;2296
CHITARAQUE;2205
CHIVATA;1923
CHIVOR;798
CIENEGA;1645
COMBITA;5670
COPER;1427
CORRALES;1379
COVARACHIA;1405
CUBARA;2370
CUCAITA;1650
CUITIVA;924
DUITAMA;53342
EL COCUY;1379
EL ESPINO;1086
FIRAVITOBA;2800
FLORESTA;2401
GACHANTIVA;1350
GAMEZA;1916
GARAGOA;6554
GUACAMAYAS;769
GUATEQUE;4591
GUAYATA;2051
GUICAN;1207
IZA;1169
JENESANO;2748
JERICO;1401
LA CAPILLA;1166
LA UVITA;1184
LA VICTORIA;665
LABRANZAGRANDE;1729
MACANAL;1652
MARIPI;2866
MIRAFLORES;3962
MONGUA;2323
MONGUI;2101
MONIQUIRA;9729
MOTAVITA;3117
MUZO;3490
NOBSA;8805
NUEVO COLON;2032
OICATA;1605
OTANCHE;3564
PACHAVITA;1053
PAEZ;1212
PAIPA;17933
PAJARITO;898
PANQUEBA;774
PAUNA;3302
PAYA;993
PAZ DE RIO;2052
PESCA;2987
PISBA;676
PUERTO BOYACA;21236
QUIPAMA;2154
RAMIRIQUI;4424
RAQUIRA;2712
RONDON;1083
SABOYA;4965
SACHICA;2450
SAMACA;8623
SAN EDUARDO;780
SAN JOSE DE PARE;2183
SAN LUIS DE GACENO;2181
SAN MATEO;1658
SAN MIGUEL DE SEMA;1240
SAN PABLO DE BORBUR;3094
SANTA MARIA;1622
SANTA ROSA DE VITERBO;5107
SANTA SOFIA;1677
SANTANA;3106
SATIVANORTE;1059
SATIVASUR;642
SIACHOQUE;2585
SOATA;4239
SOCHA;3344
SOCOTA;2476
SOGAMOSO;55955
SOMONDOCO;1369
SORA;1624
SORACA;2979
SOTAQUIRA;3482
SUSACON;1352
SUTAMARCHAN;3503
SUTATENZA;2196
TASCO;2223
TENZA;1706
TIBANA;2914
TIBASOSA;5719
TINJACA;1763
TIPACOQUE;1685
TOCA;3666
TOGUI;1685
TOPAGA;1988
TOTA;2208
TUNJA;81686
TUNUNGUA;764
TURMEQUE;2728
TUTA;5111
TUTAZA;1109
UMBITA;3080
VENTAQUEMADA;4877
VILLA DE LEIVA;7013
VIRACACHA;1130
ZETAQUIRA;2209
