nombre_corto;anios_cargos_nombre_corto;nombre_largo;anios_cargos_nombre_largo;confirmar (si/no)
Adan Torres Perez;2010 camara;Pedro Adan Torres Perez;2022 camara;
Adolfo Pachon;2023 concejo;William Adolfo Castellanos Pachon;"2019 concejo; 2023 concejo";
Alberto Cabra Cabra;2019 concejo;Fernando Alberto Armirola Cabra;2019 concejo;
Alberto Lizarazo;"2010 senado; 2014 senado; 2018 senado";Luis Alberto Silva Lizarazo;2019 concejo;
Alcibiades Torres Ortiz;2011 concejo;Alcibiades De Jesus Torres Ortiz;2015 concejo;
Alejandra Robles;2019 concejo;Maria Alejandra Robles Sanchez;2019 concejo;
Alexander Castelblanco;2019 concejo;Edwin Alexander Huertas Castelblanco;2023 concejo;
Alexander Velasquez;2022 senado;Angel Alexander Velasquez Mendoza;2023 alcalde;
Alexandra Nino;"2015 concejo; 2023 concejo";Nury Alexandra Nino Buitrago;2011 concejo;
Alfonso Figueredo Figueredo;2019 concejo;Duvan Alfonso Rincon Figueredo;"2019 concejo; 2023 concejo";
Alfredo Diaz Gomez;2019 concejo;Jorge Alfredo Gomez Diaz;2023 concejo;
Alianza Social Indigena;2010 senado;Alianza Social Indigena  Asi;2010 camara;
Alvaro Castaneda;2015 concejo;Alvaro Javier Pava Castañeda;"2019 concejo; 2023 concejo";
Alvaro Herrera;2011 concejo;Alvaro Francisco Herrera Sequera;2022 senado;
Ana Maria Diaz;2014 senado;Ana Maria Diaz Infante;2019 concejo;
Andres Corredor Parra;2019 concejo;Camilo Andres Corredor Parra;2023 concejo;
Andres Mesa Sanchez;2019 concejo;Jonathan Andres Mesa Sanchez;2015 concejo;
Arley Cardenas;"2015 concejo; 2019 concejo";Yohan Arley Cardenas Sanabria;2023 concejo;
Ati Quigua;2014 senado;Ati Seygundiba Quigua Izquierdo;2018 senado;
Aurelio Suarez Suarez;2011 concejo;Pablo Aurelio Suarez Garcia;2011 alcalde;
Blanca Cecilia Ruiz;2015 concejo;Blanca Cecilia Carranza Ruiz;"2015 concejo; 2019 concejo";
Carlos Andres Castaneda;2011 concejo;Carlos Andres Garcia Castañeda;2022 senado;
Carlos Andres Hernandez;"2015 concejo; 2019 concejo; 2023 concejo";Carlos Andres Pinto Hernandez;"2019 concejo; 2023 concejo";
Carlos Carreño;2023 concejo;Carlos Eliecer Garcia Carreño;2019 concejo;
Carlos Eduardo Guzman;2023 concejo;Carlos Eduardo Jimenez Guzman;2019 concejo;
Carlos Humberto Alfonso;"2011 asamblea; 2023 concejo";Carlos Humberto Castañeda Alfonso;2019 concejo;
Carlos Sanchez Reyes;2015 concejo;Carlos Alfredo Sanchez Reyes;2011 concejo;
Carmen Daza;2015 concejo;Dilma Del Carmen Martinez Daza;"2011 concejo; 2015 concejo";
Carolina Sanchez Rodriguez;"2015 concejo; 2019 concejo; 2023 concejo";Diana Carolina Rodriguez Sanchez;2011 concejo;
Cristina Sanchez;2019 concejo;Lidia Cristina Sanchez Dominguez;2011 concejo;
Daniel Moreno Duarte;2011 concejo;Carlos Daniel Moreno Duarte;2023 concejo;
Diana Marcela Olaya;2015 concejo;Diana Marcela Olaya Sanchez;2018 senado;
Doris Angarita Angarita;2011 concejo;Doris Aydee Jurado Angarita;2011 concejo;
Edgar Pinzon;2015 concejo;Edgar Orlando Sanabria Pinzon;2023 concejo;
Eduardo Salamanca;"2015 concejo; 2019 concejo";Mauricio Eduardo Salamanca Aponte;2011 concejo;
Eliecer Sanchez;2015 concejo;Jorge Eliecer Sanchez Bautista;2019 concejo;
Elizabeth Leon Diaz;2011 concejo;Ana Elizabeth Leon Diaz;2019 concejo;
Elizabeth Rivera;2019 concejo;Elizabeth Rivera Rodas;2019 concejo;
Elsa Maria Alfonso;2023 concejo;Elsa Maria Alfonso Ovalle;2023 concejo;
Esperanza Vargas Moreno;2015 concejo;Esperanza Cruz Moreno Vargas;"2011 concejo; 2015 concejo";
Espiritu Barrera;2019 concejo;Espiritu Espiritu Barrera;2011 concejo;
Euclides Valest Silva;2015 concejo;Euclides Valest Valest Silva;2011 concejo;
Fabio Mesa Mesa;2015 concejo;Hernais Fabio Fuentes Mesa;2019 concejo;
Fernando Garcia Caceres;2018 senado;Luis Fernando Garcia Caceres;2010 senado;
Fernando Garcia Gomez;2015 concejo;Jose Fernando Garcia Gomez;2022 senado;
Fernando Pineda Sanchez;"2011 concejo; 2015 concejo";Luis Fernando Sanchez Pineda;2011 concejo;
Flaminio Rojas;2015 concejo;Segundo Flaminio Martinez Rojas;"2011 concejo; 2015 concejo";
Flor Angela Gonzalez;2015 concejo;Flor Angela Gonzalez Munevar;2019 concejo;
Francisco Eduardo Cordoba;2011 concejo;Francisco Eduardo Cordoba Cordoba;"2015 concejo; 2019 concejo";
Francisco Javier Villamil;"2011 alcalde; 2015 concejo; 2019 alcalde";Francisco Javier Villamil Jauregui;"2015 concejo; 2019 concejo";
GUSTAVO PETRO;"2022 presidencia_1v; 2022 presidencia_2v";Gustavo Francisco Petro Urrego;"2010 presidencia_1v; 2018 presidencia_1v; 2018 presidencia_2v";
Gabriel Garcia;2023 concejo;Gabriel Alexander Garcia Munoz;"2011 concejo; 2019 concejo";
Genaro Suarez;2015 concejo;Genaro Antonio Gracia Suarez;2018 senado;
German Pena;"2011 concejo; 2015 concejo; 2023 concejo";German Peña Becerra;2019 concejo;
German Rodriguez Cruz;2023 concejo;German De La Cruz Rodriguez Perez;2011 concejo;
Gilberto Barrera Garcia;2014 senado;Francisco Gilberto Barrera Garcia;2011 concejo;
Gilberto Ortiz;2011 concejo;Gilberto Rache Ortiz;2015 concejo;
Gilberto Salamanca Salamanca;"2011 concejo; 2015 concejo; 2019 concejo";Gilberto Alvaro Salamanca Pedraza;"2011 concejo; 2015 concejo; 2019 concejo";
Gloria Esperanza Torres;2015 concejo;Gloria Esperanza Perez Torres;2011 concejo;
Gonzalo Barrera Barrera;2015 concejo;Elman Gonzalo Abril Barrera;2010 senado;
Guillermo Abril Abril;"2022 senado; 2026 senado";Fredy Guillermo Mojica Abril;2011 concejo;
Guillermo Barreto;2011 concejo;Luis Guillermo Guerrero Barreto;2011 alcalde;
Gustavo Avila Avila;2023 concejo;Elquin Gustavo Lozano Avila;2015 concejo;
Heli Quintero Suarez;2015 alcalde;Hugo Heli Suarez Quintero;2019 concejo;
Henry Cruz Ramos;2015 concejo;Henry Alfredo Cruz Ramos;"2019 concejo; 2023 concejo";
Herman Lozano Baez;2026 senado;Herman Emilio Lozano Baez;"2010 senado; 2014 senado";
Hermencia Martin;2015 concejo;Hermencia Martin Montenegro;2011 concejo;
Herminda Moreno;"2011 concejo; 2015 concejo";Herminda Moreno Borda;2019 concejo;
Hernando Molina Moreno;"2015 concejo; 2019 concejo";Marvin Hernando Molina Moreno;2011 concejo;
Humberto Bohorquez Bohorquez;2015 concejo;Carlos Humberto Bohorquez Romero;"2015 concejo; 2019 concejo";
Humberto Sanchez;2022 senado;Ariel Humberto Gutierrez Sanchez;2015 concejo;
Ivan Jose Moreno;"2011 concejo; 2015 concejo; 2019 concejo";Jose Ivan Ramirez Moreno;"2011 concejo; 2015 concejo";
JOHN MILTON RODRÍGUEZ;2022 presidencia_1v;John Milton Rodriguez Gonzalez;2018 senado;
Jhon Jairo Cely;2019 concejo;Jhon Jairo Medina Cely;"2011 concejo; 2015 concejo";
John Fredy Moreno;2011 concejo;John Fredy Moreno Moreno;2011 concejo;
Jorge Eliecer Alarcon;2015 concejo;Jorge Eliecer Montaña Alarcon;"2019 concejo; 2023 concejo";
Jorge Eliecer Ruano;2011 alcalde;Jorge Eliecer Santamaria Ruano;2015 concejo;
Jorge Enrique Jimenez;2011 concejo;Jorge Enrique Ramirez Jimenez;"2019 concejo; 2023 concejo";
Jorge Orjuela;2011 concejo;Jorge Enrique Cordoba Orjuela;"2015 alcalde; 2019 alcalde";
Jose Clodoveo Fuentes;2019 concejo;Jose Clodoveo Fuentes Fuentes;2023 alcalde;
Jose Demetrio Montanez;"2015 concejo; 2019 concejo; 2023 alcalde";Jose Demetrio Demetrio Montanez;2011 concejo;
Jose Ignacio Sanchez;2023 concejo;Jose Ignacio Espitia Sanchez;2011 concejo;
Jose Rincon Casallas;2015 concejo;Jose Alfredo Rincon Casallas;2011 concejo;
Jose Rodriguez Cardenas;2022 senado;Jose Alvaro Rodriguez Cardenas;2015 concejo;
Jose Vicente Cruz;2015 concejo;Jose Vicente Cruz Alvarez;2023 concejo;
Juan Carlos Gil;2023 concejo;Juan Carlos Sanchez Gil;2019 concejo;
Juan Carlos Pinzon;2015 concejo;JUAN CARLOS PINZON BUENO;2026 consultas;
Juan Gabriel Gonzalez;2011 concejo;Juan Gabriel Franco Gonzalez;2023 concejo;
Juan Pablo Moreno;2023 concejo;Juan Pablo Olarte Moreno;2023 concejo;
Julio Lopez Ruiz;"2011 concejo; 2015 concejo; 2019 concejo; 2023 concejo";Carlos Julio Lopez Ruiz;2023 alcalde;
Laureano Gomez;2011 concejo;Nelson Laureano Gomez Garcia;2019 concejo;
Leonardo Gonzalez;2011 concejo;Cristian Leonardo Gonzalez Combita;2023 concejo;
Leonel Diaz;2015 concejo;Leonel Martinez Diaz;"2011 concejo; 2019 concejo";
Leonel Nieto;"2015 concejo; 2019 concejo";Leonel Nieto Leonel Nieto;2011 concejo;
Leonell Rodriguez Rodriguez;2015 concejo;Leonell Alfredo Rodriguez Rodriguez;"2011 concejo; 2019 concejo; 2023 concejo";
Leonor Perez;2023 concejo;Leonor Perez Prieto;2011 concejo;
Libia Robelto Lopez;"2015 concejo; 2019 concejo";Libia Robelto Robelto Lopez;2011 concejo;
Liliana Lopez Hernandez;2015 concejo;Deysi Liliana Hernandez Lopez;2011 concejo;
Los Palenkes;2018 camara;Los Palenkes  Bellavista  Ch;2014 camara;
Lucia Castaneda;2011 concejo;Blanca Lucia Castañeda Garces;2023 concejo;
Luis Alfredo Silva;"2011 concejo; 2015 concejo";Luis Alfredo Rojas Silva;"2011 concejo; 2023 concejo";
Luis Angel Carrillo;2023 concejo;Luis Angel Angel Carrillo;2011 concejo;
Luis Chaparro Ramirez;2015 concejo;Luis Alfredo Chaparro Ramirez;2011 concejo;
Luis Fernando Caro;2023 concejo;Luis Fernando Cely Caro;2015 concejo;
Luis Fernando Leon;"2011 concejo; 2015 concejo";Luis Fernando Parra Leon;2014 senado;
Luis Garcia Carvajal;2015 concejo;Luis Alfredo Garcia Carvajal;2011 alcalde;
Luis Garcia Morales;2015 concejo;Luis Alfredo Garcia Morales;2019 concejo;
Luis Hernandez Avila;2015 concejo;Luis Alfredo Hernandez Avila;"2011 concejo; 2019 concejo; 2023 concejo";
Luis Martinez Piraban;2015 concejo;Luis Alfredo Martinez Piraban;2011 concejo;
Luis Perez Curtidor;2015 concejo;Luis Alfredo Perez Curtidor;"2011 concejo; 2019 concejo; 2023 concejo";
Luis Rojas Silva;2015 concejo;Luis Alfredo Rojas Silva;"2011 concejo; 2023 concejo";
Luz Estela Calderon;2011 concejo;Luz Estela Perez Calderon;"2015 concejo; 2019 concejo";
Luz Herminda Vargas;2011 concejo;Luz Herminda Navarrete Vargas;2023 concejo;
MAURICIO GUTIERREZ GONZALEZ;2019 jal;Omar Mauricio Gutierrez Gonzalez;"2015 concejo; 2019 concejo";
Manuel Salazar Salazar;2019 concejo;Manuel Salvador Velandia Salazar;2015 concejo;
Marco Tulio Diaz;2023 concejo;Marco Tulio Diaz Sanchez;2023 concejo;
Maria Antonia Mancipe;"2011 concejo; 2015 concejo";Maria Antonia Aponte Mancipe;"2011 concejo; 2023 concejo";
Maria Claudia Perez;2011 concejo;Claudia Maria Perez Giraldo;2022 senado;
Maria Elizabeth Parra;2011 concejo;Maria Elizabeth Parra Castro;2023 concejo;
Maria Emilce Rodriguez;2015 concejo;Maria Emilce Ardila Rodriguez;2011 concejo;
Maria Helena Pineda;2023 concejo;Maria Helena Castro Pineda;2023 concejo;
Maria Nilce Lopez;"2015 concejo; 2023 concejo";Maria Nilce Nilce Lopez;2011 concejo;
